,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-03-03,18:33:23.318,    7.63,    5.82,    7.78,    5.90,    7.35,    5.29,,,,,,,   22.76,   17.01,     18930,   39.77,   17.31,   11.72,   17.38,   11.89,   17.17,   11.86,,,,,,,   51.86,   35.48,     18930,   87.33,     74.62,     52.48,    127.10
2023-03-03,18:33:23.418,    8.71,    5.99,    8.78,    6.03,    8.48,    5.58,,,,,,,   25.96,   17.60,     18810,   43.56,   10.18,    7.85,   10.25,    7.94,   10.29,    7.87,,,,,,,   30.73,   23.67,     18810,   54.40,     56.69,     41.26,     97.96
2023-03-03,18:33:23.518,    7.96,    6.00,    7.88,    5.92,    7.75,    5.43,,,,,,,   23.59,   17.34,     18949,   40.93,    6.85,    6.27,    6.70,    6.29,    6.50,    6.16,,,,,,,   20.05,   18.72,     18949,   38.77,     43.64,     36.06,     79.70
2023-03-03,18:33:23.618,   11.61,    5.36,   11.57,    5.35,   11.50,    4.80,,,,,,,   34.68,   15.50,     18740,   50.19,    2.97,    3.81,    2.94,    3.72,    2.98,    3.73,,,,,,,    8.89,   11.26,     18730,   20.15,     43.57,     26.76,     70.34
2023-03-03,18:33:23.718,    2.70,    2.93,    2.70,    2.79,    2.49,    2.34,,,,,,,    7.89,    8.06,     18919,   15.95,    2.20,    1.93,    2.25,    1.98,    2.22,    1.95,,,,,,,    6.67,    5.87,     18929,   12.54,     14.56,     13.93,     28.48
2023-03-03,18:33:23.818,    3.42,    4.34,    3.31,    4.43,    3.19,    3.82,,,,,,,    9.92,   12.60,     18740,   22.52,    4.66,    4.00,    4.66,    4.04,    4.55,    3.92,,,,,,,   13.87,   11.96,     18740,   25.83,     23.79,     24.56,     48.35
2023-03-03,18:33:23.917,    4.14,    3.28,    4.13,    3.26,    3.93,    2.72,,,,,,,   12.20,    9.25,     18730,   21.45,    2.23,    2.17,    2.28,    2.24,    2.22,    2.12,,,,,,,    6.73,    6.53,     18740,   13.27,     18.93,     15.78,     34.71
2023-03-03,18:33:24.018,    2.82,    3.00,    2.84,    2.89,    2.63,    2.38,,,,,,,    8.29,    8.27,     18930,   16.56,    3.08,    2.62,    3.00,    2.63,    3.09,    2.53,,,,,,,    9.16,    7.78,     18920,   16.94,     17.45,     16.05,     33.50
2023-03-03,18:33:24.118,    5.49,    2.50,    5.39,    2.48,    5.14,    2.00,,,,,,,   16.02,    6.97,     18730,   22.99,    3.53,    1.97,    3.51,    1.96,    3.55,    1.99,,,,,,,   10.58,    5.91,     18730,   16.49,     26.60,     12.88,     39.49
