,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-03-03,18:22:35.513,    7.96,    3.97,    7.91,    4.02,    7.70,    3.46,,,,,,,   23.57,   11.45,     18930,   35.02,    2.82,    4.29,    2.93,    4.42,    2.90,    4.38,,,,,,,    8.65,   13.09,     18930,   21.74,     32.22,     24.54,     56.76
2023-03-03,18:22:35.613,    2.28,    2.88,    2.28,    2.80,    2.02,    2.26,,,,,,,    6.58,    7.94,     18780,   14.53,    5.66,    3.45,    5.77,    3.51,    5.84,    3.52,,,,,,,   17.27,   10.47,     18780,   27.74,     23.86,     18.41,     42.27
2023-03-03,18:22:35.714,    2.22,    2.12,    2.20,    2.14,    1.91,    1.53,,,,,,,    6.32,    5.79,     18930,   12.12,    2.68,    2.72,    2.67,    2.72,    2.78,    2.69,,,,,,,    8.13,    8.14,     18930,   16.27,     14.46,     13.93,     28.39
2023-03-03,18:22:35.813,   42.81,   30.06,   42.66,   29.89,   42.35,   29.35,,,,,,,  127.83,   89.30,     18740,  217.13,   55.45,   46.16,   55.30,   45.88,   55.36,   45.80,,,,,,,  166.11,  137.84,     18740,  303.95,    293.94,    227.15,    521.08
2023-03-03,18:22:35.914,    5.59,    4.63,    5.57,    4.52,    5.25,    3.96,,,,,,,   16.40,   13.11,     18930,   29.51,    5.64,    4.41,    5.61,    4.37,    5.60,    4.36,,,,,,,   16.86,   13.14,     18930,   29.99,     33.26,     26.25,     59.50
2023-03-03,18:22:36.014,   22.76,   12.13,   22.63,   12.20,   22.55,   11.78,,,,,,,   67.94,   36.10,     18740,  104.04,   35.56,   19.14,   35.43,   19.03,   35.37,   19.08,,,,,,,  106.36,   57.25,     18740,  163.61,    174.30,     93.35,    267.66
2023-03-03,18:22:36.114,    3.27,    2.45,    3.32,    2.53,    3.01,    1.93,,,,,,,    9.61,    6.92,     18929,   16.53,    2.96,    2.45,    2.94,    2.46,    2.89,    2.41,,,,,,,    8.79,    7.32,     18929,   16.11,     18.39,     14.24,     32.63
2023-03-03,18:22:36.214,    3.99,    3.43,    3.84,    3.44,    3.80,    2.84,,,,,,,   11.62,    9.71,     18730,   21.33,    6.47,    4.65,    6.37,    4.58,    6.18,    4.52,,,,,,,   19.02,   13.75,     18730,   32.77,     30.64,     23.46,     54.10
2023-03-03,18:22:36.313,    5.90,    3.14,    5.84,    3.21,    5.59,    2.69,,,,,,,   17.33,    9.04,     18750,   26.36,    6.42,    5.06,    6.47,    4.99,    6.37,    4.80,,,,,,,   19.26,   14.85,     18750,   34.11,     36.58,     23.89,     60.47
