,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-03-03,20:27:46.562,    1.49,    2.30,    1.48,    2.19,    1.28,    1.76,,,,,,,    4.25,    6.25,     18920,   10.50,    1.37,    1.56,    1.38,    1.59,    1.39,    1.56,,,,,,,    4.14,    4.71,     18920,    8.84,      8.38,     10.96,     19.34
2023-03-03,20:27:46.661,    3.04,    3.66,    3.11,    3.66,    2.88,    3.15,,,,,,,    9.03,   10.46,     18979,   19.49,    5.98,    4.26,    6.07,    4.26,    5.93,    4.24,,,,,,,   17.97,   12.76,     18979,   30.73,     27.01,     23.22,     50.23
2023-03-03,20:27:46.761,    3.02,    2.94,    2.95,    2.98,    2.72,    2.52,,,,,,,    8.69,    8.44,     18730,   17.14,    2.52,    2.33,    2.59,    2.38,    2.47,    2.28,,,,,,,    7.58,    6.99,     18730,   14.57,     16.27,     15.44,     31.71
2023-03-03,20:27:46.861,    4.12,    4.22,    3.97,    4.12,    3.87,    3.50,,,,,,,   11.96,   11.85,     18929,   23.81,    5.32,    3.94,    5.39,    4.05,    5.37,    3.93,,,,,,,   16.08,   11.92,     18929,   28.00,     28.05,     23.77,     51.81
2023-03-03,20:27:46.961,    4.57,    4.50,    4.49,    4.43,    4.61,    4.03,,,,,,,   13.67,   12.97,     18730,   26.63,    7.43,    3.94,    7.53,    3.95,    7.27,    3.97,,,,,,,   22.23,   11.86,     18740,   34.10,     35.90,     24.83,     60.73
2023-03-03,20:27:47.061,    2.61,    2.62,    2.77,    2.63,    2.46,    2.09,,,,,,,    7.84,    7.35,     18740,   15.19,    2.28,    2.10,    2.33,    2.06,    2.24,    2.04,,,,,,,    6.84,    6.21,     18740,   13.05,     14.68,     13.55,     28.23
2023-03-03,20:27:47.161,    2.17,    2.65,    2.25,    2.64,    2.01,    2.09,,,,,,,    6.44,    7.38,     18930,   13.82,    2.37,    1.86,    2.37,    1.86,    2.37,    1.87,,,,,,,    7.11,    5.59,     18920,   12.70,     13.55,     12.97,     26.51
2023-03-03,20:27:47.261,   26.10,   13.25,   26.34,   13.10,   25.84,   12.66,,,,,,,   78.28,   39.01,     18730,  117.29,   50.86,   16.18,   51.15,   16.28,   50.81,   16.08,,,,,,,  152.82,   48.55,     18740,  201.37,    231.10,     87.56,    318.66
2023-03-03,20:27:47.362,    2.00,    2.30,    2.06,    2.23,    1.85,    1.92,,,,,,,    5.91,    6.45,     18930,   12.37,    2.93,    2.16,    2.90,    2.21,    2.85,    2.18,,,,,,,    8.69,    6.54,     18920,   15.23,     14.60,     13.00,     27.59
