time,sock0,sock1
0.1,  133.17,60698.98
0.2,  114.80,53178.57
0.3,  113.29,48746.21
0.4,  230.49,47780.37
0.5,  146.88,59184.77
0.6,  119.42,68355.27
0.7,  163.76,66707.42
0.8,  163.49,64902.05
0.9,  316.03,60466.24
1.0,  135.33,58737.16
1.1,   94.91,52731.21
1.2,  108.33,50361.48
1.3,  104.97,48214.65
1.4,  142.41,58008.16
1.5,  122.63,64329.84
1.6,   94.39,68243.80
1.7,  124.60,65285.21
1.8,  120.31,60872.72
1.9,  109.59,57466.86
2.0,   87.87,54092.65
2.1,  234.57,53914.51
2.2,  125.26,48601.88
2.3,  176.30,57230.05
2.4,  117.89,60597.30
2.5,  144.78,66502.77
2.6,  115.85,66411.19
2.7,  139.20,60745.04
2.8,  126.67,60163.73
2.9,   91.37,55295.09
3.0,  116.54,52320.93
3.1,   95.10,52270.06
3.2,  121.27,56012.03
3.3,  130.77,59147.47
3.4,  110.85,64476.87
3.5,  110.85,65076.67
3.6,  106.72,60471.56
3.7,  114.97,60599.59
3.8,  137.08,55992.84
3.9,  189.56,55606.68
4.0,  101.93,52976.66
4.1,   91.97,53808.17
4.2,  134.90,58611.00
4.3,  111.50,63607.88
4.4,  115.73,63609.03
4.5,  171.16,62508.18
4.6,  136.50,61497.87
4.7,  109.65,54225.43
4.8,  117.23,55936.59
4.9,   96.72,55988.83
5.0,  146.80,54305.46
5.1,  110.32,54283.61
5.2,  147.61,62192.96
5.3,  138.02,62753.62
5.4,  247.05,64508.51
5.5,  116.39,59708.20
5.6,  110.18,58444.73
5.7,  112.70,55432.25
5.8,  100.09,59214.00
5.9,  112.46,53344.81
6.0,  107.93,54878.27
6.1,  126.46,57537.70
6.2,  118.00,62966.32
6.3,   97.93,62702.80
6.4,  136.42,60940.73
6.5,  137.64,59339.24
6.6,  104.52,56910.23
6.7,  134.16,58782.85
6.8,  106.71,56572.16
6.9,  158.87,53557.11
7.0,  150.04,57447.34
7.1,   96.54,61396.20
7.2,  131.95,61937.41
7.3,  111.84,62263.72
7.4,  134.41,57067.74
7.5,  133.46,58722.59
7.6,  100.81,60024.89
7.7,  115.06,59151.34
