,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-05-25,16:19:14.476,   18.79,    3.85,   18.41,    4.06,   17.94,    3.89,   17.33,    3.81,   18.41,    4.01,   18.61,    4.07,  109.49,   23.68,     20350,  133.17, 4807.22, 5309.94, 4808.54, 5309.15, 4810.57, 5310.95, 4806.80, 5309.65, 4805.93, 5308.81, 4804.95, 5306.46,28844.02,31854.96,     21220,60698.98,  28953.51,  31878.64,  60832.14
2023-05-25,16:19:14.576,   16.03,    3.71,   15.35,    3.97,   15.12,    3.62,   14.64,    3.58,   15.46,    3.77,   15.64,    3.90,   92.25,   22.56,     18730,  114.80, 4255.19, 4610.84, 4255.80, 4608.92, 4257.37, 4608.93, 4255.93, 4604.06, 4254.71, 4604.68, 4256.69, 4605.44,25535.70,27642.87,     19080,53178.57,  25627.95,  27665.43,  53293.38
2023-05-25,16:19:14.675,   16.68,    3.08,   15.56,    3.25,   15.50,    3.14,   14.78,    2.98,   15.97,    3.24,   15.96,    3.15,   94.46,   18.83,     18826,  113.29, 4172.92, 3953.45, 4174.36, 3951.48, 4173.36, 3949.67, 4172.55, 3948.32, 4172.03, 3953.61, 4174.04, 3950.42,25039.27,23706.94,     19432,48746.21,  25133.73,  23725.77,  48859.50
2023-05-25,16:19:14.775,   32.68,    6.56,   31.77,    6.75,   31.29,    6.46,   30.77,    6.27,   31.76,    6.46,   32.40,    7.32,  190.67,   39.82,     18640,  230.49, 4054.72, 3920.02, 4051.32, 3913.91, 4053.42, 3916.93, 4042.65, 3911.11, 4045.67, 3915.92, 4043.07, 3911.63,24290.84,23489.53,     18940,47780.37,  24481.51,  23529.35,  48010.86
2023-05-25,16:19:14.875,   20.49,    4.18,   20.34,    4.49,   20.14,    4.35,   19.53,    4.28,   20.48,    4.23,   20.03,    4.34,  121.01,   25.87,     18660,  146.88, 4687.25, 5180.63, 4686.70, 5179.31, 4685.42, 5179.55, 4682.41, 5177.32, 4683.43, 5179.26, 4683.77, 5179.72,28108.99,31075.79,     19480,59184.77,  28230.00,  31101.66,  59331.66
2023-05-25,16:19:14.975,   17.21,    2.79,   17.17,    3.00,   16.80,    2.89,   16.64,    2.84,   17.32,    2.79,   17.06,    2.91,  102.19,   17.22,     18846,  119.42, 5242.54, 6151.24, 5240.56, 6148.06, 5243.93, 6152.14, 5241.81, 6149.42, 5243.96, 6150.83, 5241.98, 6148.80,31454.77,36900.49,     19816,68355.27,  31556.96,  36917.71,  68474.68
2023-05-25,16:19:15.075,   23.65,    4.25,   23.41,    4.54,   23.19,    4.39,   22.06,    4.11,   23.07,    4.15,   22.75,    4.20,  138.12,   25.64,     18640,  163.76, 5157.69, 5961.68, 5158.49, 5957.74, 5158.89, 5959.68, 5160.43, 5959.62, 5158.85, 5960.04, 5158.36, 5955.98,30952.70,35754.73,     19710,66707.42,  31090.82,  35780.37,  66871.19
2023-05-25,16:19:15.175,   21.40,    6.79,   20.31,    6.51,   20.23,    6.54,   19.62,    6.32,   20.56,    6.32,   21.40,    7.49,  123.52,   39.97,     18660,  163.49, 5110.15, 5709.18, 5107.70, 5704.58, 5111.02, 5708.88, 5113.79, 5704.74, 5112.93, 5706.34, 5110.77, 5701.98,30666.36,34235.69,     19830,64902.05,  30789.89,  34275.66,  65065.54
2023-05-25,16:19:15.275,   41.52,   11.96,   41.02,   12.07,   40.75,   11.85,   39.56,   11.82,   40.75,   11.85,   40.83,   12.06,  244.42,   71.61,     18660,  316.03, 4779.46, 5310.51, 4777.36, 5304.12, 4779.81, 5307.47, 4769.34, 5300.86, 4769.90, 5303.24, 4767.42, 5296.76,28643.28,31822.96,     19150,60466.24,  28887.70,  31894.57,  60782.27
