,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-02-07,18:14:36.114,    5.79,    3.99,    2.41,    0.65,    5.75,    4.04,    2.34,    0.67,   16.29,    9.35,    105240,   25.64,    6.14,    4.36,    2.66,    0.97,    5.94,    4.27,    2.83,    1.05,   17.58,   10.65,    105220,   28.23,     33.87,     20.00,     53.86
2023-02-07,18:14:36.213,    6.74,    4.71,    3.37,    1.28,    6.75,    4.63,    3.42,    1.31,   20.28,   11.92,    104440,   32.20,    7.52,    4.95,    4.13,    1.64,    7.36,    4.91,    4.35,    1.77,   23.35,   13.28,    104440,   36.63,     43.63,     25.20,     68.83
2023-02-07,18:14:36.314,    4.47,    3.99,    1.14,    0.64,    4.53,    4.02,    1.14,    0.63,   11.27,    9.29,    105260,   20.56,    6.05,    4.43,    2.64,    1.06,    5.89,    4.38,    2.91,    1.15,   17.49,   11.02,    105280,   28.51,     28.76,     20.31,     49.06
2023-02-07,18:14:36.413,    7.55,    5.05,    4.17,    1.75,    7.46,    5.06,    4.10,    1.71,   23.28,   13.58,    104220,   36.86,    9.17,    5.72,    5.80,    2.37,    9.05,    5.67,    6.08,    2.53,   30.09,   16.29,    104220,   46.38,     53.37,     29.86,     83.24
2023-02-07,18:14:36.513,    5.89,    4.18,    2.50,    0.78,    5.78,    4.15,    2.49,    0.82,   16.66,    9.94,    105270,   26.60,    5.84,    4.71,    2.42,    1.24,    5.61,    4.55,    2.66,    1.36,   16.53,   11.86,    105260,   28.40,     33.20,     21.81,     55.00
2023-02-07,18:14:36.614,    5.64,    4.13,    2.39,    0.79,    5.66,    4.13,    2.27,    0.79,   15.97,    9.84,    104207,   25.81,    5.37,    4.46,    2.04,    1.11,    5.30,    4.40,    2.27,    1.24,   14.98,   11.21,    104216,   26.20,     30.95,     21.05,     52.00
2023-02-07,18:14:36.714,    7.92,    4.99,    4.61,    1.65,    7.89,    5.05,    4.56,    1.61,   24.97,   13.31,    105270,   38.28,    5.02,    5.02,    1.61,    1.52,    4.84,    4.86,    1.75,    1.63,   13.23,   13.02,    105250,   26.25,     38.20,     26.33,     64.53
2023-02-07,18:14:36.814,    5.17,    4.00,    1.92,    0.67,    5.25,    4.00,    1.85,    0.68,   14.20,    9.35,    105230,   23.55,    5.37,    4.41,    1.95,    0.99,    5.17,    4.37,    2.31,    1.17,   14.80,   10.95,    105240,   25.74,     28.99,     20.30,     49.29
2023-02-07,18:14:36.914,    5.06,    3.87,    1.73,    0.51,    5.05,    3.85,    1.74,    0.55,   13.57,    8.78,    104190,   22.35,    4.48,    4.05,    1.08,    0.66,    4.27,    3.95,    1.31,    0.79,   11.14,    9.45,    104180,   20.59,     24.71,     18.22,     42.94
