13000_sock0,13000_sock1,10000_sock0,10000_sock1,7000_sock0,7000_sock1
   32.62,   34.90,   41.94,   31.41,   25.64,   28.23
   17.28,   20.13,  229.75,  181.68,   32.20,   36.63
   16.02,   18.84,   61.94,   37.54,   20.56,   28.51
   44.49,   40.33,   42.04,   42.58,   36.86,   46.38
   23.64,   26.24,   38.81,   36.91,   26.60,   28.40
   27.49,   28.25,   19.03,   35.00,   25.81,   26.20
   21.92,   31.22,   31.68,   24.94,   38.28,   26.25
   16.88,   20.74,   31.58,   38.59,   23.55,   25.74
   21.87,   23.99,   18.75,   19.48,   22.35,   20.59
   16.49,   19.32,   77.33,   30.25,   34.81,   38.89
   85.03,  138.19,   59.82,   48.78,   21.65,   23.80
   83.76,   75.99,   19.50,   29.02,   23.38,   25.62
   54.22,   43.78,   68.92,   78.72,   35.84,   29.21
   31.42,   30.14,   38.12,   88.89,   66.80,   87.48
   31.44,   30.62,   77.28,   69.31,  304.02,  163.38
  105.19,   81.14,   38.40,   65.85,   55.99,   33.33
   69.73,  387.51,   63.97,  109.71,  167.15,  103.47
  133.14,  291.15,  190.22,  137.28,   88.17,  156.10
   47.78,  194.94,   96.38,  222.41,   63.40,  222.01
   22.70,  193.58,   66.19,  228.57,   30.60,  142.51
  164.75,  264.48,   64.70,  267.52,   32.08,  167.82
   25.88,  178.31,   50.89,  189.39,   40.63,  214.26
   22.04,  167.40,   49.99,  186.88,   27.19,  186.38
   83.15,  278.57,   32.17,  181.62,  128.17,  319.49
   37.95,  197.08,   32.97,  181.46,   58.35,  210.61
   45.51,  201.91,   26.18,  181.41,   37.63,  151.68
   30.09,  224.82,   29.02,  191.78,   31.78,  171.07
   80.40,  202.55,   87.28,  318.42,   27.53,  185.50
  267.58,  283.79,   26.04,  138.28,  105.44,  350.57
   42.69,  189.39,   29.34,  149.78,   29.32,  130.50
   98.34,  270.02,   45.56,  198.36,  143.77,  361.24
   59.79,  243.76,  125.46,  338.92,  182.63,  231.77
   64.65,  201.26,   49.73,  220.69,   56.38,  107.94
   80.61,  229.41,   33.45,  172.89,   36.49,  154.07
   81.87,  256.59,   44.34,  235.38,  237.45,  512.50
   39.81,  183.40,   22.89,  165.76,   40.91,  140.64
   34.75,  173.72,   37.37,  184.03,   43.71,  201.23
   60.56,  244.46,   53.86,  240.08,   23.22,  160.71
   94.35,  221.98,   71.16,  239.42,   83.38,  288.30
   27.56,  168.49,   29.18,  143.76,  123.96,  184.59
   41.94,  221.96,  141.60,  346.99,   44.27,  167.17
   22.87,  177.42,   55.84,  104.22,   77.38,  252.34
   22.32,  168.32,   63.54,  160.87,   43.13,  144.45
   50.71,  209.22,   30.69,  163.82,   47.51,  336.98
   34.02,  197.85,   31.63,  191.34,   47.24, 1856.99
   28.01,  179.90,   18.59,  164.27,   60.20, 1870.03
   22.55,  190.97,   24.44,  181.42,  119.30, 6847.81
   22.64,  197.09,   52.78,  242.79,  102.89, 7134.05
   56.94,  220.11,  315.33,  414.42,  187.43, 9435.38
   18.45,  168.24,   49.39,  126.92,   50.55,11262.86
  343.04,  592.30,  110.41,  257.10,   77.22,10538.46
   54.61,  176.51,   30.24,  153.61,   62.62, 9869.14
   42.95,  187.51,   69.92,  222.68,  111.26,10201.59
   39.05,  183.66,   45.48,  182.67,  204.68,10825.38
   32.51,  172.44,   50.10,  209.43,  420.48,12022.46
   26.56,  184.01,   33.92,  218.24,  189.29,10857.12
   25.66,  184.36,   32.02,  184.51,   77.29,10935.85
   23.93,  178.82,  219.25,  415.22,   53.95,10095.45
  109.51,  230.88,  106.56,  341.19,  177.01,10039.72
   21.05,  175.31,   45.73,  166.38,   82.04,11953.34
   58.94,  231.82,   67.89,  318.71,  101.27,12301.10
   21.37,  178.23,   22.39,  147.84,  141.30,11563.89
   17.78,  169.51,   44.06,  201.69,   78.11,10062.21
  291.74,  335.96,   27.83,  176.94,  113.43,11509.45
   46.34,  189.78,   29.32,  172.75,  123.37,10402.11
   28.93,  169.53,   40.38,  205.40,   76.91, 9477.59
   27.48,  174.99,   28.73,  176.71,   61.88, 9782.61
   40.27,  178.87,   31.37,  215.57,   69.55, 9069.04
   95.10,  228.26,   94.13,  303.66,  107.82, 9058.61
   31.66,  196.41,   44.74,  154.19,  133.90,10305.50
  179.91,  285.68,   58.89,  200.86,   65.58,10035.50
   59.48,  243.28,   89.25,  218.42,   80.75, 8584.39
   44.47,  225.40,   57.33,  252.80,   63.76, 8999.22
   32.17,  170.93,   47.78, 1456.98,  189.81,10371.50
   81.69,  342.80,   62.76, 1918.33,  117.46,10292.36
   24.20,  150.94,   44.99, 1901.07,   68.54, 9799.63
   26.89,  165.78,   64.72, 1920.67,   92.09,12360.53
   31.48,  190.25,   90.30, 2046.86,   51.16,11111.06
  115.76,  230.36,  188.37, 8484.87,   58.02,11323.12
   69.22,  363.17,  167.49, 9140.50,  171.97,10721.55
   53.07,  211.47,  118.79,10323.62,  223.72, 9757.43
   26.59,  155.09,   60.93,10854.62,  222.02,10019.39
   25.07,  174.47,   84.73,10295.09,  103.87,10026.69
   67.50,  210.04,   67.84, 8956.53,   67.45, 9726.49
   55.59,  212.38,   88.65, 7648.83,   92.09, 9380.49
   52.92,  206.62,   55.89, 8247.89,   79.54,10244.00
   23.11,  172.41,   60.63, 7583.83,  297.81, 8871.04
   24.81,  179.02,   61.00, 8466.80,   65.41, 8402.90
   68.02,  217.41,  105.96, 9984.09,   61.46, 9406.00
   47.99,  211.20,   98.18,11302.16,  145.17, 8987.49
   49.56,  228.02,  366.72, 8724.04,   66.83, 9947.94
   42.14,  229.40,  114.73, 7929.94,   88.12, 9508.50
   50.15,  207.87,   93.27, 9211.60,  145.03, 9275.71
  128.07,  321.94,   55.78, 8119.03,   62.29, 8782.06
   39.79,  171.17,   78.89, 8761.72,  128.23, 7754.23
   29.95,  159.08,   74.34, 8498.69,   74.40, 8292.91
   26.93,  179.61,   65.10, 8501.58,   81.13, 8089.43
   25.99,  177.35,   92.49,10224.78,   95.22, 7371.32
   31.25,  187.35,   80.43, 8893.39,   65.44, 7124.01
   75.58,  208.56,  198.03, 8390.83,  138.41, 8083.85
   38.86,  230.55,   73.46, 7146.66,   81.64, 8788.25
   22.36,  171.25,  117.26, 8666.41,   83.04, 8217.56
   20.87,  180.17,  142.48, 8373.48,   70.90, 8422.81
   43.87,  206.42,   97.99, 7924.17,   77.78, 9937.37
   19.47,  176.51,  192.55, 8281.66,   58.68, 8866.49
   33.49,  188.25,   42.12, 9295.09,   69.68, 8884.60
   23.16,  178.26,   80.49, 9943.61,   64.09, 7998.97
   20.53,  176.03,   64.24, 9649.92,  196.12, 7574.03
   24.17,  182.45,   47.45, 9675.23,   62.48, 7644.48
  236.83, 1538.48,  155.83, 8313.09,  153.62, 8890.62
   70.10, 2031.66,  123.99, 8948.53,   68.06, 8626.76
   58.14, 1967.64,   53.96, 9136.92,   57.62, 9753.93
   49.53, 1990.55,   86.49, 7838.74,   59.60, 9513.46
   48.03, 1937.96,   46.30, 7375.97,  106.61,11494.94
   45.69, 1993.34,  140.67, 8680.29,  192.41,10333.47
   31.85, 1935.66,   61.64, 8868.67,  105.97,10969.41
   42.77, 1958.50,  101.27, 9487.71,   94.18,11097.56
  166.40, 7853.38,   90.67,10696.18,   70.13,13188.42
  103.15, 9175.13,   76.10,11092.03,   53.21,13251.71
  144.14,12828.56,  215.59,10131.76,  120.98,12060.82
  302.66,12052.88,  199.11, 9864.26,  116.62,11344.15
  108.89,12197.31,  116.77,10226.27,   80.15, 8965.91
   63.13,11223.00,   84.28, 9255.58,   62.38, 9904.19
  143.02,13472.87,   56.89, 7729.57,   73.61,10577.29
   59.19,12799.00,   97.16, 7989.20,   54.14,10560.29
   55.75,12669.08,   47.70, 7198.90,   63.47,11675.56
   61.96,13236.15,   68.65, 9271.94,   57.51,12313.70
   44.50,11630.62,   59.95,12039.09,   67.28,11890.33
  130.17,11534.57,   63.44, 8880.80,   80.07,12739.32
  154.90,12676.65,  148.68, 7659.62,   56.62,12175.45
  137.55,12515.75,   96.72, 8183.86,  353.00,12608.63
  177.06,13708.05,  184.04, 9916.83,   81.86,12779.68
  110.75,12807.78,  124.06,11077.51,   66.83,11319.51
  144.34,12396.90,   44.38, 9807.68,  135.36,10970.09
   97.03,12572.80,   80.37, 8805.42,   73.26,10246.42
   63.68,11435.03,   72.93, 7195.92,   85.14,10492.35
   64.94,10590.26,   88.18, 6769.62,   72.89, 9946.28
   70.28,12446.33,   97.17, 8827.81,   54.78,11880.71
  127.91,11301.14,   94.71, 8493.77,   55.99,10569.08
  125.49,10061.08,  145.93, 7896.86,   48.58,11502.34
   97.06,10733.90,  280.07, 8114.34,  239.04,11802.84
   66.24,10238.53,   42.47, 8154.51,  158.02, 4761.63
   62.67, 9989.60,   82.16, 8925.43,   35.26,   41.85
  103.84, 9011.53,   61.29, 9280.00,   38.17,   39.95
   67.72, 8990.55,   61.81, 9919.50,   17.09,   22.98
   54.12, 8793.76,   55.46, 9381.46,   29.99,   36.56
   47.24, 9304.76,  100.31, 8341.33,   20.51,   23.18
   59.91, 9403.88,   50.09,11187.08,   61.75,   75.69
   85.21,11869.40,   52.81,11288.35,   22.39,   26.68
   70.84,12990.23,   92.96, 8186.45,   15.27,   17.28
  345.84,13165.55,  299.14,10100.75,   90.52,  134.88
  115.17,11764.41,  148.31, 9979.18,   23.67,   30.88
   77.64,11281.32,   91.10, 8832.19,   21.17,   22.70
   91.30,11164.04,   74.33, 8503.86,   48.38,   46.72
   56.51,10974.83,   65.38, 8304.12,   33.93,   65.80
   58.44,10046.06,   76.45, 7980.84,   96.49,   83.11
   87.97, 9650.98,  104.42, 8277.25,,
   64.38,10223.13,   65.82, 9194.92,,
   88.30,10652.03,   55.22, 9852.99,,
   44.41, 9439.37,   90.57, 8967.40,,
  198.19,10791.76,  160.91, 7931.01,,
   42.21,12547.02,   39.51,10164.79,,
   57.71, 9867.29,   70.70, 9520.92,,
  112.97,10247.13,   58.87, 8096.25,,
   50.35, 8385.06,   67.20, 8084.08,,
   65.25, 8185.12,   68.66, 9176.11,,
   61.97, 8106.76,   76.64, 9280.89,,
   75.40, 7141.46,   62.70,11336.30,,
   70.34, 6855.08,   71.53, 9712.52,,
   56.42, 7041.43,  135.27, 8963.28,,
  567.00,10207.36,  209.48, 9953.20,,
  101.69, 9985.55,   79.30,10228.53,,
   70.78, 9362.28,   86.36, 9537.33,,
  111.70,10096.84,   79.29, 9551.68,,
   57.55,12822.79,   70.55, 9292.94,,
   56.95,13045.27,   85.75, 7797.42,,
   56.28,13125.41,  151.55, 8660.20,,
   47.47,12838.64,  169.13,11627.96,,
   98.84,11611.69,   71.67,13171.64,,
   66.63,10973.95,   74.88,11078.11,,
  129.84, 9517.53,  109.52,10753.98,,
  205.12, 9717.46,   85.67, 9248.46,,
   69.68, 9672.87,   76.92, 8579.43,,
  135.74, 7750.79,   63.64, 7848.93,,
   92.33, 7861.96,   71.66, 9654.26,,
  112.99, 7968.67,  197.25, 8530.15,,
   63.58, 7012.52,   83.85, 9619.23,,
   88.20, 8082.42,   49.39,10584.39,,
   80.71, 8837.50,   62.37,10063.65,,
   60.64, 7244.15,  270.43,10858.01,,
   82.27, 7145.35,  212.65,11262.28,,
  180.25, 9477.50,  147.97,11266.46,,
   60.37,11848.54,   63.51,10026.13,,
  114.10,11202.96,   64.54,11529.08,,
   63.73,10371.45,   57.53, 9072.73,,
   61.44, 9112.70,   69.55, 8784.55,,
   74.31, 8399.98,   98.51,10188.42,,
   64.26, 8737.00,   58.80,10318.24,,
   69.86, 8849.79,   62.35, 9603.80,,
  217.64, 9003.48,   69.71, 7691.31,,
   74.02,11831.76,  119.17, 9824.94,,
  152.11,12417.51,  213.07, 9286.02,,
   56.14,12044.92,  106.53, 8663.69,,
  106.60,10806.41,   90.20, 8887.72,,
   56.76,10381.71,   66.26, 8628.07,,
   98.68, 9938.97,   56.42, 8648.67,,
   41.70, 9098.47,   92.42, 8519.59,,
   56.19, 8787.02,   44.83, 7382.54,,
   62.04, 9551.96,   79.88, 8796.89,,
   77.53, 9250.60,  104.10, 8015.93,,
  111.56, 9075.59,   56.36, 9051.96,,
  166.60,10676.42,  130.87, 9454.09,,
   56.11, 9658.38,   84.61, 9614.30,,
  109.10,11455.66,  261.39, 9467.71,,
   61.20,12543.39,   83.03,10047.80,,
   61.26,11787.10,   97.09, 9692.11,,
   94.11,11481.62,  118.53, 9330.59,,
   81.31,12436.62,   59.39,10572.46,,
   62.20,12576.15,   53.30, 9437.73,,
  156.51,11332.85,  134.77, 7838.33,,
  226.12, 9660.27,   68.50, 9389.79,,
  156.05,11243.78,   86.92,11269.55,,
   67.62,11971.71,  183.62,12059.23,,
  106.03,11286.13,   42.07, 7952.02,,
   53.64,11865.20,   70.27, 7907.42,,
   59.20,10180.03,   43.31, 9152.44,,
   54.44,11378.22,   86.24,10703.65,,
  118.48,13003.15,   47.71, 9083.22,,
   75.14,12204.48,   62.07, 8702.54,,
   80.28,10587.15,  300.92, 8017.09,,
  185.06,12049.47,   52.68, 8442.16,,
  239.24,10928.81,  145.26,10350.28,,
  105.80, 9554.34,  198.14, 7801.44,,
  126.64, 9807.96,   76.44, 7897.39,,
   61.82,10354.29,  186.15, 8688.23,,
   70.72, 9606.29,   86.27, 9169.81,,
   59.43, 9426.18,   90.56, 9425.22,,
   79.94,10019.50,   55.22, 9382.87,,
   77.58, 9992.13,   73.65,10218.30,,
   61.98,11187.83,  265.16,10225.41,,
  223.83,12176.76,  197.02,11949.48,,
  132.57,12323.88,   67.66, 9490.19,,
  220.68,10417.94,  178.89, 9386.18,,
  135.71,12917.59,   56.34, 8571.67,,
   59.87,12449.65,   58.20, 9402.90,,
   48.71,11539.50,   46.88,10107.33,,
   51.52,12169.70,  111.72,11286.11,,
   55.68,10914.23,   43.32, 9832.14,,
   67.25,11793.16,  146.10,10384.92,,
   68.26,11561.83,   96.12,10800.53,,
  215.13,11633.39,  147.45,11111.92,,
   67.17,12190.67,  174.56, 9284.88,,
  182.61,12568.07,  167.67, 9115.57,,
   86.47,11271.42,   99.42,11131.92,,
   58.87,11510.92,   52.19,12140.85,,
   66.29,11060.22,   81.25,11799.15,,
   60.18,11096.67,  110.05,11401.01,,
   71.95,12080.24,   61.74,10999.90,,
   67.09,10364.03,   59.71, 9312.06,,
   69.22,11873.03,  100.05,10608.83,,
   88.02,10705.30,   56.25, 9032.72,,
   61.91,11342.43,   53.71, 8064.18,,
  159.98,12934.92,  116.16, 9374.55,,
  103.82,11180.29,  119.47, 9283.25,,
  117.46, 9642.68,   89.82, 8634.43,,
   62.61,10631.03,   54.27, 9124.16,,
  213.19, 9523.27,   87.06, 7442.31,,
   47.58,10971.98,   64.35, 9629.97,,
   63.81, 9746.88,   55.96, 7925.83,,
  150.99,12478.92,  150.50, 8013.89,,
  290.17,10889.97,  139.57,10146.59,,
   94.45,12329.19,   76.48, 8848.85,,
  178.39,10921.55,   81.84, 8410.74,,
   96.80,10237.65,  155.78, 8874.31,,
   71.52,10455.87,   96.60,10422.57,,
   63.96,11768.99,  107.12, 9670.76,,
   62.62,12275.14,  109.36, 9500.95,,
   86.52,12469.92,   66.11, 9814.73,,
   91.78,12745.61,   69.14, 9284.07,,
   66.80,11408.49,  100.89, 9518.11,,
   56.81,10678.99,   56.38, 8311.68,,
  123.06,10323.41,   65.73, 7649.98,,
  218.26, 9866.92,   88.15, 7792.50,,
  144.47, 9554.01,  162.70, 9585.17,,
  111.09, 8637.45,   47.66, 8391.98,,
   58.88,11293.34,   47.31, 9049.32,,
   53.37,13877.96,   82.61, 9576.42,,
   66.98,11777.69,   50.20,11380.70,,
   81.65,11577.54,   52.46, 9066.00,,
  104.89,11250.93,  332.31, 8616.41,,
  240.57,11756.16,  113.48,10628.20,,
   70.18,10601.04,   68.60,10142.79,,
   91.74,10163.90,   69.69, 8776.96,,
  166.90,11674.51,  151.60, 8397.19,,
   76.74,11159.08,   76.49, 6928.84,,
   66.81,10875.80,   85.74, 8062.68,,
   64.27, 9947.36,   95.06, 8646.91,,
   71.54, 9811.65,   54.14, 7634.93,,
   59.69, 9519.08,   54.35, 7567.07,,
   79.48, 8912.00,   75.16, 8220.05,,
   44.58, 9625.19,  120.81, 8974.06,,
   48.33,10359.92,  190.47, 7826.08,,
   81.64,10349.38,  248.57, 9033.24,,
  138.03,10504.06,  159.58, 8908.97,,
   63.30, 9504.66,   74.50, 9493.35,,
   53.74, 8828.30,   69.91,10477.60,,
   51.94, 8768.97,   68.47,10475.76,,
   60.21, 8612.00,   45.05, 8924.01,,
   68.06, 9076.06,   67.70, 7974.54,,
  107.74, 8274.80,   98.49, 9088.99,,
   69.30, 9908.85,   58.54, 8474.04,,
   62.77,10363.84,   67.28, 9974.38,,
  113.15, 9610.34,   70.66, 8691.13,,
  155.82,11380.30,  187.60, 9633.27,,
   92.74,11538.21,   89.33,10795.37,,
   87.24,12924.67,   66.44, 9315.36,,
   69.34,11198.42,  149.83, 9541.49,,
   84.49,10115.39,   69.54, 9117.70,,
   72.32, 9745.37,  118.88, 9840.54,,
  273.45,12023.35,  163.24, 9754.41,,
   53.65,13367.49,   70.15, 8614.97,,
   76.16,10577.71,   53.26, 9360.25,,
