time,sock0,sock1
0.1,  119.26, 2248.84
0.2,   91.21, 2774.96
0.3,  246.61, 3495.92
0.4,  136.04, 2049.48
0.5,   87.56, 2001.65
0.6,   58.70, 1888.61
0.7,  144.36, 1948.60
0.8,  593.59, 2366.05
0.9,  193.35, 2160.04
1.0,  142.03, 2029.00
1.1,  146.89, 1785.59
1.2,  425.97, 2392.00
1.3,  345.60, 2005.12
1.4,   76.88, 1719.87
1.5,  128.70, 1777.08
1.6,  153.50, 1802.69
1.7,  119.37, 1716.35
1.8,   71.55, 1700.89
1.9,   87.35, 1681.46
2.0,  149.14, 1803.46
2.1,   98.38, 1671.41
2.2,   60.82, 1635.04
2.3,   88.99, 1663.21
2.4,  171.31, 1762.37
2.5,  113.49, 1688.27
2.6,   83.05, 1676.97
2.7,  187.29, 1787.94
2.8,  446.56, 2257.07
2.9,  157.49, 1723.26
3.0,  122.00, 1716.91
3.1,   67.06, 1591.62
3.2,  192.06, 1749.81
3.3,  378.35, 1890.99
3.4,   85.57, 1573.50
3.5,   54.12, 1550.85
3.6,  134.88, 1621.19
3.7,   92.10, 1556.97
3.8,  183.81, 2082.52
3.9,  165.34, 2875.98
4.0,  173.64, 3571.62
4.1,  203.59, 3441.24
4.2,  144.18, 2026.42
4.3,   63.00, 6472.88
4.4,  146.05, 3939.03
4.5,   52.41,  228.76
4.6,  120.26,  582.71
4.7,   56.88,   95.04
4.8,   63.50,  101.85
