,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:35:29.077,   13.11,    7.30,   13.29,    7.52,   13.03,    7.16,   12.11,    6.82,   12.32,    7.07,   12.44,    7.09,   76.31,   42.95,     18800,  119.26,  286.19,   88.48,  286.58,   88.84,  287.00,   89.20,  286.54,   88.87,  286.27,   88.59,  284.73,   87.56, 1717.30,  531.54,     18800, 2248.84,   1793.61,    574.49,   2368.10
2023-04-16,16:35:29.177,   10.38,    5.17,   10.61,    5.37,   10.39,    5.10,    9.75,    4.85,    9.78,    4.93,    9.82,    5.06,   60.74,   30.47,     18660,   91.21,  292.07,  170.50,  291.96,  170.03,  291.66,  170.70,  292.04,  170.69,  292.39,  170.87,  291.80,  170.27, 1751.90, 1023.06,    186620, 2774.96,   1812.64,   1053.53,   2866.17
2023-04-16,16:35:29.276,   30.23,   12.45,   30.23,   12.78,   30.23,   12.70,   26.91,   11.17,   27.79,   12.43,   27.66,   12.01,  173.05,   73.56,     18816,  246.61,  313.47,  270.53,  314.07,  270.87,  314.77,  271.83,  310.05,  269.89,  310.51,  269.81,  309.86,  270.24, 1872.74, 1623.18,    369986, 3495.92,   2045.79,   1696.73,   3742.53
2023-04-16,16:35:29.376,   16.74,    6.50,   17.08,    6.93,   16.71,    6.65,   15.36,    6.02,   15.69,    6.37,   15.82,    6.19,   97.39,   38.65,     18640,  136.04,  290.12,   52.36,  289.33,   51.69,  288.74,   52.56,  289.74,   51.91,  289.36,   52.23,  289.81,   51.63, 1737.11,  312.37,     18620, 2049.48,   1834.50,    351.02,   2185.52
2023-04-16,16:35:29.476,   11.21,    4.00,   11.45,    4.27,   11.16,    4.00,    9.95,    3.45,   10.20,    3.79,   10.24,    3.84,   64.22,   23.34,     18806,   87.56,  296.10,   38.24,  295.55,   37.62,  295.39,   37.81,  295.99,   37.85,  296.81,   37.50,  294.92,   37.87, 1774.76,  226.89,     18816, 2001.65,   1838.97,    250.24,   2089.21
2023-04-16,16:35:29.575,    6.85,    2.98,    7.10,    3.27,    6.88,    3.02,    6.53,    2.88,    6.54,    2.96,    6.68,    3.01,   40.58,   18.12,     18610,   58.70,  286.52,   27.97,  285.76,   27.85,  286.08,   28.06,  287.77,   27.74,  287.72,   28.16,  287.57,   27.41, 1721.42,  167.18,     18620, 1888.61,   1762.00,    185.30,   1947.30
2023-04-16,16:35:29.675,   17.07,    7.62,   17.41,    8.05,   17.08,    7.77,   15.54,    7.20,   15.90,    7.40,   15.89,    7.45,   98.88,   45.48,     18796,  144.36,  296.34,   28.90,  295.91,   28.74,  296.55,   28.78,  295.81,   28.57,  295.60,   28.22,  296.69,   28.50, 1776.90,  171.70,     18806, 1948.60,   1875.78,    217.18,   2092.96
2023-04-16,16:35:29.775,   59.64,   40.22,   60.55,   41.48,   60.43,   41.74,   56.06,   38.82,   57.86,   40.50,   56.78,   39.50,  351.32,  242.27,     18620,  593.59,  334.87,   61.13,  334.60,   61.39,  334.67,   62.09,  331.37,   58.73,  331.74,   60.49,  333.97,   60.98, 2001.23,  364.82,     18670, 2366.05,   2352.55,    607.09,   2959.64
2023-04-16,16:35:29.875,   23.12,    9.46,   23.36,    9.85,   24.19,   10.39,   21.57,    8.73,   22.26,    9.39,   21.93,    9.08,  136.44,   56.91,     18826,  193.35,  322.34,   37.55,  322.50,   37.54,  322.87,   37.99,  322.38,   36.55,  323.94,   37.25,  322.04,   37.09, 1936.07,  223.97,     18816, 2160.04,   2072.51,    280.88,   2353.39
2023-04-16,16:35:29.975,   15.91,    7.84,   16.16,    8.06,   16.18,    7.82,   15.64,    7.58,   15.87,    7.86,   15.59,    7.51,   95.35,   46.68,     18660,  142.03,  304.65,   33.45,  304.28,   33.80,  304.30,   33.80,  303.87,   33.08,  305.51,   33.47,  304.95,   33.82, 1827.57,  201.43,     18640, 2029.00,   1922.92,    248.11,   2171.03
2023-04-16,16:35:30.074,   19.30,    5.94,   19.67,    6.26,   19.30,    6.00,   17.79,    5.36,   18.04,    5.56,   18.17,    5.51,  112.26,   34.63,     18620,  146.89,  277.76,   20.11,  278.40,   20.26,  276.60,   19.92,  277.78,   19.30,  278.13,   19.66,  277.94,   19.74, 1666.60,  118.99,     18640, 1785.59,   1778.86,    153.62,   1932.48
2023-04-16,16:35:30.175,   34.95,   41.62,   33.88,   40.26,   33.75,   40.08,   28.86,   38.54,   28.59,   38.63,   28.50,   38.31,  188.53,  237.44,     18800,  425.97,  308.17,   86.64,  307.19,   85.82,  308.01,   86.43,  310.93,   91.47,  312.45,   91.83,  311.47,   91.58, 1858.22,  533.77,     18850, 2392.00,   2046.76,    771.22,   2817.97
2023-04-16,16:35:30.275,   37.29,   19.35,   37.53,   19.89,   40.42,   22.52,   35.71,   18.07,   37.89,   20.20,   37.25,   19.49,  226.09,  119.51,     18640,  345.60,  298.93,   35.05,  298.91,   34.28,  300.63,   35.52,  298.99,   32.51,  302.17,   36.54,  298.89,   32.70, 1798.52,  206.60,     18650, 2005.12,   2024.62,    326.11,   2350.72
2023-04-16,16:35:30.376,    7.92,    4.89,    8.18,    5.09,    8.07,    4.96,    7.93,    4.48,    7.98,    4.70,    8.03,    4.65,   48.11,   28.77,     18800,   76.88,  270.71,   14.94,  270.58,   14.84,  270.57,   14.92,  273.17,   14.46,  273.13,   14.54,  273.27,   14.74, 1631.43,   88.44,     18810, 1719.87,   1679.54,    117.21,   1796.75
2023-04-16,16:35:30.476,   15.68,    6.87,   15.75,    7.16,   15.54,    6.84,   13.98,    5.99,   14.16,    6.34,   14.20,    6.18,   89.30,   39.40,     18630,  128.70,  277.29,   19.55,  277.26,   19.33,  276.78,   19.66,  276.86,   18.96,  276.38,   18.72,  276.95,   19.35, 1661.51,  115.57,     18660, 1777.08,   1750.81,    154.97,   1905.78
2023-04-16,16:35:30.576,   18.69,    7.69,   19.14,    8.18,   18.79,    7.81,   17.01,    7.08,   17.38,    7.42,   17.07,    7.24,  108.08,   45.41,     18810,  153.50,  280.48,   20.39,  279.71,   20.36,  280.76,   20.33,  280.42,   19.62,  280.07,   19.55,  280.85,   20.15, 1682.29,  120.40,     18820, 1802.69,   1790.37,    165.81,   1956.18
2023-04-16,16:35:30.676,   14.77,    5.99,   15.07,    6.31,   14.64,    5.97,   13.13,    5.32,   13.45,    5.59,   13.49,    5.64,   84.55,   34.81,     18630,  119.37,  269.39,   15.75,  270.69,   15.57,  270.16,   15.75,  270.12,   15.11,  270.96,   15.37,  271.79,   15.69, 1623.11,   93.24,     18650, 1716.35,   1707.66,    128.06,   1835.72
2023-04-16,16:35:30.776,    8.54,    3.72,    8.70,    3.95,    8.46,    3.65,    7.90,    3.29,    7.99,    3.50,    8.33,    3.50,   49.93,   21.62,     18816,   71.55,  269.49,   14.08,  267.90,   13.97,  269.19,   13.97,  269.49,   13.60,  270.56,   13.82,  270.81,   14.02, 1617.43,   83.46,     18806, 1700.89,   1667.36,    105.08,   1772.44
2023-04-16,16:35:30.876,   10.84,    4.42,   11.00,    4.66,   10.73,    4.48,    9.54,    3.92,    9.66,    4.17,    9.75,    4.20,   61.50,   25.84,     18620,   87.35,  265.96,   14.12,  266.10,   14.00,  266.05,   14.16,  266.81,   13.66,  266.63,   13.54,  266.35,   14.09, 1597.89,   83.57,     18630, 1681.46,   1659.40,    109.41,   1768.81
