time,sock0,sock1
0.1,  251.54,  471.18
0.2,  213.57,  314.37
0.3,  350.73,  481.65
0.4,  231.99,  411.17
0.5,   70.54,  262.55
0.6,  165.67,  368.95
0.7,  188.72,  354.39
0.8,  214.67,  407.95
0.9,  225.87,  445.81
1.0,  170.37,  356.57
1.1,  402.23,  954.93
1.2,  360.32,  525.95
1.3,  178.56,  362.78
1.4,  168.38,  398.18
1.5,  417.94,  521.74
1.6,  284.52,  438.04
1.7,  197.37,  447.37
1.8,  228.36,  440.26
1.9,  229.07,  475.94
2.0,  238.68,  451.48
2.1,  188.56,  332.54
2.2,  204.02,  399.21
2.3,  216.57,  361.05
2.4,  176.47,  359.58
2.5,  118.34,  341.01
2.6,  292.72,  505.18
2.7,  291.26,  533.71
2.8,  324.86,  526.13
2.9,  117.39,  313.63
3.0,  168.28,  319.56
3.1,  197.48,  345.44
3.2,  340.39,  823.70
3.3,  123.41,  304.73
3.4,  234.19,  380.28
3.5,  299.99,  463.41
3.6,  189.58,  370.89
3.7,  106.68,  281.49
3.8,  248.94,  455.26
3.9,  269.09,  422.94
4.0,  190.07,  414.62
4.1,  220.26,  463.63
4.2,  222.33,  359.48
4.3,  214.55,  424.06
4.4,  179.08,  364.93
4.5,  120.66,  273.27
4.6,  171.91,  354.15
4.7,  194.25,  380.19
4.8,  152.31,  326.97
4.9,  143.99,  386.82
5.0,  210.50,  379.81
5.1,  188.93,  398.33
5.2,  187.04,  445.61
5.3,  163.92,  329.82
5.4,  164.98,  391.70
5.5,  511.54,  975.21
5.6,  174.44,  376.42
5.7,   91.20,  294.19
5.8,  202.09,  416.05
5.9,  237.59,  439.84
6.0,  199.77,  449.86
6.1,  133.77,  374.38
6.2,  231.32,  403.09
6.3,  178.11,  411.98
6.4,  138.84,  340.39
6.5,  225.80,  437.30
6.6,  180.73,  377.17
6.7,  196.01,  424.06
6.8,  154.64,  350.65
6.9,  113.85,  349.51
7.0,  256.19,  372.38
7.1,  178.57,  377.97
7.2,  164.29,  358.59
7.3,  166.49,  357.19
7.4,  183.45,  395.94
7.5,  184.14,  369.22
7.6,  186.69,  541.67
7.7,  173.53,  372.64
7.8,  235.69,  469.54
7.9,  281.02,  454.04
8.0,  879.35, 1568.74
8.1,  152.91,  369.99
8.2,  239.33,  402.36
8.3,  216.05,  446.05
8.4,  187.07,  373.14
8.5,  122.68,  312.14
8.6,  318.75,  589.71
8.7,  188.91,  396.94
8.8,  167.50,  374.48
8.9,  107.92,  331.85
9.0,  272.99,  395.29
9.1,  192.37,  406.14
9.2,  176.85,  345.89
9.3,  140.50,  318.44
9.4,  181.43,  407.04
9.5,  181.50,  431.83
9.6,  222.24,  435.82
9.7,   89.77,  284.45
9.8,  220.45,  456.95
9.9,  251.12,  445.35
10.0,  208.18,  450.39
10.1,  127.67,  337.62
10.2,  199.44,  333.65
10.3,  167.56,  379.25
10.4,  190.78,  380.25
10.5,  111.09,  299.87
10.6,  181.33,  395.66
10.7,  193.66,  406.92
10.8,  183.83,  409.71
10.9,   94.53,  300.88
11.0,  189.13,  364.70
11.1,  179.14,  435.53
11.2,  199.43,  421.86
11.3,  109.53,  296.97
11.4,  178.44,  410.38
11.5,  251.26,  521.03
11.6,  158.46,  370.12
11.7,   82.19,  275.44
11.8,  209.48,  497.34
11.9,  223.93,  416.12
12.0,  186.29,  434.34
12.1,  624.99, 1150.05
12.2,  260.20,  404.36
12.3,  172.05,  393.04
12.4,  166.54,  353.66
12.5,  125.94,  352.44
12.6,  176.86,  422.42
12.7,  256.04,  539.57
12.8,  255.70,  493.78
12.9,  135.21,  396.99
13.0,  229.83,  423.93
13.1,  175.53,  389.40
13.2,  189.50,  383.95
13.3,  106.97,  280.07
13.4,  172.64,  422.47
13.5,  182.55,  416.71
13.6,  161.38,  392.55
13.7,  108.85,  314.39
13.8,  227.38,  503.42
13.9,  201.75,  349.50
14.0,  208.61,  417.26
14.1,  225.56,  536.73
14.2,  209.12,  344.63
14.3,  217.77,  478.93
14.4,  201.42,  384.46
14.5,   98.04,  287.37
14.6,  180.95,  414.43
14.7,  235.47,  473.67
14.8,  237.62,  421.87
14.9,  145.53,  421.54
15.0,  230.52,  383.20
15.1,  170.94,  392.90
15.2,  166.15,  363.40
15.3,  126.01,  324.38
15.4,  171.57,  402.53
15.5,  218.55,  481.28
15.6,  163.56,  400.84
15.7,   88.43,  292.96
15.8,  187.36,  423.51
15.9,  231.60,  401.48
16.0,  214.40,  446.98
16.1,  109.77,  331.13
16.2,  230.08,  389.75
16.3,  173.15,  408.82
16.4,  150.72,  351.44
16.5,  180.44,  408.05
16.6,  166.00,  399.93
16.7,  190.31,  429.23
16.8,  106.94,  302.53
16.9,  303.82,  775.41
17.0,  227.85,  418.48
17.1,  171.03,  393.57
17.2,  149.44,  349.92
17.3,  135.01,  343.14
17.4,  162.60,  378.84
17.5,  193.43,  417.29
17.6,  127.68,  348.84
17.7,  123.82,  353.32
17.8,  194.47,  453.02
17.9,  213.02,  383.57
18.0,  372.42,  666.55
18.1,  688.66,  585.72
18.2,  234.35,  376.18
18.3,  180.55,  394.42
18.4,  145.21,  325.16
18.5,  109.95,  285.14
18.6,  186.66,  382.90
18.7,  164.25,  381.35
18.8,  141.64,  345.75
18.9,   87.93,  275.98
19.0,  346.43,  610.55
19.1,  167.01,  380.55
19.2,  172.27,  358.50
19.3,  101.33,  271.29
19.4,  185.47,  416.13
19.5,  176.54,  388.40
19.6,  143.57,  361.26
19.7,  103.30,  342.11
19.8,  187.55,  430.29
19.9,  240.63,  411.19
20.0,  191.06,  442.96
20.1,  111.12,  328.54
20.2,  195.35,  341.08
20.3,  187.00,  408.05
20.4,  205.92,  425.32
20.5,   99.16,  314.30
20.6,  176.91,  385.45
20.7,  161.94,  366.22
20.8,  171.56,  389.90
20.9,  267.19,  711.19
21.0,  201.36,  370.52
21.1,  172.51,  388.31
21.2,  208.06,  424.08
21.3,   91.01,  283.59
21.4,  185.22,  413.55
21.5,  382.44,  620.83
21.6,  279.26,  475.78
21.7,  108.52,  327.43
21.8,  179.53,  437.54
21.9,  286.92,  455.36
22.0,  209.14,  450.50
22.1,  138.87,  368.68
22.2,  249.90,  458.26
22.3,  176.91,  399.05
22.4,  204.32,  437.50
22.5,  171.10,  414.51
22.6,  175.01,  401.28
22.7,  223.24,  459.17
22.8,  125.06,  338.54
22.9,  124.68,  328.37
23.0,  210.79,  372.15
23.1,  161.29,  371.42
23.2,  153.94,  362.10
23.3,  212.26,  455.77
23.4,  182.48,  435.58
23.5,  206.08,  434.16
23.6,  146.39,  407.26
23.7,  101.63,  347.01
23.8,  284.38,  505.29
23.9,  185.07,  420.24
24.0,  228.15,  485.40
24.1,  156.39,  359.35
24.2,  206.23,  407.34
24.3,  177.25,  396.77
24.4,  163.68,  394.62
24.5,   73.00,  267.98
24.6,  433.45,  517.83
24.7,  227.50,  468.04
24.8,  196.83,  447.69
24.9,  207.86,  412.84
25.0,  178.69,  392.09
25.1,  167.03,  377.78
25.2,  140.10,  340.97
25.3,  116.06,  323.60
25.4,  187.22,  396.32
25.5,  256.06,  498.89
25.6,  194.29,  432.46
25.7,  131.62,  358.64
25.8,  246.34,  463.71
25.9,  315.88,  505.00
26.0,  257.00,  545.38
26.1,  145.37,  303.43
26.2,  182.24,  386.44
26.3,  321.23,  825.24
26.4,  199.18,  281.72
26.5,  201.87,  493.42
26.6,  205.77,  389.05
26.7,  185.79,  442.84
26.8,  227.01,  595.97
26.9,  227.63,  481.07
27.0,  179.32,  394.78
27.1,  641.95, 1018.74
27.2,  190.78,  381.87
27.3,  129.72,  325.79
27.4,  184.65,  377.95
27.5,  300.63,  550.36
27.6,  161.73,  385.46
27.7,  168.61,  392.86
27.8,  248.33,  463.57
27.9,  203.89,  430.24
28.0,  196.12,  415.48
28.1,  438.57,  653.51
28.2,  250.81,  443.90
28.3,  276.74,  481.55
28.4,  115.16,  334.46
28.5,  136.72,  351.62
28.6,  194.27,  365.96
28.7,  174.45,  407.13
28.8,  156.57,  516.03
28.9,  132.54,  301.51
29.0,  225.09,  448.67
29.1,  166.88,  394.87
29.2,  137.86,  299.97
29.3,  204.43,  423.74
29.4,  257.97,  459.24
29.5,  379.24,  862.11
29.6,  101.46,  320.59
29.7,  171.40,  468.13
29.8,  245.94,  474.19
29.9,  188.46,  416.79
30.0,  143.47,  380.65
30.1,  152.18,  334.99
30.2,  184.84,  393.19
30.3,  211.98,  389.68
30.4,  120.90,  397.45
30.5,  151.85,  354.54
30.6,  193.28,  370.09
30.7,  183.22,  427.25
30.8,  126.92,  391.92
30.9,  165.53,  325.22
31.0,  160.93,  378.64
31.1,  155.50,  371.15
31.2,  135.46,  349.31
31.3,  141.14,  342.76
31.4,  187.74,  351.16
31.5,  197.20,  444.88
31.6,   98.82,  338.65
31.7,  145.26,  378.24
31.8,  226.88,  451.23
31.9,  197.96,  442.96
32.0,  171.32,  398.58
32.1,  218.55,  341.70
32.2,  188.86,  415.44
32.3,  195.60,  378.01
32.4,  101.65,  338.30
32.5,  223.35,  512.57
32.6,  188.43,  362.78
32.7,  301.54,  521.69
32.8,  126.10,  351.48
32.9,  260.89,  495.16
33.0,  188.40,  501.21
33.1,  161.81,  377.49
33.2,  104.32,  291.04
33.3,  122.64,  312.99
33.4,  304.25,  384.60
33.5,  160.46,  387.17
33.6,  118.94,  357.32
33.7,  155.70,  380.69
33.8,  363.58,  631.74
33.9,  203.60,  454.43
34.0,  174.16,  423.29
34.1,  217.13,  415.41
34.2,  371.34,  875.04
34.3,  184.60,  383.57
34.4,  105.79,  358.66
34.5,  134.01,  362.23
34.6,  175.42,  377.69
34.7,  206.49,  515.72
34.8,  113.01,  378.20
34.9,  212.53,  460.06
35.0,  174.82,  453.52
35.1,  157.21,  394.38
35.2,  113.81,  328.37
35.3,  142.54,  356.81
35.4,  192.66,  397.21
35.5,  158.26,  392.91
35.6,  141.91,  441.46
35.7,  156.43,  391.73
35.8,  260.29,  484.92
35.9,  194.02,  424.67
36.0,  120.51,  377.10
36.1,  244.75,  442.72
36.2,  213.66,  432.55
36.3,  196.16,  399.42
36.4,  103.73,  342.58
36.5,  174.98,  421.09
36.6,  220.69,  413.91
36.7,  184.31,  431.01
36.8,  105.81,  366.08
36.9,  164.81,  348.83
37.0,  273.01,  450.04
37.1,  171.93,  431.73
37.2,   96.17,  316.90
37.3,  149.17,  366.42
37.4,  179.45,  341.73
37.5,  153.55,  381.82
37.6,   51.31,  261.96
37.7,  238.77,  481.44
37.8,  221.80,  413.40
37.9,  196.55,  432.53
38.0,   82.96,  345.81
38.1,  522.15, 3783.14
38.2,  588.47, 9701.79
38.3,  212.63,10181.53
38.4,   66.73, 9740.39
38.5,  345.60,11005.80
38.6,  689.79,11271.16
38.7,  193.99, 4184.28
38.8,  102.68, 4342.45
38.9,  228.64, 4502.97
39.0,  229.96, 4716.53
39.1,  167.24, 4432.41
39.2,  131.98, 4390.71
39.3,  168.91, 4555.15
39.4,  233.47, 4527.78
39.5,  173.62, 4418.82
39.6,   80.89, 4342.12
39.7,  194.54, 5044.01
39.8,  251.97, 5420.11
39.9,  151.21, 5018.34
40.0,   84.31, 4993.80
40.1,  290.62, 5144.55
40.2,  194.46, 4343.15
40.3,  168.25, 4372.10
40.4,   90.82, 4165.52
40.5,  171.71, 3903.43
40.6,  186.83, 3716.80
40.7,  151.80, 3555.33
40.8,  103.76, 1945.45
40.9,  234.39, 1769.96
41.0,   58.50,  210.25
41.1,   46.30,  335.83
41.2,  109.70,  167.78
41.3,   52.61,  117.15
