,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:03:40.244,   24.98,   18.50,   25.31,   18.84,   25.04,   18.65,   22.29,   17.47,   22.51,   18.00,   22.23,   17.73,  142.35,  109.19,     18990,  251.54,   38.70,   41.24,   38.50,   41.07,   38.86,   41.67,   36.63,   40.32,   36.62,   40.51,   36.70,   40.38,  226.00,  245.18,     19410,  471.18,    368.35,    354.37,    722.72
2023-04-16,16:03:40.344,   19.17,   17.40,   19.47,   17.92,   19.06,   17.41,   17.61,   16.23,   18.06,   16.71,   17.98,   16.54,  111.36,  102.21,     18680,  213.57,   24.82,   29.07,   24.65,   28.97,   24.66,   29.11,   23.19,   27.81,   23.30,   27.84,   23.20,   27.75,  143.81,  170.55,     18670,  314.37,    255.17,    272.76,    527.94
2023-04-16,16:03:40.444,   35.63,   24.95,   35.01,   24.44,   34.65,   24.03,   32.73,   22.79,   35.10,   25.66,   32.95,   22.79,  206.06,  144.67,     18820,  350.73,   35.62,   46.60,   35.43,   46.28,   35.43,   46.08,   33.55,   44.99,   33.73,   45.08,   33.69,   45.16,  207.46,  274.19,     18660,  481.65,    413.52,    418.86,    832.38
2023-04-16,16:03:40.542,   22.24,   17.71,   22.60,   18.31,   22.23,   17.55,   20.39,   16.15,   20.77,   16.59,   20.69,   16.75,  128.92,  103.07,     18660,  231.99,   32.14,   37.10,   32.44,   37.30,   32.31,   37.53,   30.87,   36.26,   31.64,   37.40,   30.28,   35.91,  189.67,  221.50,     18260,  411.17,    318.59,    324.57,    643.17
2023-04-16,16:03:40.642,    7.02,    4.82,    7.07,    5.14,    6.92,    4.71,    6.78,    4.67,    6.89,    4.76,    6.89,    4.87,   41.58,   28.97,     18816,   70.54,   20.08,   23.89,   19.82,   23.89,   20.04,   24.01,   19.99,   23.86,   19.85,   23.78,   19.72,   23.62,  119.50,  143.06,     18806,  262.55,    161.07,    172.02,    333.10
2023-04-16,16:03:40.742,   16.34,   12.13,   16.77,   12.62,   16.34,   12.18,   14.97,   11.17,   15.15,   11.36,   15.17,   11.45,   94.74,   70.93,     18610,  165.67,   26.45,   36.68,   26.39,   36.41,   26.31,   36.34,   24.81,   35.33,   24.89,   35.45,   24.70,   35.19,  153.55,  215.40,     18600,  368.95,    248.28,    286.33,    534.62
2023-04-16,16:03:40.841,   17.57,   15.03,   17.92,   15.46,   17.72,   15.04,   16.00,   13.80,   16.16,   14.12,   15.97,   13.92,  101.34,   87.38,     18806,  188.72,   25.61,   34.67,   25.36,   34.67,   25.38,   34.66,   24.09,   33.94,   24.12,   33.87,   24.16,   33.84,  148.72,  205.67,     18806,  354.39,    250.06,    293.04,    543.11
2023-04-16,16:03:40.941,   21.42,   15.03,   22.08,   15.92,   21.26,   15.23,   19.96,   14.35,   20.16,   14.39,   20.36,   14.51,  125.24,   89.43,     18620,  214.67,   29.10,   40.12,   29.04,   40.16,   29.21,   40.15,   27.50,   39.10,   27.66,   39.21,   27.57,   39.13,  170.08,  237.87,     18630,  407.95,    295.33,    327.30,    622.62
2023-04-16,16:03:41.041,   25.24,   13.51,   25.53,   13.87,   25.40,   13.33,   23.70,   12.68,   23.58,   12.83,   23.49,   12.70,  146.94,   78.93,     18816,  225.87,   38.12,   35.81,   38.39,   36.20,   38.59,   36.36,   37.96,   36.04,   38.27,   36.40,   37.81,   35.83,  229.16,  216.65,     18806,  445.81,    376.10,    295.57,    671.67
2023-04-16,16:03:41.141,   19.83,    9.16,   20.16,    9.77,   19.92,    9.26,   18.53,    8.78,   18.63,    8.82,   18.49,    9.02,  115.56,   54.81,     18630,  170.37,   27.78,   32.75,   28.04,   33.17,   27.64,   32.70,   25.92,   31.96,   26.21,   32.02,   26.21,   32.16,  161.80,  194.77,     18630,  356.57,    277.36,    249.57,    526.94
2023-04-16,16:03:41.240,   31.67,   37.84,   32.22,   38.40,   32.95,   39.40,   26.37,   36.54,   26.53,   36.92,   26.42,   36.95,  176.17,  226.05,     18806,  402.23,   62.86,   99.34,   63.35,   99.48,   62.27,   98.80,   60.24,   95.92,   60.37,   96.05,   60.28,   95.98,  369.36,  585.56,     18806,  954.93,    545.54,    811.62,   1357.15
