time,sock0,sock1
0.1,  213.30, 3665.91
0.2,  146.38, 3819.08
0.3,  199.79, 3988.61
0.4,  138.58, 3898.28
0.5,  117.36, 4015.35
0.6,  125.91, 4229.54
0.7,  216.81, 4350.29
0.8,  120.97, 4057.07
0.9,  148.93, 3898.45
1.0,  198.18, 4207.15
1.1,  181.28, 3752.44
1.2,  761.61, 4133.57
1.3,  270.76, 4202.78
1.4,  237.96, 4178.73
1.5,  172.01, 4076.39
1.6,  147.66, 3923.86
1.7,  163.62, 4030.38
1.8,  219.65, 4113.77
1.9,  196.11, 4262.19
2.0,  189.56, 4365.36
2.1,  108.60, 4218.58
2.2,   95.01, 4170.60
2.3,  186.58, 4308.09
2.4,  141.15, 4205.07
2.5,  134.27, 4242.61
2.6,   91.35, 4109.22
2.7,  202.65, 4340.31
2.8,  164.29, 4230.85
2.9,  126.55, 3864.76
3.0,  121.14, 3924.83
3.1,  139.82, 3897.49
3.2,  321.09, 4489.63
3.3,  716.24, 4681.99
3.4,  110.22, 4125.92
3.5,  157.98, 4252.06
3.6,  119.53, 3931.42
3.7,  230.65, 4164.10
3.8,  413.17, 4265.02
3.9,  278.81, 4203.60
4.0,  203.45, 4148.94
4.1,  132.49, 3929.15
4.2,   50.91, 3800.01
4.3,  178.07, 4187.10
4.4,  179.32, 4209.25
4.5,  143.10, 4308.17
4.6,   59.05, 4152.39
4.7,  195.16, 4314.92
4.8,  142.44, 4219.26
4.9,  167.19, 4198.23
5.0,  108.56, 4254.76
5.1,  122.29, 4204.71
5.2,  189.94, 4238.03
5.3,  171.58, 4253.46
5.4,  151.04, 4269.53
5.5,  112.69, 4224.12
5.6,  179.76, 4375.97
5.7,  278.55, 4647.12
5.8,  173.83, 4347.92
5.9,  205.95, 4444.54
6.0,  201.82, 4457.69
6.1,  148.03, 4406.98
6.2,   86.19, 4511.30
6.3,  144.06, 4673.14
6.4,  205.30, 4914.13
6.5,  469.57, 5363.78
6.6,  129.46, 4658.08
6.7,  200.38, 4575.23
6.8,  133.31, 4283.84
6.9,  172.29, 4682.18
7.0,  120.29, 4436.30
7.1,  335.09, 4784.94
7.2,  254.54, 4751.58
7.3,  186.94, 4468.24
7.4,  163.85, 4392.23
7.5,  115.98, 4248.16
7.6,  133.34, 4399.47
7.7,  303.39, 4684.30
7.8,  162.02, 4354.11
7.9,  114.10, 4446.87
8.0,  165.45, 4411.75
8.1,  143.11, 4347.12
8.2,  110.38, 4418.93
8.3,  164.50, 4433.91
8.4,  136.28, 4474.77
8.5,  174.09, 4524.28
8.6,  140.23, 4527.86
8.7,  148.88, 4462.37
8.8,  231.96, 4663.04
8.9,  163.69, 4488.87
9.0,  195.35, 4524.43
9.1,  109.39, 4469.13
9.2,  129.82, 4264.99
9.3,  158.45, 4325.01
9.4,  162.57, 4312.32
9.5,  118.21, 3982.52
9.6,  119.15, 3984.58
9.7,  517.98, 5045.79
9.8,  319.92, 4656.77
9.9,  187.72, 4630.86
10.0,  166.20, 4489.17
10.1,  166.92, 4472.98
10.2,  116.52, 4541.62
10.3,  172.49, 4605.91
10.4,  491.68, 4526.95
10.5,  171.35, 4496.81
10.6,  145.24, 4293.17
10.7,  154.21, 4258.56
10.8,  114.22, 4287.92
10.9,  170.76, 4271.57
11.0,  204.63, 4331.73
11.1,  129.64, 4341.23
11.2,   83.28, 4406.33
11.3,  183.91, 4609.15
11.4,  136.21, 4430.75
11.5,  100.17, 4490.16
11.6,   82.92, 4421.88
11.7,  267.71, 4646.63
11.8,  276.55, 4520.33
11.9,  191.66, 4470.39
12.0,  128.92, 4536.65
12.1,  147.83, 4497.38
12.2,  121.22, 4262.50
12.3,  211.57, 4534.32
12.4,   93.37, 4147.41
12.5,  133.70, 4344.35
12.6,  123.39, 4225.21
12.7,  183.18, 4453.63
12.8,   69.70, 4569.77
12.9,  191.37, 4584.83
13.0,  154.60, 4546.61
13.1,  110.55, 4302.59
13.2,   87.29, 4299.38
13.3,  146.83, 4603.77
13.4,  144.72, 4561.04
13.5,  107.46, 4526.75
13.6,  103.98, 4506.55
13.7,  232.75, 4814.19
13.8,  322.84, 4650.23
13.9,  188.76, 4601.61
14.0,  147.96, 4659.93
14.1,   90.52, 4685.89
14.2,  135.60, 4753.26
14.3,  156.21, 4638.14
14.4,  150.73, 4592.20
14.5,  110.97, 4399.63
14.6,  123.98, 4328.18
14.7,  198.36, 4399.63
14.8,  141.17, 4704.85
14.9,   97.08, 4644.98
15.0,  123.19, 4625.33
15.1,  127.12, 4504.31
15.2,  356.88, 5130.11
15.3,  166.25, 4821.29
15.4,  141.26, 4416.49
15.5,  116.39, 4285.15
15.6,  255.46, 4508.29
15.7,  151.30, 4502.46
15.8,  194.54, 4631.04
15.9,  182.72, 4663.97
16.0,  208.54, 4566.21
16.1,   75.42, 4431.84
16.2,  108.14, 4366.78
16.3,  204.47, 4491.73
16.4,  141.72, 4629.64
16.5,  107.24, 4515.62
16.6,  120.13, 4382.99
16.7,  225.39, 4907.94
16.8,  149.65, 4680.52
16.9,  118.53, 4637.93
17.0,  126.51, 4752.74
17.1,  143.72, 4664.86
17.2,  814.47, 5581.69
17.3,  226.29, 4754.85
17.4,  119.39, 4480.68
17.5,  146.59, 4492.98
17.6,  221.04, 4757.45
17.7,  461.64, 5221.36
17.8,  154.32, 3800.35
17.9,  163.54, 5152.69
18.0,  166.04, 3052.73
18.1,   94.00, 3346.53
18.2,   70.13, 2346.70
18.3,  511.76, 3199.17
18.4,  121.15, 2515.84
18.5,  110.87, 1648.64
18.6,   61.03, 3094.27
18.7,  169.94, 2607.10
18.8,  222.92, 1991.07
18.9,  120.96, 1728.32
