,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:39:04.082,   23.98,   12.41,   24.36,   12.66,   23.78,   12.25,   22.65,   11.55,   23.00,   12.11,   22.85,   11.68,  140.63,   72.67,     18800,  213.30,  247.24,  369.47,  247.14,  368.45,  247.73,  370.06,  240.79,  364.75,  240.72,  364.73,  240.39,  364.45, 1464.00, 2201.92,     18830, 3665.91,   1604.63,   2274.59,   3879.22
2023-04-16,16:39:04.182,   19.21,    5.95,   19.62,    6.30,   19.53,    5.94,   17.84,    5.04,   18.04,    5.58,   17.96,    5.36,  112.21,   34.17,     18680,  146.38,  279.16,  360.77,  278.13,  359.62,  278.68,  360.80,  275.24,  358.88,  275.75,  359.42,  274.73,  357.89, 1661.69, 2157.39,     18730, 3819.08,   1773.90,   2191.56,   3965.45
2023-04-16,16:39:04.282,   26.06,    8.76,   26.02,    8.83,   25.92,    8.75,   24.01,    7.72,   24.08,    7.92,   23.85,    7.90,  149.92,   49.86,     18816,  199.79,  311.97,  355.41,  311.17,  354.67,  312.69,  356.07,  308.38,  354.53,  308.50,  354.15,  307.45,  353.62, 1860.16, 2128.44,     18836, 3988.61,   2010.09,   2178.31,   4188.39
2023-04-16,16:39:04.382,   18.47,    5.66,   18.87,    5.92,   18.40,    5.51,   17.04,    4.78,   16.64,    5.10,   17.11,    5.08,  106.53,   32.05,     18630,  138.58,  314.26,  338.27,  312.93,  337.74,  313.76,  338.97,  309.67,  336.62,  310.95,  337.46,  310.41,  337.24, 1871.98, 2026.30,     18690, 3898.28,   1978.51,   2058.35,   4036.86
2023-04-16,16:39:04.482,   15.06,    4.68,   15.66,    4.99,   15.39,    4.75,   14.82,    4.19,   14.36,    4.31,   14.68,    4.47,   89.96,   27.40,     18640,  117.36,  328.61,  343.39,  326.95,  341.72,  327.38,  343.84,  326.15,  342.48,  325.42,  342.28,  325.25,  341.88, 1959.76, 2055.59,     18660, 4015.35,   2049.72,   2082.99,   4132.71
2023-04-16,16:39:04.582,   16.30,    5.45,   16.71,    5.70,   16.47,    5.41,   15.15,    4.81,   14.83,    5.00,   15.10,    4.98,   94.56,   31.35,     18800,  125.91,  331.04,  376.97,  329.44,  375.69,  330.08,  377.13,  327.51,  376.04,  327.61,  375.85,  326.43,  375.74, 1972.12, 2257.42,     18890, 4229.54,   2066.68,   2288.77,   4355.44
2023-04-16,16:39:04.682,   25.85,   11.36,   26.11,   11.82,   26.12,   11.54,   24.21,   10.65,   23.91,   10.68,   23.89,   10.67,  150.10,   66.71,     18640,  216.81,  350.19,  379.35,  347.94,  377.00,  348.29,  378.79,  345.03,  378.08,  345.85,  378.00,  344.93,  376.84, 2082.23, 2268.07,     18660, 4350.29,   2232.32,   2334.78,   4567.10
2023-04-16,16:39:04.783,   15.80,    5.30,   15.98,    5.49,   15.81,    5.17,   14.40,    4.60,   14.45,    4.87,   14.44,    4.68,   90.87,   30.10,     18800,  120.97,  329.69,  350.43,  327.38,  348.73,  327.83,  350.66,  324.69,  349.80,  325.96,  349.19,  324.43,  348.27, 1959.98, 2097.09,     18900, 4057.07,   2050.86,   2127.19,   4178.04
2023-04-16,16:39:04.883,   17.98,    7.03,   18.48,    7.37,   18.19,    7.03,   17.81,    6.82,   17.36,    6.79,   17.44,    6.64,  107.26,   41.68,     18640,  148.93,  327.39,  325.17,  325.31,  324.33,  326.35,  325.49,  323.60,  325.10,  324.56,  324.73,  323.25,  323.16, 1950.45, 1947.99,     18670, 3898.45,   2057.71,   1989.67,   4047.38
