time,sock0,sock1
0.1,  226.82,  497.36
0.2,  141.03,  232.85
0.3,  203.39,  528.47
0.4,  421.07, 1064.49
0.5,  585.28, 1080.75
0.6,  168.15,  320.98
0.7,  403.63,  541.03
0.8,  108.94,  151.19
0.9,  148.61,  300.40
1.0,  155.03,  202.77
1.1,  729.08,  479.16
1.2,  283.58,  308.89
1.3,  211.65,  275.77
1.4,  163.39,  223.80
1.5,  218.68,  228.37
1.6,  102.39,  127.26
1.7,   35.80,   60.22
1.8,  190.47,  213.57
1.9,  170.69,  153.42
2.0,  146.91,  171.28
2.1,  128.20,  276.14
2.2,   94.98,   87.53
2.3,  136.18,  202.90
2.4,  305.29, 1278.47
2.5,  111.72, 1368.58
2.6,  101.59, 1276.61
2.7,   96.26, 1265.41
2.8,  122.74, 1425.40
2.9,  111.77, 1328.58
3.0,  118.81, 1427.74
3.1,  157.31, 1431.89
3.2,  203.33, 1443.32
3.3,  168.31, 1381.40
3.4,   77.93, 1136.62
3.5,  354.27, 1463.77
3.6,  190.21, 1270.33
3.7,  176.74, 1222.41
3.8,   97.40, 1185.99
3.9,  127.64, 1240.76
4.0,  123.38, 3718.60
4.1,  151.54, 4947.28
4.2,  174.98, 5225.54
4.3,  131.29, 4999.14
4.4,  216.36, 5050.95
4.5,  833.65, 6070.18
4.6,   92.32, 2274.12
4.7,  122.52, 1816.63
4.8,  132.45, 1832.82
4.9,  106.55, 1846.18
5.0,   30.65, 1716.85
5.1,  109.41, 1777.14
5.2,  148.67, 1881.46
5.3,  251.55, 2088.95
5.4,  103.50, 3946.41
5.5,  116.69, 4009.91
5.6,  215.41, 4145.05
5.7,  211.35, 4112.25
5.8,  156.75, 4229.46
5.9,   96.93, 2954.12
6.0,  143.18, 1662.82
6.1,  107.16, 1727.40
6.2,   60.09, 1686.95
6.3,   82.79, 1707.16
6.4,  118.47, 1818.79
6.5,  136.98, 1795.10
6.6,   96.22, 1692.72
6.7,   54.55, 1645.51
6.8,  116.36, 1863.43
6.9,   86.12, 3154.41
7.0,  155.69, 3487.94
7.1,   98.85, 3296.40
7.2,  253.26, 3756.68
7.3,  299.18, 3908.05
7.4,  165.47, 3482.27
7.5,   74.17, 3340.13
7.6,  189.75, 3477.03
7.7,  214.32, 3479.17
7.8,  128.34, 3257.94
7.9,   52.18, 1698.12
8.0,  133.20, 1704.94
8.1,  140.02, 1766.28
8.2,  104.33, 1640.56
8.3,   61.41, 1619.55
8.4,  109.41, 1680.58
8.5,  118.14, 1814.35
8.6,  114.70, 2069.63
8.7,   77.54, 3205.93
8.8,  703.13, 4262.74
8.9,  168.20, 3305.03
9.0,  105.86, 3233.83
9.1,  126.82, 3466.23
9.2,  124.07, 2802.00
9.3,  259.38, 1659.91
9.4,  154.99, 1790.54
9.5,  197.33, 1841.51
9.6,   60.38, 1640.44
9.7,  114.48, 1780.41
9.8,  128.92, 1754.04
9.9,  107.37, 1706.26
10.0,   79.90, 1711.56
10.1,  160.91, 2688.50
10.2,  104.55, 3431.79
10.3,  116.15, 3431.11
10.4,   89.94, 3463.20
10.5,  135.77, 3469.10
10.6,   92.80, 3406.79
10.7,  182.52, 3494.58
10.8,  117.59, 3497.86
10.9,   86.80, 3368.53
11.0,   94.23, 3959.41
11.1,  201.04, 2307.46
11.2,  151.98, 1880.29
11.3,  219.22, 1900.61
11.4,  169.53, 1818.59
11.5,  172.77, 1853.48
11.6,   98.66, 1698.22
11.7,   68.40, 1729.81
11.8,  126.12, 1921.05
11.9,   93.15,  993.85
12.0,  134.71,  391.86
12.1,   75.21,  409.44
12.2,  125.65,  354.21
12.3,   85.03,  289.50
12.4,  110.90,  344.17
12.5,   99.51,  336.68
12.6,  103.44,  302.90
12.7,   85.65,  288.85
12.8,  102.86,  341.63
12.9,  111.19,  349.14
13.0,   91.11,  301.42
13.1,  219.48,  534.62
13.2,  215.26,  457.27
13.3,  141.91,  411.05
13.4,   95.78,  331.49
13.5,  130.99,  364.15
13.6,  112.41,  337.99
13.7,   64.08,  278.69
13.8,  132.50,  317.94
13.9,  290.96,  783.43
14.0,  150.02,  373.80
14.1,   87.33,  302.08
14.2,  124.03,  381.60
14.3,  196.33,  359.82
14.4,  111.50,  324.93
14.5,  338.10,  625.18
14.6,  304.33,  537.22
14.7,  127.46,  331.67
14.8,  116.24,  322.86
14.9,   86.27,  287.75
15.0,   56.00,  262.37
15.1,  175.37,  458.26
15.2,  265.30,  464.71
15.3,  185.84,  435.08
15.4,   90.62,  294.92
15.5,  174.44,  407.73
15.6,  124.30,  318.33
15.7,   92.71,  283.60
15.8,   92.12,  309.44
15.9,  132.34,  327.68
16.0,  121.23,  330.56
16.1,  105.58,  323.16
16.2,   63.74,  328.52
16.3,   94.27,  297.45
16.4,  118.58,  360.26
16.5,  132.48,  373.62
16.6,   63.53,  272.76
16.7,   75.97,  276.60
16.8,  111.43,  339.70
16.9,   88.24,  317.86
17.0,  134.88,  387.35
17.1,  152.82,  391.20
17.2,  212.07,  433.24
17.3,  237.17,  501.69
17.4,   97.13,  299.60
17.5,  261.85,  725.26
17.6,  122.83,  325.98
17.7,  114.09,  286.43
17.8,   90.98,  297.03
17.9,   86.81,  308.92
18.0,  120.09,  322.46
18.1,  115.38,  359.25
18.2,   84.58,  280.08
18.3,   48.40,  251.08
18.4,   93.32,  319.38
18.5,  111.65,  357.05
18.6,   74.18,  290.51
18.7,   55.56,  269.88
18.8,  160.48,  428.08
18.9,   97.93,  337.21
19.0,  169.89,  408.53
19.1,   92.57,  302.25
19.2,  167.37,  361.74
19.3,  201.73,  437.98
19.4,  146.54,  375.67
19.5,   75.40,  295.64
19.6,   78.22,  264.59
19.7,   84.19,  304.37
19.8,  110.54,  330.97
19.9,   59.13,  266.60
20.0,   62.40,  270.03
20.1,  104.81,  338.04
20.2,   91.16,  307.81
20.3,   87.19,  287.27
20.4,   64.60,  303.22
20.5,  122.46,  383.00
20.6,   87.48,  303.32
20.7,  229.51,  631.96
20.8,  104.90,  310.14
20.9,   94.83,  295.19
21.0,  233.53,  379.15
21.1,  156.41,  374.60
21.2,   79.48,  287.25
21.3,  133.75,  353.96
21.4,  187.65,  469.61
21.5,  149.55,  398.25
21.6,   38.07,  239.38
21.7,   86.79,  281.85
21.8,  108.91,  713.50
21.9,  119.30, 1855.83
22.0,   77.44, 1797.21
22.1,   96.14, 1836.76
22.2,  116.13, 1889.07
22.3,   95.22, 1818.95
22.4,  114.09, 1884.88
22.5,   82.03, 1881.49
22.6,  158.42,  599.17
22.7,  165.62,  512.75
22.8,  102.19,  477.48
22.9,  272.15,  969.93
23.0,  137.70,  546.55
23.1,  102.44,  540.82
23.2,  149.18,  598.52
23.3,  103.04,  554.05
23.4,  152.55,  619.94
23.5,  105.34,  541.60
23.6,   77.32,  496.29
23.7,   58.12,  468.40
23.8,  471.92, 1110.47
23.9,  185.49,  579.78
24.0,  135.77,  552.09
24.1,   79.83,  508.12
24.2,  139.70,  591.35
24.3,  133.21,  539.50
24.4,  109.88,  526.91
24.5,  116.69,  556.21
24.6,  374.42,  848.03
24.7,  197.13,  587.56
24.8,  134.53,  555.11
24.9,   89.88,  507.79
25.0,   73.80,  490.79
25.1,  122.05,  523.46
25.2,  150.15,  580.22
25.3,  115.44,  501.67
25.4,  136.52,  620.36
25.5,  113.66,  528.57
25.6,  174.21,  521.56
25.7,  126.75,  591.47
25.8,  117.86,  534.07
25.9,  111.53,  540.66
26.0,  116.68,  540.74
26.1,  110.64,  530.27
26.2,   25.03,  416.23
26.3,  282.18, 1011.70
26.4,  146.57,  589.01
26.5,  197.09,  643.28
26.6,   43.89,  443.96
26.7,  206.93,  632.87
26.8,  161.48,  615.41
26.9,  117.73,  583.87
27.0,   78.75,  601.75
27.1,  114.11,  626.04
27.2,  172.76,  708.19
27.3,  134.80,  661.55
27.4,  141.94,  714.42
27.5,   97.10,  921.96
27.6,   92.96, 1602.97
27.7,   94.27, 1560.25
27.8,   78.16, 1597.87
27.9,   87.61, 1779.04
28.0,  142.10, 1904.56
28.1,   74.45, 1525.93
28.2,   97.87, 1547.00
28.3,   72.62, 1567.53
28.4,   88.16, 1520.62
28.5,  193.26,  765.32
28.6,  140.36,  621.73
28.7,   67.04,  542.31
28.8,  196.96,  733.61
28.9,   99.18,  601.28
29.0,   90.55,  579.72
29.1,   36.76,  523.77
29.2,  170.68,  717.19
29.3,  224.18,  694.97
29.4,  182.55,  753.05
29.5,   58.85,  587.86
29.6,  109.23,  619.53
29.7,   82.12,  576.21
29.8,  113.06,  628.99
29.9,   43.19,  572.94
30.0,   87.46,  605.64
30.1,   80.15,  616.90
30.2,  127.56,  679.45
30.3,   85.02,  609.42
30.4,   73.46,  588.81
30.5,  175.63,  666.12
30.6,  166.11,  631.25
30.7,  107.99,  599.19
30.8,   85.16,  595.43
30.9,  106.46,  602.75
31.0,  111.35,  606.89
31.1,   68.51,  564.16
31.2,  292.31, 1086.90
31.3,  145.47,  651.95
31.4,  158.19,  701.74
31.5,  110.07,  624.43
31.6,   36.64,  528.12
31.7,   81.68,  589.10
31.8,  120.45,  655.32
31.9,   72.99,  603.59
32.0,   49.65,  563.15
32.1,   86.59,  641.71
32.2,   89.35,  639.92
32.3,  107.55,  890.88
32.4,   70.25, 1630.56
32.5,  188.64, 1738.79
32.6,  180.34, 1685.54
32.7,  102.65, 1637.28
32.8,  145.05, 1725.54
32.9,  107.70, 1652.31
33.0,  140.30, 1692.21
33.1,  201.10, 2159.65
33.2,  379.10, 2223.50
33.3,  251.04, 3276.98
33.4,  326.14, 3899.31
33.5,  472.75, 3862.88
33.6,  220.82, 1622.53
33.7,   70.37,  846.04
33.8,  115.99,  896.06
33.9,   92.98,  851.53
34.0,   89.86,  865.64
34.1,   53.38, 1658.79
34.2,  149.27, 2184.33
34.3,  163.42, 2079.86
34.4,  149.05, 1585.70
34.5,  262.36, 1426.38
34.6,  407.55, 1267.37
34.7,  459.25, 1110.91
34.8,   70.58,  318.38
