,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:16:58.574,   25.39,   13.32,   25.81,   13.86,   25.70,   13.67,   23.55,   12.33,   23.84,   12.70,   23.82,   12.82,  148.11,   78.70,     19300,  226.82,   43.08,   42.43,   42.72,   41.70,   43.37,   42.06,   39.62,   41.13,   39.68,   41.28,   39.38,   40.91,  247.85,  249.50,     19050,  497.36,    395.96,    328.21,    724.17
2023-04-16,16:16:58.674,   16.59,    7.76,   17.01,    8.10,   16.53,    7.70,   15.14,    7.17,   15.31,    7.24,   15.23,    7.24,   95.82,   45.21,     18660,  141.03,   22.06,   18.19,   22.38,   17.58,   21.86,   17.88,   20.17,   17.39,   20.15,   17.27,   20.51,   17.42,  127.12,  105.73,     18660,  232.85,    222.93,    150.94,    373.87
2023-04-16,16:16:58.775,   22.31,   13.27,   22.56,   13.35,   22.36,   13.19,   20.01,   11.99,   20.08,   11.99,   20.16,   12.13,  127.48,   75.91,     18810,  203.39,   39.78,   50.30,   39.34,   49.79,   39.55,   49.99,   37.55,   48.95,   37.99,   49.16,   37.42,   48.65,  231.63,  296.84,     18830,  528.47,    359.10,    372.76,    731.86
2023-04-16,16:16:58.874,   38.84,   35.10,   38.92,   35.26,   38.91,   35.09,   33.76,   32.40,   34.42,   32.56,   33.38,   32.42,  218.24,  202.83,     18650,  421.07,   70.34,  108.78,   70.29,  108.44,   70.26,  108.49,   68.67,  107.58,   68.47,  107.50,   68.35,  107.30,  416.39,  648.10,     18630, 1064.49,    634.63,    850.93,   1485.56
2023-04-16,16:16:58.975,   49.49,   51.29,   50.05,   51.13,   49.75,   51.27,   44.82,   48.82,   45.45,   49.47,   44.84,   48.91,  284.39,  300.89,     18810,  585.28,   70.63,  109.85,   70.85,  110.01,   70.90,  109.65,   70.35,  109.26,   70.28,  109.46,   70.20,  109.29,  423.22,  657.53,     18850, 1080.75,    707.62,    958.41,   1666.03
2023-04-16,16:16:59.075,   17.36,   11.64,   17.80,   11.98,   17.54,   11.70,   15.60,   10.93,   15.70,   11.16,   15.69,   11.03,   99.70,   68.45,     18630,  168.15,   24.61,   30.33,   24.58,   29.93,   24.60,   30.13,   22.97,   29.59,   22.84,   29.36,   22.82,   29.22,  142.41,  178.57,     18620,  320.98,    242.12,    247.01,    489.13
2023-04-16,16:16:59.175,   37.61,   30.78,   38.16,   31.78,   38.50,   32.18,   34.91,   29.39,   35.02,   29.81,   35.20,   30.29,  219.41,  184.22,     18816,  403.63,   45.52,   43.97,   46.45,   44.90,   50.27,   50.21,   44.33,   43.89,   42.81,   42.37,   43.31,   43.00,  272.69,  268.34,     18806,  541.03,    492.10,    452.56,    944.65
2023-04-16,16:16:59.275,   12.02,    7.12,   12.09,    7.39,   11.97,    7.17,   10.56,    6.40,   10.56,    6.65,   10.46,    6.56,   67.66,   41.29,     18620,  108.94,   15.60,   10.73,   15.78,   10.79,   15.51,   10.74,   13.85,   10.20,   13.83,   10.02,   13.85,   10.30,   88.42,   62.77,     18630,  151.19,    156.08,    104.05,    260.13
2023-04-16,16:16:59.374,   16.82,    7.86,   17.06,    8.21,   16.98,    7.97,   16.80,    8.04,   16.52,    7.80,   16.56,    7.97,  100.74,   47.86,     18806,  148.61,   33.01,   18.44,   32.45,   18.21,   32.84,   18.34,   30.93,   17.76,   31.40,   18.16,   30.94,   17.90,  191.59,  108.81,     18806,  300.40,    292.33,    156.67,    449.00
