time,sock0,sock1
0.1,  597.52, 7445.62
0.2,  301.37, 6439.00
0.3,  210.85, 6749.73
0.4,  190.06, 6147.34
0.5,   79.05, 3662.36
0.6,   91.85, 1714.20
0.7,  261.18, 1702.70
0.8,  219.23, 1606.20
0.9,  156.30, 1459.68
1.0,  119.58, 1192.11
1.1,  674.24, 7095.67
1.2,  280.90,  819.37
1.3,  116.02,  538.43
1.4,  101.84,  773.01
1.5,  445.82, 1743.35
1.6,  223.56, 1533.35
1.7, 1260.45, 2907.15
1.8,  191.84, 1982.92
1.9,  155.09, 2144.82
2.0,  120.61, 2265.61
2.1,  176.37, 2783.62
2.2,  150.21, 2744.41
2.3,  156.62, 2923.14
2.4,   99.93, 2967.90
2.5,   82.98, 3106.16
2.6,   85.05, 3256.29
2.7,  137.99, 3469.30
2.8,  174.30, 3709.34
2.9,   76.34, 3555.49
3.0,  107.39, 3768.08
3.1,  122.27, 3820.01
3.2,  108.29, 3969.76
3.3,  207.07, 4149.00
3.4,   60.43, 4044.88
3.5,  144.00, 4279.34
3.6,  128.48, 4287.37
3.7,  238.39, 4459.01
3.8,   90.12, 4420.76
3.9,  148.42, 4547.40
4.0,  118.58, 4488.74
4.1,  221.72, 4746.22
4.2,   42.82, 4456.75
4.3,  128.89, 4624.58
4.4,  101.40, 4611.40
4.5,   81.47, 4584.66
4.6,   60.57, 4648.78
4.7,  118.76, 4729.89
4.8,  140.76, 4873.39
4.9,  115.00, 4838.88
5.0,  139.34, 4897.04
5.1,  130.90, 4905.88
5.2,  132.52, 4998.30
5.3,  119.55, 4930.95
5.4,   81.72, 4963.61
5.5,  115.00, 5243.42
5.6,  115.21, 5098.75
5.7,  209.98, 5358.26
5.8,  155.91, 5255.99
5.9,   61.43, 5161.65
6.0,   85.85, 5122.49
6.1,  191.36, 5423.78
6.2,   82.73, 5081.30
6.3,   72.17, 5115.58
6.4,  134.89, 5336.37
6.5,   93.07, 5147.96
6.6,  285.41, 5937.35
6.7,   88.48, 5384.78
6.8,  124.28, 5452.55
6.9,  109.30, 5369.29
7.0,  111.77, 5407.50
