,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:20:44.278,   65.31,   35.42,   65.77,   36.08,   65.59,   35.44,   63.33,   33.99,   64.40,   34.77,   63.20,   34.23,  387.58,  209.94,     19850,  597.52,  470.09,  772.02,  472.38,  774.65,  469.71,  770.69,  465.30,  770.07,  468.08,  773.14,  467.17,  772.33, 2812.73, 4632.89,     19020, 7445.62,   3200.31,   4842.83,   8043.14
2023-04-16,16:20:44.378,   35.04,   17.57,   34.02,   17.74,   34.17,   17.06,   32.75,   16.67,   32.12,   15.70,   32.37,   16.16,  200.47,  100.90,     18680,  301.37,  400.31,  671.84,  404.58,  677.69,  399.46,  671.20,  397.41,  672.50,  398.39,  674.38,  398.13,  673.13, 2398.27, 4040.74,     18780, 6439.00,   2598.74,   4141.64,   6740.38
2023-04-16,16:20:44.478,   26.66,    9.83,   26.73,   10.12,   26.48,    9.76,   24.67,    9.01,   24.91,    8.98,   24.56,    9.14,  154.01,   56.83,     18826,  210.85,  422.13,  707.56,  421.63,  706.18,  420.48,  704.81,  414.92,  704.63,  416.99,  707.26,  416.56,  706.58, 2512.71, 4237.02,     18966, 6749.73,   2666.72,   4293.86,   6960.58
2023-04-16,16:20:44.578,   24.66,    8.38,   24.40,    8.65,   24.44,    8.42,   22.67,    7.61,   22.76,    7.62,   22.73,    7.71,  141.66,   48.40,     18650,  190.06,  388.53,  638.98,  387.36,  637.44,  386.44,  636.74,  383.00,  638.45,  384.90,  641.73,  383.66,  640.10, 2313.90, 3833.44,     18640, 6147.34,   2455.56,   3881.84,   6337.39
2023-04-16,16:20:44.678,   10.03,    3.52,   10.38,    3.78,    9.95,    3.43,    9.48,    3.10,    9.52,    3.14,    9.44,    3.26,   58.81,   20.24,     18640,   79.05,  239.43,  376.76,  239.47,  376.11,  238.84,  376.34,  233.79,  371.39,  233.79,  372.14,  233.32,  370.99, 1418.63, 2243.73,     18680, 3662.36,   1477.44,   2263.96,   3741.41
2023-04-16,16:20:44.779,   11.82,    4.01,   12.19,    4.36,   11.93,    4.08,   10.58,    3.62,   10.80,    3.83,   10.81,    3.82,   68.13,   23.72,     18820,   91.85,  152.06,  136.67,  151.87,  136.44,  151.60,  136.40,  148.67,  134.14,  149.11,  134.63,  148.81,  133.80,  902.12,  812.08,     18820, 1714.20,    970.25,    835.80,   1806.05
2023-04-16,16:20:44.878,   32.92,   12.43,   33.24,   12.72,   32.83,   12.41,   29.94,   11.24,   30.06,   11.70,   30.14,   11.54,  189.14,   72.04,     18620,  261.18,  192.00,   95.31,  191.53,   94.99,  191.32,   94.76,  186.88,   94.11,  187.24,   94.17,  186.36,   94.04, 1135.32,  567.38,     18620, 1702.70,   1324.46,    639.42,   1963.89
2023-04-16,16:20:44.978,   26.20,   11.35,   26.82,   12.05,   26.23,   11.30,   24.33,   10.39,   24.64,   10.72,   24.64,   10.57,  152.86,   66.38,     18816,  219.23,  230.00,   38.53,  231.38,   40.31,  229.47,   38.74,  226.86,   37.47,  229.16,   40.09,  226.95,   37.24, 1373.81,  232.39,     18816, 1606.20,   1526.67,    298.76,   1825.43
2023-04-16,16:20:45.078,   19.46,    6.93,   19.50,    7.10,   19.57,    6.84,   19.09,    6.62,   18.91,    6.82,   18.86,    6.61,  115.38,   40.92,     18630,  156.30,  223.65,   22.25,  223.04,   21.71,  222.84,   21.83,  220.22,   20.81,  220.77,   20.99,  220.53,   21.04, 1331.05,  128.63,     18650, 1459.68,   1446.43,    169.55,   1615.98
