time,sock0,sock1
0.1,  383.59,  673.27
0.2,  264.88,  524.99
0.3,  133.93,  474.97
0.4,  441.90, 1404.56
0.5,   77.65,  516.74
0.6,  145.48,  581.18
0.7,  214.36,  757.65
0.8,  156.86,  594.30
0.9,  151.30,  682.78
1.0,  160.53,  690.52
1.1,  628.65,  755.42
1.2,  281.85,  695.21
1.3,  239.30,  706.50
1.4,   89.51,  532.81
1.5,  133.50,  597.67
1.6,  137.80,  506.03
1.7,   74.73,  557.18
1.8,   91.00,  591.35
1.9,   82.76,  547.72
2.0,  160.20,  676.66
2.1,  214.88, 2853.91
2.2,  167.76, 2562.42
2.3,  152.46, 2449.39
2.4,  203.63, 3567.31
2.5,  169.09, 6181.39
2.6,   98.13, 4518.83
2.7,  200.12, 4066.90
2.8,  159.62, 3953.21
2.9,  141.26, 4079.23
3.0,  349.86, 4289.60
3.1,  293.73, 4164.74
3.2,  149.34, 4098.30
3.3,  131.17, 4000.75
3.4,  216.02, 4108.63
3.5,  282.74, 4234.81
3.6,  198.21, 3933.24
3.7,  117.68, 3903.79
3.8,   80.39, 3961.71
3.9,  142.71, 4016.30
4.0,  132.57, 4247.40
4.1,  141.16, 4246.38
4.2,  401.77, 4691.34
4.3,  204.50, 4612.78
4.4,  204.43, 4574.15
4.5,  182.83, 4732.03
4.6,   99.50, 4649.73
4.7,  217.80, 4558.84
4.8,  166.48, 4220.70
4.9,  118.97, 4115.53
5.0,  134.14, 4118.84
5.1,  133.23, 3926.04
5.2,  130.99, 3913.93
5.3,  141.48, 3932.17
5.4,   46.47, 3847.68
5.5,  128.82, 3979.46
5.6,  160.42, 4164.15
5.7,  143.23, 4080.70
5.8,  114.97, 4229.22
5.9,  104.53, 4226.33
6.0,  100.41, 4247.52
6.1,  168.86, 4481.96
6.2,   85.15, 4507.05
6.3,  111.30, 4511.13
6.4,  168.19, 4573.90
6.5,  171.44, 4565.35
6.6,  125.86, 4208.62
6.7,  195.33, 4481.69
6.8,  184.58, 4268.03
6.9,  135.48, 4046.91
7.0,   99.62, 3959.16
7.1,  104.36, 3908.01
7.2,  123.50, 3894.31
7.3,  135.93, 3995.25
7.4,  109.22, 3897.40
7.5,   94.14, 3933.64
7.6,  109.07, 3893.38
7.7,  117.60, 3865.16
7.8,  120.46, 3964.14
7.9,  127.54, 3929.99
8.0,  111.51, 3837.97
8.1,  163.81, 4063.80
8.2,  112.64, 4030.41
8.3,   72.39, 4004.58
8.4,  138.73, 4230.69
8.5,  154.77, 4316.92
8.6,  191.82, 4199.99
8.7,  132.63, 4350.10
8.8,  153.69, 4332.73
8.9,  145.02, 4389.84
9.0,  160.23, 4601.07
9.1,   55.90, 4240.80
9.2,  260.16, 4360.57
9.3,  137.94, 4136.83
9.4,  127.67, 4223.66
9.5,  107.22, 4116.94
9.6,  128.42, 4040.13
9.7,  114.06, 4072.41
9.8,  133.47, 4234.24
9.9,  103.98, 4203.80
10.0,  137.58, 4153.46
10.1,  134.40, 4137.04
10.2,  103.14, 4122.25
10.3,   76.86, 4045.14
10.4,  113.50, 3968.18
10.5,  223.67, 4376.74
10.6,  126.22, 4412.15
10.7,  173.84, 4455.68
10.8,  100.92, 4083.78
10.9,  126.94, 3935.53
11.0,  114.04, 3976.93
11.1,   96.44, 3943.49
11.2,   83.69, 3798.94
11.3,  147.50, 4002.01
11.4,  107.17, 3912.52
11.5,  100.24, 3879.81
11.6,   76.14, 3909.52
11.7,  118.61, 3998.87
11.8,  142.72, 3945.97
11.9,   95.49, 3912.88
12.0,   53.00, 3832.61
12.1,  158.46, 3825.80
12.2,  129.61, 4055.44
12.3,  103.80, 4058.13
12.4,  137.55, 4040.84
12.5,  315.55, 4243.21
12.6,  231.09, 4205.85
12.7,  399.33, 4227.85
12.8,  110.69, 4066.57
12.9,  137.91, 3988.00
13.0,  195.60, 4101.17
13.1,  131.86, 4186.21
13.2,   42.85, 4140.03
13.3,  119.31, 4153.81
13.4,  107.26, 4200.85
13.5,  179.68, 4170.64
13.6,  104.79, 4162.91
13.7,  149.83, 4188.51
13.8,  145.83, 4306.43
13.9,  118.74, 4342.47
14.0,   58.67, 4310.05
14.1,  112.72, 4369.73
14.2,  215.53, 4292.02
14.3,  388.98, 4619.93
14.4,   99.15, 4095.60
14.5,  164.66, 4234.26
14.6,  135.43, 4392.68
14.7,  138.01, 4402.17
14.8,  155.85, 4376.30
14.9,   92.01, 4261.52
15.0,  161.30, 4900.00
15.1,  130.46, 3717.64
15.2,   76.57, 4239.29
15.3,  109.95, 4232.39
15.4,  103.79, 4321.38
15.5,  127.48, 4240.27
15.6,  132.84, 4047.68
15.7,  107.49, 4245.85
15.8,  141.47, 4186.43
15.9,  124.15, 4138.19
16.0,   89.52, 4125.95
16.1,   77.12, 4305.68
16.2,  114.55, 4330.69
16.3,  231.51, 4708.29
16.4,  162.51, 4585.35
16.5,  240.08, 4586.88
16.6,  155.56, 4479.07
16.7,  152.13, 4494.03
16.8,  190.14, 4483.55
16.9,   65.14, 4143.20
17.0,  151.55, 4139.62
17.1,  115.86, 4202.82
17.2,   93.61, 4288.68
17.3,   66.30, 4213.13
17.4,  107.74, 4402.98
17.5,  110.85, 4291.18
17.6,  121.35, 4231.07
17.7,   53.90, 4031.31
17.8,  109.68, 4090.84
17.9,  118.64, 4140.12
18.0,  364.96, 4370.48
18.1,  137.16, 4230.22
18.2,  109.05, 4157.02
18.3,  132.27, 4119.64
18.4,  138.43, 4219.17
18.5,  119.01, 4019.20
18.6,  129.44, 3911.13
18.7,  173.96, 4041.89
18.8,  190.79, 3982.89
18.9,   76.86, 4141.29
19.0,  106.55, 6287.68
19.1,  186.70, 1935.56
19.2,   32.47,  107.59
19.3,   84.91,  380.43
