,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:18:19.343,   37.04,   28.41,   37.32,   28.35,   37.27,   28.38,   34.67,   26.96,   35.06,   27.30,   35.15,   27.69,  216.50,  167.09,     19006,  383.59,   56.69,   56.61,   56.81,   56.57,   57.02,   57.06,   55.03,   55.71,   55.25,   55.68,   54.95,   55.90,  335.75,  337.52,     19026,  673.27,    552.26,    504.61,   1056.87
2023-04-16,16:18:19.443,   23.95,   21.46,   24.10,   21.55,   24.11,   21.54,   22.01,   19.98,   22.73,   20.69,   22.30,   20.46,  139.20,  125.68,     18670,  264.88,   47.23,   41.81,   47.51,   41.85,   47.23,   41.59,   45.09,   40.16,   45.72,   40.80,   45.46,   40.55,  278.23,  246.76,     18700,  524.99,    417.44,    372.44,    789.88
2023-04-16,16:18:19.542,   14.46,    8.90,   14.44,    8.95,   14.26,    8.77,   12.80,    8.31,   13.03,    8.49,   13.01,    8.50,   82.00,   51.93,     18630,  133.93,   37.87,   43.08,   37.48,   42.91,   37.66,   42.76,   35.94,   41.76,   36.01,   41.91,   35.73,   41.88,  220.69,  254.29,     18620,  474.97,    302.69,    306.22,    608.90
2023-04-16,16:18:19.643,   47.92,   27.24,   48.38,   27.75,   47.83,   27.28,   45.37,   25.86,   45.54,   26.24,   46.02,   26.48,  281.05,  160.85,     18810,  441.90,  114.01,  120.41,  115.49,  121.55,  119.80,  127.16,  110.60,  117.95,  110.96,  120.44,  108.92,  117.26,  679.80,  724.77,     18830, 1404.56,    960.85,    885.61,   1846.46
2023-04-16,16:18:19.743,    7.71,    5.20,    7.83,    5.34,    7.76,    5.08,    7.74,    5.00,    7.87,    5.14,    7.74,    5.25,   46.64,   31.01,     18630,   77.65,   36.71,   49.35,   37.04,   49.84,   37.84,   51.19,   36.52,   49.03,   35.99,   48.15,   36.43,   48.64,  220.53,  296.21,     18640,  516.74,    267.18,    327.22,    594.39
2023-04-16,16:18:19.843,   17.12,    8.01,   17.31,    8.35,   17.16,    8.11,   15.52,    7.41,   15.69,    7.76,   15.46,    7.58,   98.26,   47.22,     18806,  145.48,   41.95,   56.26,   42.06,   56.18,   42.01,   56.13,   40.22,   55.20,   40.22,   55.47,   40.13,   55.35,  246.58,  334.60,     18806,  581.18,    344.84,    381.82,    726.66
2023-04-16,16:18:19.943,   25.18,   11.26,   25.53,   11.88,   25.34,   11.52,   23.65,   10.71,   23.96,   10.84,   23.70,   10.79,  147.35,   67.00,     18640,  214.36,   54.33,   73.24,   54.43,   73.20,   54.16,   73.08,   52.28,   72.98,   52.11,   72.85,   52.08,   72.91,  319.40,  438.25,     18630,  757.65,    466.75,    505.25,    972.00
2023-04-16,16:18:20.042,   17.86,    8.93,   18.07,    9.30,   18.27,    9.27,   16.35,    8.39,   16.68,    8.70,   16.48,    8.56,  103.71,   53.15,     18826,  156.86,   44.03,   56.41,   44.20,   56.53,   44.07,   56.59,   42.11,   55.47,   41.82,   55.46,   42.17,   55.45,  258.40,  335.91,     18836,  594.30,    362.10,    389.06,    751.16
2023-04-16,16:18:20.142,   17.70,    8.66,   17.10,    8.16,   17.09,    7.89,   17.01,    7.86,   16.94,    8.00,   16.84,    8.05,  102.68,   48.62,     18620,  151.30,   51.99,   63.95,   50.88,   63.21,   51.52,   63.47,   49.72,   62.78,   49.98,   63.21,   49.42,   62.64,  303.52,  379.26,     18620,  682.78,    406.20,    427.88,    834.08
2023-04-16,16:18:20.242,   20.10,    8.88,   19.49,    8.20,   19.25,    7.77,   18.13,    7.37,   17.99,    7.58,   18.14,    7.65,  113.10,   47.44,     18806,  160.53,   53.36,   63.25,   53.21,   62.81,   53.26,   62.92,   51.21,   62.50,   51.47,   62.72,   51.38,   62.43,  313.89,  376.63,     18826,  690.52,    426.99,    424.06,    851.05
2023-04-16,16:18:20.342,   53.89,   55.10,   53.18,   54.52,   53.66,   54.97,   50.58,   50.25,   50.75,   50.68,   50.74,   50.33,  312.80,  315.85,     18620,  628.65,   47.48,   83.52,   46.60,   81.88,   46.48,   82.00,   41.71,   80.99,   41.60,   81.24,   41.30,   80.62,  265.16,  490.25,     18620,  755.42,    577.96,    806.10,   1384.07
2023-04-16,16:18:20.441,   28.19,   20.20,   27.70,   19.61,   27.57,   19.52,   26.62,   19.41,   26.85,   19.74,   26.83,   19.62,  163.75,  118.11,     18620,  281.85,   49.05,   68.57,   48.50,   68.04,   48.52,   68.14,   46.99,   67.51,   47.40,   68.08,   46.90,   67.49,  287.37,  407.84,     18630,  695.21,    451.11,    525.95,    977.06
2023-04-16,16:18:20.542,   24.88,   16.00,   24.84,   15.67,   24.83,   15.57,   24.38,   14.70,   24.56,   15.02,   24.23,   14.63,  147.72,   91.58,     18820,  239.30,   52.71,   66.72,   52.00,   65.78,   52.16,   66.25,   51.58,   65.69,   51.74,   65.50,   51.16,   65.21,  311.35,  395.14,     18850,  706.50,    459.07,    486.73,    945.80
2023-04-16,16:18:20.642,   10.01,    6.32,    9.79,    5.95,    9.47,    5.55,    8.67,    5.33,    8.75,    5.53,    8.64,    5.51,   55.32,   34.19,     18620,   89.51,   37.40,   52.54,   37.12,   52.38,   37.24,   52.49,   36.05,   51.73,   36.08,   51.85,   36.15,   51.79,  220.03,  312.78,     18630,  532.81,    275.35,    346.97,    622.32
2023-04-16,16:18:20.743,   15.64,    8.64,   15.38,    8.16,   14.99,    7.77,   13.60,    7.08,   13.78,    7.37,   13.75,    7.32,   87.16,   46.35,     18800,  133.50,   43.04,   58.12,   42.92,   57.58,   42.93,   57.87,   40.92,   57.18,   41.45,   57.63,   41.09,   56.93,  252.35,  345.31,     18800,  597.67,    339.51,    391.66,    731.17
2023-04-16,16:18:20.842,   16.49,    8.49,   16.16,    8.06,   15.89,    7.70,   14.22,    7.22,   14.42,    7.51,   14.33,    7.31,   91.51,   46.29,     18620,  137.80,   41.60,   44.45,   41.42,   44.10,   41.31,   44.18,   39.50,   43.46,   39.53,   43.59,   39.53,   43.38,  242.89,  263.14,     18640,  506.03,    334.40,    309.43,    643.83
2023-04-16,16:18:20.943,    8.62,    4.80,    8.68,    4.59,    8.28,    4.23,    7.80,    3.86,    7.83,    3.95,    8.02,    4.05,   49.24,   25.50,     18800,   74.73,   36.43,   57.11,   36.45,   57.04,   36.39,   56.91,   35.50,   56.62,   35.62,   56.66,   35.64,   56.82,  216.03,  341.15,     18800,  557.18,    265.27,    366.65,    631.91
2023-04-16,16:18:21.043,   10.49,    6.25,   10.07,    5.80,    9.99,    5.66,    8.70,    5.09,    9.11,    5.45,    9.03,    5.36,   57.39,   33.61,     18620,   91.00,   41.13,   58.48,   40.97,   58.33,   40.94,   58.34,   39.63,   58.02,   39.76,   58.27,   39.57,   57.90,  242.00,  349.34,     18620,  591.35,    299.39,    382.96,    682.35
