time,sock0,sock1
0.1,  251.50, 3059.34
0.2,  131.33, 2408.87
0.3,  223.98, 2795.13
0.4,  125.36, 2778.49
0.5,  190.40, 3007.10
0.6,   60.03, 2920.40
0.7,  112.86, 3142.09
0.8,  165.83, 3325.31
0.9,  403.28, 3689.54
1.0,   86.03, 2968.84
1.1,  184.86, 2973.87
1.2,  382.64, 3246.90
1.3,  381.58, 3010.50
1.4,   74.79, 2609.86
1.5,  120.12, 2608.33
1.6,  116.90, 2701.09
1.7,  100.98, 2580.43
1.8,   97.61, 2590.87
1.9,  100.74, 2521.96
2.0,  140.72, 2512.90
2.1,  187.86, 2698.66
2.2,  120.12, 2483.53
2.3,  172.09, 2689.54
2.4,  126.87, 2334.13
2.5,  146.54, 2468.36
2.6,   72.94, 2337.42
2.7,   51.34, 2280.81
2.8,  130.17, 2386.60
2.9,  124.08, 2353.69
3.0,   95.70, 2248.96
3.1,   68.36, 2254.97
3.2,  106.39, 2270.72
3.3,  111.56, 2257.97
3.4,  107.39, 2245.90
3.5,  186.53, 2165.40
3.6,  108.76, 2194.75
3.7,   79.19, 2142.56
3.8,  111.66, 2135.36
3.9,   83.86, 2120.72
4.0,   89.54, 2074.58
4.1,  271.37, 2264.62
4.2,  161.62, 2163.60
4.3,  116.74, 2060.08
4.4,  119.88, 2046.78
4.5,  113.57, 2039.35
4.6,  110.04, 1954.11
4.7,  107.72, 1917.91
4.8,   82.52, 1923.38
4.9,   99.76, 1855.86
5.0,   96.81, 1807.25
5.1,  729.62, 2783.80
5.2,   95.75, 1717.47
5.3,  208.83, 2039.72
5.4,  248.23, 3437.97
5.5,  139.83, 2155.06
5.6,   82.60, 5300.72
5.7,   92.91,  668.03
5.8,   63.77,  284.57
