,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:32:53.832,   28.48,   14.38,   28.60,   14.53,   28.49,   14.00,   27.26,   13.37,   27.50,   13.85,   27.35,   13.69,  167.68,   83.82,     19220,  251.50,  298.25,  213.18,  297.87,  213.01,  298.08,  213.83,  295.96,  212.85,  295.91,  212.60,  295.82,  211.98, 1781.89, 1277.45,    109740, 3059.34,   1949.57,   1361.27,   3310.84
2023-04-16,16:32:53.932,   15.06,    7.45,   15.16,    7.62,   15.02,    7.37,   14.15,    7.02,   14.17,    7.03,   14.15,    7.13,   87.70,   43.63,     18680,  131.33,  303.44,   98.39,  303.37,   98.40,  305.63,  100.67,  302.80,   97.76,  301.60,   96.96,  302.15,   97.70, 1818.98,  589.88,     18670, 2408.87,   1906.68,    633.51,   2540.19
2023-04-16,16:32:54.032,   28.24,   10.25,   28.82,   11.00,   28.38,   10.66,   25.71,    9.68,   25.89,    9.85,   25.88,    9.62,  162.92,   61.06,     18630,  223.98,  361.37,  106.35,  362.75,  106.66,  362.27,  106.60,  357.55,  104.84,  357.54,  105.83,  357.96,  105.40, 2159.45,  635.69,     18670, 2795.13,   2322.36,    696.75,   3019.11
2023-04-16,16:32:54.132,   16.57,    4.93,   17.06,    5.34,   16.84,    4.88,   15.41,    4.44,   15.28,    4.62,   15.38,    4.62,   96.53,   28.83,     18856,  125.36,  378.45,   85.15,  378.64,   86.04,  378.53,   85.70,  377.36,   85.06,  376.73,   85.06,  376.68,   85.09, 2266.38,  512.11,     18876, 2778.49,   2362.91,    540.94,   2903.86
2023-04-16,16:32:54.232,   24.08,    8.62,   24.29,    9.07,   23.86,    8.45,   22.51,    8.03,   22.68,    8.18,   22.50,    8.12,  139.92,   50.48,     18660,  190.40,  418.33,   83.41,  417.03,   83.44,  418.90,   83.87,  417.10,   83.34,  417.52,   83.39,  417.36,   83.41, 2506.25,  500.85,     18680, 3007.10,   2646.16,    551.33,   3197.49
2023-04-16,16:32:54.332,    7.25,    3.03,    7.45,    3.30,    7.02,    2.87,    6.79,    2.78,    6.86,    2.87,    6.86,    2.95,   42.23,   17.80,     18680,   60.03,  424.13,   62.92,  424.02,   63.19,  424.10,   62.83,  422.31,   62.71,  424.01,   63.08,  424.08,   63.00, 2542.66,  377.74,     18710, 2920.40,   2584.89,    395.54,   2980.43
2023-04-16,16:32:54.432,   14.56,    4.89,   14.93,    5.39,   14.67,    5.03,   13.08,    4.46,   13.37,    4.63,   13.18,    4.67,   83.79,   29.07,     18660,  112.86,  429.38,   94.39,  430.34,   94.65,  429.84,   95.04,  428.80,   94.80,  428.08,   93.49,  428.85,   94.42, 2575.30,  566.79,     65030, 3142.09,   2659.09,    595.86,   3254.95
2023-04-16,16:32:54.529,   20.34,    7.91,   20.53,    8.06,   20.45,    7.68,   19.31,    7.83,   18.91,    7.24,   19.51,    8.06,  119.04,   46.79,     18846,  165.83,  401.08,  154.48,  400.97,  153.74,  400.71,  154.55,  399.52,  153.49,  399.60,  154.03,  399.26,  153.88, 2401.13,  924.18,    136027, 3325.31,   2520.17,    970.97,   3491.14
2023-04-16,16:32:54.629,   47.07,   20.34,   48.26,   21.26,   48.95,   21.87,   44.93,   19.21,   45.90,   20.18,   45.33,   19.97,  280.44,  122.84,     18650,  403.28,  508.38,  106.10,  508.81,  107.12,  511.90,  108.36,  506.66,  103.81,  510.13,  109.17,  505.17,  103.93, 3051.04,  638.49,     18630, 3689.54,   3331.48,    761.33,   4092.81
