time,sock0,sock1
0.1,  120.77, 3519.69
0.2,  327.80, 3628.66
0.3,  323.71, 3594.82
0.4,  182.01, 3697.21
0.5,   80.65, 3441.11
0.6,  106.41, 3458.48
0.7,  113.79, 3413.44
0.8,  210.36, 3727.25
0.9,  168.69, 3452.02
1.0,  134.48, 3180.81
1.1,  339.22, 3605.21
1.2,  311.18, 3375.32
1.3,  161.60, 3265.39
1.4,  104.52, 3176.75
1.5,  135.93, 3210.30
1.6,  109.74, 3128.40
1.7,  153.23, 3166.37
1.8,  156.88, 3181.83
1.9,  144.10, 3086.38
2.0,  163.20, 3103.93
2.1,  110.46, 2981.81
2.2,   78.96, 2959.50
2.3,  140.65, 2992.61
2.4,  155.40, 2910.16
2.5,  143.69, 2691.56
2.6,  109.40, 2546.46
2.7,  146.75, 2611.28
2.8,  108.61, 2500.55
2.9,  123.92, 2588.87
3.0,   62.94, 2596.56
3.1,  158.42, 2733.56
3.2,  180.23, 2620.24
3.3,  118.41, 2523.06
3.4,  294.78, 2852.12
3.5,   99.91, 2220.54
3.6,  121.91, 3041.81
3.7,  130.87, 6304.02
3.8,  127.61, 6916.68
3.9,  103.54, 6869.33
4.0,  134.36, 6974.64
4.1,  165.38, 7090.59
4.2,  127.07, 7117.16
4.3,  110.74, 7128.12
4.4,  122.61, 7084.88
4.5,  144.61, 7129.88
4.6,  155.66, 7217.18
4.7,   34.74, 5534.40
4.8,  134.18, 3547.79
4.9,  129.18, 3447.14
5.0,   98.69, 3456.33
5.1,   73.34, 3405.34
5.2,  424.39, 3885.42
5.3,  269.63, 3590.58
5.4,  167.64, 3564.78
5.5,  100.08, 3422.62
5.6,  102.98, 3411.07
5.7,  143.56, 2716.14
5.8,  110.70, 1259.19
5.9,  138.50, 1505.37
6.0,  102.73, 1717.38
6.1,  175.44, 2067.32
6.2,  154.41, 2213.88
6.3,  254.69, 2476.96
6.4,   98.92, 2314.15
6.5,  129.63, 2420.02
6.6,  136.11, 2482.88
6.7,  128.16, 2467.79
6.8,   51.74, 2444.06
6.9,  121.39, 2539.83
7.0,  139.68, 2625.98
7.1,  135.46, 2583.72
7.2,   83.51, 2524.85
7.3,  323.36, 2972.62
7.4,  166.35, 2509.79
7.5,  173.62, 2471.59
7.6,   76.08, 2484.48
7.7,  131.32, 2698.92
7.8,  133.77, 2880.68
7.9,  162.03, 3032.51
8.0,  108.70, 3040.74
8.1,   99.94, 3062.82
8.2,  736.51, 3953.69
8.3,  239.85, 3375.00
8.4,  146.64, 3274.10
8.5,  107.46, 3246.41
8.6,  133.83, 3274.09
8.7,  123.32, 3301.10
8.8,  106.85, 3283.15
8.9,   96.64, 3361.12
9.0,  126.16, 3364.88
9.1,  122.72, 3324.97
9.2,  113.01, 3297.70
9.3,   74.82, 3222.15
9.4,  140.62, 3269.44
9.5,  287.11, 3478.99
9.6,  120.53, 3008.98
9.7,  117.43, 2958.48
9.8,  128.45, 1459.06
9.9,  184.63, 1522.46
10.0,  156.24, 1458.03
10.1,   61.27, 1309.37
