,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:30:09.736,   12.39,    7.77,   12.71,    8.15,   12.61,    7.96,   12.12,    7.35,   12.16,    7.63,   12.31,    7.60,   74.31,   46.46,     18810,  120.77,  510.25,   75.20,  510.67,   75.09,  510.98,   75.21,  510.21,   77.40,  510.30,   77.34,  510.04,   77.00, 3062.45,  457.24,     18850, 3519.69,   3136.75,    503.70,   3640.46
2023-04-16,16:30:09.836,   35.06,   21.76,   35.52,   22.14,   35.42,   21.96,   31.22,   20.18,   31.79,   20.56,   31.74,   20.44,  200.76,  127.04,     18680,  327.80,  522.82,   83.69,  522.29,   84.26,  523.31,   84.10,  520.07,   83.05,  520.32,   83.43,  518.73,   82.59, 3127.54,  501.12,     18680, 3628.66,   3328.30,    628.16,   3956.46
2023-04-16,16:30:09.936,   32.20,   23.16,   32.39,   23.44,   32.49,   23.42,   29.62,   21.88,   30.30,   22.40,   30.10,   22.29,  187.12,  136.59,     18640,  323.71,  522.46,   81.08,  522.34,   80.98,  523.23,   81.37,  518.04,   76.20,  517.59,   76.38,  518.56,   76.58, 3122.23,  472.59,     18630, 3594.82,   3309.35,    609.18,   3918.53
2023-04-16,16:30:10.036,   21.41,   10.16,   21.33,   10.29,   21.29,   10.10,   19.38,    9.09,   19.99,    9.54,   19.88,    9.55,  123.28,   58.73,     18826,  182.01,  525.06,   93.44,  525.86,   94.78,  525.47,   94.31,  521.11,   91.21,  522.64,   94.06,  519.66,   89.61, 3139.80,  557.41,     18856, 3697.21,   3263.08,    616.14,   3879.22
2023-04-16,16:30:10.135,    9.69,    3.83,    9.81,    4.14,    9.74,    3.98,    9.30,    3.57,    9.35,    3.78,    9.57,    3.90,   57.46,   23.19,     18620,   80.65,  489.61,   84.84,  490.34,   84.73,  489.33,   84.13,  487.58,   83.94,  489.50,   84.40,  488.60,   84.10, 2934.97,  506.14,     18640, 3441.11,   2992.43,    529.33,   3521.76
2023-04-16,16:30:10.235,   12.99,    5.49,   13.12,    5.87,   12.97,    5.60,   11.41,    4.71,   11.71,    5.18,   11.91,    5.45,   74.11,   32.30,     18806,  106.41,  491.74,   85.47,  492.13,   85.52,  491.20,   85.58,  490.29,   84.94,  490.18,   85.13,  490.87,   85.42, 2946.41,  512.07,     18836, 3458.48,   3020.52,    544.37,   3564.89
2023-04-16,16:30:10.335,   14.43,    5.40,   14.55,    5.59,   14.36,    5.37,   12.85,    4.66,   13.09,    5.14,   13.18,    5.18,   82.45,   31.34,     18620,  113.79,  484.35,   84.96,  484.63,   84.78,  484.95,   85.15,  483.53,   84.63,  483.61,   84.47,  483.72,   84.67, 2904.79,  508.66,     18620, 3413.44,   2987.23,    540.00,   3527.23
2023-04-16,16:30:10.435,   25.74,    9.86,   26.01,   10.25,   26.38,   10.30,   24.22,    9.15,   24.64,    9.67,   24.52,    9.63,  151.51,   58.85,     18806,  210.36,  512.70,  110.20,  511.40,  109.79,  512.87,  110.44,  510.35,  109.94,  510.32,  110.05,  509.64,  109.55, 3067.27,  659.98,     18846, 3727.25,   3218.78,    718.82,   3937.60
2023-04-16,16:30:10.534,   20.30,    7.81,   20.29,    8.20,   20.66,    8.27,   19.77,    7.61,   19.93,    7.90,   20.13,    7.82,  121.09,   47.60,     18620,  168.69,  489.78,   84.88,  490.52,   85.07,  491.83,   86.71,  488.77,   85.78,  488.62,   85.77,  488.82,   85.47, 2938.34,  513.68,     18650, 3452.02,   3059.43,    561.28,   3620.71
