time,sock0,sock1
0.1,   68.40,   97.42
0.2,   76.27,   76.68
0.3,  160.38,  244.62
0.4,  208.77,  267.94
0.5,   91.02,  133.08
0.6,  202.00,  251.58
0.7,  276.58,  406.47
0.8,  114.15,  115.74
0.9,  257.38,  430.33
1.0,  126.29,  133.21
1.1,  728.28,  415.22
1.2,  352.11,  357.01
1.3,  134.41,  161.86
1.4,  104.11,  119.03
1.5,  137.81,  182.28
1.6,  125.57,  163.10
1.7,   77.79,  116.06
1.8,   81.80,   83.83
1.9,   84.19,  103.95
2.0,  124.98,  159.43
2.1,   81.59,   86.22
2.2,   72.93,   79.19
2.3,  128.77,  161.81
2.4,  120.36,  166.29
2.5,   66.84,   89.78
2.6,   94.31,  125.82
2.7,  102.82,  125.52
2.8,   86.71,   92.74
2.9,   67.02,   87.95
3.0,   87.04,  108.75
3.1,  170.74,  198.41
3.2,  101.21,  109.29
3.3,   55.18,   75.78
3.4,  102.84,  129.09
3.5,  101.48,  124.16
3.6,  134.08,  182.23
3.7,   77.00,   96.33
3.8,   52.96,   59.61
3.9,   86.12,  113.00
4.0,  123.24,  161.59
4.1,   67.54,   62.70
4.2,   44.74,   51.08
4.3,  125.06,  188.04
4.4,   97.12,  117.50
4.5,  149.34,  165.19
4.6,   93.87,  152.74
4.7,   99.58,  105.36
4.8,   92.69,  106.58
4.9,  108.03,  149.94
5.0,   64.91,   84.61
5.1,  167.49,  190.85
5.2,  127.34,  155.21
5.3,  128.11,  180.13
5.4,  120.30,  167.55
5.5,  132.19,  180.87
5.6,  569.43,  731.00
5.7,   96.34,   92.42
5.8,   94.73,  120.57
5.9,  108.32,  136.51
6.0,  127.68,  163.72
6.1,  101.31,   86.67
6.2,   46.54,   75.82
6.3,  119.57,  152.14
6.4,  122.94,  180.60
6.5,   86.93,  184.61
6.6,   82.44,  143.67
6.7,  105.05,  125.06
6.8,   89.65,   97.39
6.9,   83.23,  104.89
7.0,   57.76,   79.07
7.1,  171.31,  212.96
7.2,  118.87,  148.35
7.3,   80.37,   79.41
7.4,   45.55,   59.44
7.5,  110.21,  130.55
7.6,  110.53,  149.88
7.7,   79.83,   81.44
7.8,   34.80,   50.04
7.9,   83.94,  110.41
8.0,  157.51,  176.29
8.1,  112.82,  109.84
8.2,   21.27,   32.15
8.3,  156.04,  174.21
8.4,  314.23,  299.53
8.5,  128.86,  162.40
8.6,   42.21,   84.30
8.7,  105.48,  127.58
8.8,   84.58,   94.75
8.9,   95.37,  122.87
9.0,   40.99,   57.87
9.1,  164.63,  194.66
9.2,  109.95,  119.49
9.3,  159.24,  190.68
9.4,   49.66,   67.20
9.5,  186.72,  179.56
9.6,  125.06,  156.65
9.7,   94.32,  108.25
9.8,   49.64,   74.82
9.9,   73.86,   91.31
10.0,  257.19,  363.46
10.1,  105.00,   98.49
10.2,   42.08,   58.10
10.3,  112.33,  144.76
10.4,  120.18,  148.06
10.5,   99.65,  138.32
10.6,   57.72,   98.22
10.7,   80.60,   95.13
10.8,   76.82,   86.90
10.9,  153.85,  203.75
11.0,   72.20,   94.51
11.1,  157.63,  187.37
11.2,  119.27,  129.45
11.3,   82.11,   90.72
11.4,  121.06,   87.19
11.5,   84.26,  114.41
11.6,  137.61,  389.17
11.7,  131.01,  158.40
11.8,   73.29,   87.34
11.9,   72.92,  104.04
12.0,   97.98,  107.24
12.1,  126.57,  148.46
12.2,   64.61,   80.91
12.3,   93.73,  123.78
12.4,  103.93,  143.00
12.5,   98.19,  133.38
12.6,   76.74,   95.99
12.7,   54.62,   78.47
12.8,   81.69,   94.72
12.9,   88.49,  121.39
13.0,   75.72,   95.60
13.1,  109.66,  142.18
13.2,   98.81,  103.33
13.3,   87.01,  111.77
13.4,  114.72,  135.99
13.5,   57.29,   80.38
13.6,  109.59,  155.55
13.7,  119.91,  146.39
13.8,   65.67,   62.80
13.9,  449.62,  605.05
14.0,  268.36,  267.89
14.1,  112.03,  101.44
14.2,   76.39,   85.51
14.3,  112.62,  164.89
14.4,  130.60,  173.45
14.5,  132.66,  136.10
14.6,  103.78,  161.60
14.7,   41.57,   58.22
14.8,   91.40,   98.58
14.9,  132.70,  194.50
15.0,  118.01,  130.96
15.1,  113.08,  142.78
15.2,  128.96,  145.48
15.3,  100.81,   98.27
15.4,   95.28,  104.33
15.5,   43.56,   70.84
15.6,  270.87,  375.10
15.7,  170.62,  247.86
15.8,  213.12,  265.00
15.9,   69.86,  111.32
16.0,  117.99,  132.11
16.1,  124.47,  100.45
16.2,   91.21,  106.73
16.3,   57.61,   83.08
16.4,  118.86,  157.16
16.5,   91.24,  110.99
16.6,  125.88,  158.44
16.7,   43.88,   72.24
16.8,   89.30,   96.51
16.9,   94.39,  133.70
17.0,   98.64,  106.52
17.1,  226.10,  211.29
17.2,  155.15,  202.05
17.3,   98.75,   98.39
17.4,   86.00,   92.57
17.5,   42.89,   69.22
17.6,  116.96,  155.32
17.7,   85.15,   92.70
17.8,   76.73,   81.51
17.9,   46.11,   86.61
18.0,  142.36,  138.65
