,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:05:53.465,    8.08,    3.54,    8.38,    3.86,    8.14,    3.66,    7.68,    3.01,    7.64,    3.20,    7.82,    3.37,   47.75,   20.65,     20360,   68.40,    8.94,    7.97,    8.88,    7.76,    8.84,    7.84,    8.05,    7.49,    8.15,    7.65,    8.20,    7.65,   51.06,   46.36,     20200,   97.42,     98.81,     67.00,    165.81
2023-04-16,16:05:53.564,    9.51,    3.60,    9.76,    4.16,    9.35,    3.64,    8.48,    3.30,    8.71,    3.39,    8.78,    3.59,   54.59,   21.68,     18640,   76.27,    8.17,    5.29,    8.17,    5.16,    8.20,    5.20,    7.12,    5.03,    7.17,    4.95,    7.11,    5.10,   45.94,   30.74,     18640,   76.68,    100.53,     52.42,    152.96
2023-04-16,16:05:53.665,   18.15,    9.15,   18.50,    9.84,   18.15,    9.30,   16.69,    8.74,   16.91,    8.93,   16.99,    9.04,  105.39,   54.98,     18800,  160.38,   24.40,   17.53,   24.75,   17.36,   24.68,   17.51,   22.34,   17.05,   22.37,   17.09,   22.37,   17.16,  140.91,  103.70,     18800,  244.62,    246.30,    158.69,    404.99
2023-04-16,16:05:53.765,   26.31,   10.17,   26.41,   10.45,   26.14,   10.12,   23.76,    9.25,   23.84,    9.31,   23.65,    9.37,  150.10,   58.67,     18620,  208.77,   26.89,   20.31,   26.86,   20.11,   26.74,   20.05,   23.06,   19.36,   22.85,   19.31,   22.93,   19.48,  149.32,  118.62,     18620,  267.94,    299.42,    177.29,    476.71
2023-04-16,16:05:53.866,    9.84,    5.60,   10.08,    5.90,    9.96,    5.55,    9.34,    5.12,    9.42,    5.22,    9.53,    5.45,   58.18,   32.84,     18800,   91.02,   13.20,    9.42,   13.20,    9.45,   13.47,    9.55,   12.25,    9.07,   12.60,    9.42,   12.29,    9.18,   77.01,   56.07,     18800,  133.08,    135.18,     88.91,    224.10
2023-04-16,16:05:53.965,   21.20,   13.16,   21.48,   13.52,   21.23,   13.24,   19.71,   12.61,   20.02,   12.67,   20.09,   13.06,  123.73,   78.27,     18620,  202.00,   28.67,   13.88,   28.88,   13.86,   28.80,   13.97,   27.42,   13.59,   27.46,   13.62,   27.63,   13.79,  168.87,   82.71,     18620,  251.58,    292.60,    160.98,    453.58
2023-04-16,16:05:54.066,   31.22,   16.15,   31.42,   16.44,   30.95,   16.03,   29.00,   15.25,   29.32,   15.49,   29.55,   15.75,  181.47,   95.11,     18800,  276.58,   48.47,   20.98,   49.22,   21.43,   48.29,   20.51,   45.25,   19.66,   46.23,   20.70,   45.68,   20.05,  283.14,  123.32,     18800,  406.47,    464.61,    218.44,    683.05
2023-04-16,16:05:54.166,   14.11,    5.71,   14.42,    6.02,   13.99,    5.77,   12.70,    5.09,   12.86,    5.28,   12.86,    5.33,   80.94,   33.21,     18620,  114.15,   14.72,    5.75,   14.97,    5.71,   14.74,    5.74,   12.77,    5.27,   12.90,    5.19,   12.78,    5.18,   82.90,   32.84,     18620,  115.74,    163.84,     66.05,    229.90
2023-04-16,16:05:54.267,   29.59,   13.94,   29.55,   14.19,   29.56,   13.97,   28.92,   13.42,   28.74,   13.34,   28.78,   13.38,  175.14,   82.24,     18800,  257.38,   48.22,   25.24,   48.19,   25.06,   48.40,   25.15,   45.17,   24.17,   45.76,   24.72,   45.69,   24.56,  281.43,  148.90,     18800,  430.33,    456.57,    231.14,    687.71
