time,sock0,sock1
0.1,  195.72, 1178.44
0.2,  175.81,  812.87
0.3,  431.68, 1064.19
0.4,  168.20,  817.82
0.5,   76.83,  458.92
0.6,  143.05,  812.72
0.7,  180.88,  520.41
0.8,  138.42,  555.23
0.9,   83.96,  382.39
1.0,  339.00, 1419.31
1.1,  295.85, 1121.28
1.2,  228.73,  499.79
1.3,  338.03, 1012.79
1.4,  380.67,  617.11
1.5,  321.40,  552.48
1.6,  521.90, 2632.92
1.7,  209.15,  585.81
1.8,  205.26,  523.73
1.9,  168.44,  480.85
2.0,  174.51, 1226.34
2.1,  319.75, 1823.28
2.2,  353.07, 1164.24
2.3,  334.28, 1200.92
2.4,  122.91,  925.21
2.5,   70.32, 1267.44
2.6,  141.09, 1387.81
2.7,  192.68, 1371.70
2.8,  149.10, 1225.66
2.9,   97.22, 1095.71
3.0,  174.28, 1183.85
3.1,  197.17, 1304.64
3.2,  322.51, 1496.22
3.3,  253.44, 1498.27
3.4,  398.71,  887.76
3.5,  734.11, 1297.11
3.6,  195.69,  708.49
3.7,  110.76,  675.89
3.8,  182.55, 4633.69
3.9,  192.97, 1896.44
4.0,  198.48,  803.91
4.1,  150.25, 2301.74
4.2,  196.10, 2690.63
4.3,  323.87, 3018.02
4.4,  132.89, 2574.56
4.5,  107.34, 3190.86
4.6,  173.13, 2518.17
4.7,  185.93, 2563.78
4.8,  183.85,13474.58
4.9,  156.69, 1529.26
5.0,  173.08, 1498.54
5.1,  273.72, 1705.20
5.2,  187.23,21890.95
5.3,  248.66,13740.36
5.4,  283.77,11258.02
5.5,  261.24,24917.46
5.6,  150.18, 9620.01
5.7,  302.82,26110.79
5.8,  184.98,10161.70
5.9,  216.83,25830.16
6.0,  211.61, 8489.26
6.1,  213.46,18643.68
6.2,  237.28,17358.74
6.3,  209.59,12360.25
6.4,  167.37,21189.12
6.5,  213.46,11109.97
6.6,  285.76,23222.96
6.7,  172.43, 9552.59
6.8,  340.84,25310.53
6.9,  170.91, 8520.03
