,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,20:13:35.752,   20.42,   13.31,   20.53,   13.67,   20.47,   13.40,   18.51,   12.32,   18.93,   12.67,   18.67,   12.84,  117.53,   78.20,     18800,  195.72,   67.56,  129.11,   67.51,  129.35,   67.95,  129.39,   66.61,  128.90,   67.21,  129.48,   66.52,  128.84,  403.37,  775.07,     18850, 1178.44,    520.89,    853.27,   1374.16
2023-04-16,20:13:35.852,   20.30,   10.45,   20.28,   10.53,   20.17,   10.42,   17.91,    9.85,   18.06,    9.86,   18.00,    9.96,  114.72,   61.08,     18670,  175.81,   55.09,   81.13,   55.31,   81.22,   55.09,   81.54,   53.78,   81.05,   53.68,   80.62,   53.57,   80.77,  326.53,  486.34,     18710,  812.87,    441.26,    547.42,    988.67
2023-04-16,20:13:35.953,   39.48,   33.44,   39.76,   34.05,   39.55,   33.74,   37.63,   32.49,   37.88,   32.84,   38.01,   32.81,  232.31,  199.37,     18820,  431.68,   82.17,   98.40,   81.74,   97.83,   82.05,   98.24,   79.00,   95.90,   79.13,   96.28,   78.19,   95.25,  482.28,  581.91,     18830, 1064.19,    714.59,    781.28,   1495.87
2023-04-16,20:13:36.053,   18.31,   10.28,   18.41,   10.55,   18.50,   10.39,   17.36,    9.77,   17.38,   10.02,   17.36,    9.87,  107.32,   60.88,     18620,  168.20,   61.43,   77.21,   61.39,   77.42,   61.28,   77.33,   58.28,   75.19,   58.67,   75.42,   58.55,   75.66,  359.59,  458.23,     18660,  817.82,    466.92,    519.11,    986.03
2023-04-16,20:13:36.154,    8.66,    4.55,    8.77,    4.78,    8.58,    4.69,    7.89,    4.39,    7.82,    4.37,    7.87,    4.46,   49.59,   27.24,     18800,   76.83,   34.61,   43.26,   34.37,   43.13,   34.48,   43.27,   32.83,   42.20,   32.99,   42.54,   32.71,   42.54,  201.98,  256.94,     18800,  458.92,    251.57,    284.18,    535.75
2023-04-16,20:13:36.253,   17.51,    7.19,   17.41,    7.40,   17.53,    7.42,   15.89,    6.57,   16.06,    6.82,   16.26,    6.99,  100.66,   42.39,     18620,  143.05,   71.69,   64.56,   72.18,   65.21,   71.36,   64.61,   69.51,   64.27,   69.84,   64.35,   70.43,   64.70,  425.01,  387.70,     18620,  812.72,    525.68,    430.09,    955.77
2023-04-16,20:13:36.354,   19.36,   12.00,   19.52,   12.13,   19.49,   11.99,   17.69,   10.85,   17.84,   10.95,   17.97,   11.09,  111.86,   69.01,     18800,  180.88,   37.60,   51.58,   37.43,   51.87,   37.31,   51.40,   35.06,   49.14,   35.46,   49.58,   34.75,   49.21,  217.62,  302.79,     18830,  520.41,    329.49,    371.80,    701.28
2023-04-16,20:13:36.454,   16.09,    7.66,   16.23,    7.99,   16.05,    7.66,   14.79,    7.15,   14.86,    7.43,   14.92,    7.60,   92.93,   45.49,     18630,  138.42,   46.21,   47.50,   46.48,   47.61,   46.11,   47.54,   44.61,   46.35,   44.52,   46.61,   44.90,   46.79,  272.82,  282.40,     18610,  555.23,    365.75,    327.89,    693.64
2023-04-16,20:13:36.554,    8.81,    5.68,    8.96,    5.78,    8.62,    5.55,    7.91,    5.37,    8.04,    5.50,    8.04,    5.71,   50.38,   33.58,     18790,   83.96,   31.55,   33.21,   31.72,   33.33,   31.47,   33.33,   30.11,   32.51,   30.18,   32.36,   30.18,   32.44,  185.21,  197.17,     18820,  382.39,    235.60,    230.75,    466.35
