time,sock0,sock1
0.1,  231.57, 1258.25
0.2,  161.91,  888.23
0.3,  193.29,  961.39
0.4,  149.18,  747.88
0.5,   49.12,  427.02
0.6,  272.95, 1043.44
0.7,  154.29,  449.49
0.8,  345.43,  919.47
0.9,  465.18,  836.50
1.0,  257.23, 1958.18
1.1,  288.32,  733.13
1.2,  886.93,  977.18
1.3,  223.38,  560.01
1.4,  269.81,  616.31
1.5,  165.65,  999.34
1.6,  152.38, 1941.92
1.7,   75.13,  648.89
1.8,  116.57,  481.97
1.9,  127.40,  722.38
2.0,  428.73, 2197.81
2.1,  114.00, 1264.33
2.2,  145.47, 1260.27
2.3,  198.75, 1460.49
2.4,  133.61, 1400.00
2.5,   74.09, 1300.09
2.6,  140.68, 1324.86
2.7,  131.88, 1183.63
2.8,  130.78, 1097.85
2.9,  105.25,  664.51
3.0,  125.82,  677.37
3.1,  203.85,  760.33
3.2,  154.20,  890.26
3.3,  159.01, 4322.13
3.4,  122.31, 4880.39
3.5,  120.74, 4847.11
3.6,  173.37, 4471.36
3.7,  105.04, 4672.41
3.8,   68.50, 4567.67
3.9,  132.15, 4164.67
4.0,  106.67,  711.99
4.1,   95.56,  674.50
4.2,  105.23,  699.44
4.3,  144.33,  717.68
4.4,  122.35,  686.36
4.5,   78.62,  655.54
4.6,   51.56,  602.93
4.7,   93.68,  916.01
4.8,  153.35, 4444.14
4.9,  246.70, 2250.96
5.0,  106.74, 1019.64
5.1,  313.54, 1810.38
5.2,  190.78, 5343.36
5.3,  237.08,22269.17
5.4,  219.48,20325.18
5.5,  190.70,13610.79
5.6,  396.18, 6345.16
5.7,  316.63,15207.63
5.8,  262.40,26220.48
5.9,  382.99,22984.33
6.0,  309.27,21731.98
6.1,  262.84,21333.46
6.2,  269.03,13858.27
6.3,  281.09,18387.12
6.4,  339.71,22001.00
6.5,  184.19,15401.91
6.6,  101.49,14928.53
6.7,  150.77,28933.41
6.8,  249.62,31694.37
6.9,  176.99,30155.59
7.0,  313.31,15936.83
7.1,  551.90,24680.45
7.2,  285.02,19256.30
7.3,  148.17,11230.71
7.4,  126.46,22560.91
7.5,  171.68,35699.40
7.6,  232.71,35845.48
7.7,  170.47,21391.27
7.8,  302.14,26204.38
7.9,  127.67,18474.29
8.0,  157.57,11942.12
8.1,  240.11,23863.13
8.2,  220.67,28604.73
8.3,  209.23,24429.30
8.4,  192.45,30173.04
8.5,  225.83,22159.54
8.6,  293.80,24397.88
8.7,  105.72,12911.82
8.8,  158.00,16353.62
8.9,  158.39,32950.17
9.0,  211.30,29726.78
9.1,  123.41,33022.26
9.2,  284.76,19809.13
9.3,  249.55,25449.52
9.4,  141.06,12781.07
9.5,   87.16,15737.65
9.6,  207.69,33295.35
9.7,  374.31,31227.17
9.8,  220.75,25336.02
9.9,  182.33,27534.48
10.0,  352.32,26301.84
10.1,  169.01,11668.88
10.2,  141.48,16952.30
10.3,  127.54,31557.67
10.4,  251.11,29827.73
10.5,  148.74,33167.27
10.6,  257.85,21769.27
10.7,  231.88,24884.69
10.8,  136.49,11682.89
10.9,  315.61,19603.99
11.0,  404.32,31748.43
11.1,  346.53,20642.63
11.2,  280.18,35376.45
11.3,  148.08,21697.80
11.4,  307.64,26906.77
11.5,  107.75,14463.48
11.6,  190.42,14885.36
11.7,  316.00,29978.09
11.8,  176.65,36026.86
11.9,  109.05,33378.85
12.0,  271.29,23044.70
12.1,  336.88,25298.82
12.2,  181.75,10874.83
12.3,  120.20,19573.01
12.4,  203.21,33373.45
12.5,  164.93,33615.12
12.6,  177.47,19604.15
12.7,  141.76,36210.09
12.8,  172.08,20903.23
12.9,  148.28,11642.45
13.0,  149.92,22364.50
13.1,   96.71,37486.67
13.2,  165.45,38437.77
13.3,  151.06,21495.20
13.4,  177.53,30595.31
13.5,   85.16,14161.45
13.6,  178.89,16071.09
13.7,  174.38,33740.45
13.8,  139.78,38203.99
13.9,   93.08,19017.02
14.0,  148.18,39057.52
14.1,  215.82,19122.94
14.2,  194.66,11321.02
14.3,  132.86,26834.11
14.4,  190.05,30917.04
14.5,  176.01,33579.39
14.6,  157.84,22451.56
14.7,  171.02,31355.37
14.8,  171.64,15577.65
14.9,  139.14,13611.86
15.0,  135.42,28141.18
15.1,  169.20,36209.67
15.2,  123.61,34782.73
15.3,  128.35,22224.66
15.4,  308.22,25945.17
15.5,  102.05,12966.07
15.6,  169.42,15909.29
15.7,  203.62,31824.29
15.8,  254.26,23591.01
15.9,  157.27,34705.25
16.0,  124.77,21634.89
16.1,  312.09,28537.94
16.2,  205.78,13305.73
16.3,  132.18,14998.21
16.4,  117.93,31197.03
16.5,  226.78,30134.15
16.6,  157.31,35659.54
16.7,  159.77,21299.80
16.8,  137.43,27216.94
16.9,  131.37,11856.89
17.0,  243.65,18298.19
17.1,  161.93,33093.90
17.2,  105.22,36406.88
17.3,  308.81,29642.46
17.4,  213.06,25941.85
17.5,  243.91,21304.92
17.6,  159.86,11091.84
17.7,  208.89,23987.69
17.8,  234.28,29919.95
17.9,  214.27,30651.42
18.0,  187.27,25676.88
18.1,  334.30,26892.01
18.2,  187.63,21519.11
18.3,  143.04,11155.28
18.4,  122.85,22275.75
18.5,  211.42,32131.41
18.6,  221.68,29063.34
18.7,  141.69,28255.30
18.8,  190.77,24524.09
18.9,  206.35,22166.71
19.0,  121.30,12019.56
19.1,  167.41,20873.68
19.2,  158.36,30481.41
19.3,  291.00,24777.07
19.4,  192.64,32395.59
19.5,  139.05,24290.14
19.6,  237.97,26051.56
19.7,  207.44,11628.78
19.8,  166.46,17908.61
19.9,  152.15,31538.61
20.0,  280.68,25949.32
20.1,  214.24,33726.05
20.2,  164.64,23063.24
20.3,  274.77,24626.22
20.4,   95.36,12978.30
20.5,  130.79,16065.01
20.6,  533.70,33207.27
