,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:43:01.728,   25.55,   13.82,   25.84,   14.20,   25.74,   14.11,   23.64,   13.29,   24.09,   13.71,   24.12,   13.46,  148.99,   82.58,     18790,  231.57,   76.71,  134.68,   76.46,  134.35,   77.12,  135.25,   73.54,  134.53,   74.16,  134.33,   73.37,  133.76,  451.36,  806.89,     18840, 1258.25,    600.35,    889.48,   1489.82
2023-04-16,16:43:01.827,   17.10,   10.42,   17.59,   11.07,   17.12,   10.44,   15.83,   10.04,   15.83,   10.26,   15.91,   10.29,   99.38,   62.53,     18660,  161.91,   61.95,   87.82,   61.84,   87.89,   62.05,   87.60,   59.42,   86.65,   59.55,   86.91,   59.47,   87.07,  364.29,  523.94,     18670,  888.23,    463.67,    586.46,   1050.13
2023-04-16,16:43:01.928,   21.58,   11.60,   21.87,   11.88,   21.59,   11.58,   19.66,   10.66,   20.16,   11.31,   20.22,   11.19,  125.07,   68.23,     18820,  193.29,   70.31,   92.43,   70.22,   92.43,   70.34,   92.51,   67.12,   90.57,   67.11,   90.64,   66.98,   90.72,  412.09,  549.30,     18830,  961.39,    537.16,    617.53,   1154.68
2023-04-16,16:43:02.028,   17.13,    8.33,   17.19,    8.64,   17.45,    8.62,   15.69,    7.94,   16.22,    8.25,   15.77,    7.96,   99.45,   49.73,     18650,  149.18,   57.30,   70.22,   57.06,   70.08,   56.87,   69.98,   53.75,   67.84,   54.25,   68.59,   53.87,   68.09,  333.09,  414.79,     18660,  747.88,    432.54,    464.52,    897.06
2023-04-16,16:43:02.128,    4.95,    3.23,    5.11,    3.49,    4.99,    3.27,    4.78,    3.03,    4.87,    3.26,    4.89,    3.25,   29.60,   19.52,     18630,   49.12,   30.63,   41.83,   30.23,   41.47,   30.49,   41.71,   29.54,   40.87,   29.42,   40.74,   29.43,   40.67,  179.73,  247.29,     18650,  427.02,    209.33,    266.81,    476.14
2023-04-16,16:43:02.230,   32.07,   14.21,   33.71,   16.09,   32.04,   13.95,   29.72,   12.96,   30.60,   14.05,   30.26,   13.29,  188.40,   84.55,     18768,  272.95,   90.71,   85.30,   89.86,   84.95,   90.51,   85.71,   87.57,   84.58,   87.98,   84.76,   87.48,   84.05,  534.10,  509.35,     18838, 1043.44,    722.50,    593.90,   1316.39
2023-04-16,16:43:02.329,   18.63,    7.91,   18.82,    8.42,   18.68,    8.03,   17.08,    7.32,   17.28,    7.76,   16.91,    7.45,  107.39,   46.90,     18816,  154.29,   35.52,   41.13,   35.69,   40.97,   35.64,   41.35,   33.23,   39.90,   32.99,   39.82,   33.23,   40.02,  206.30,  243.19,     18826,  449.49,    313.69,    290.09,    603.78
2023-04-16,16:43:02.429,   37.45,   21.86,   37.67,   22.41,   36.64,   21.38,   34.26,   20.17,   35.82,   21.76,   35.11,   20.91,  216.94,  128.49,     18640,  345.43,   73.48,   82.01,   73.21,   81.69,   73.72,   82.07,   70.92,   80.82,   70.94,   80.73,   69.98,   79.90,  432.25,  487.22,     18680,  919.47,    649.19,    615.71,   1264.90
2023-04-16,16:43:02.529,   44.55,   33.21,   44.87,   33.92,   45.16,   33.68,   43.30,   32.63,   43.89,   33.37,   43.49,   33.11,  265.26,  199.92,     18630,  465.18,   73.71,   68.27,   73.52,   67.99,   73.87,   68.51,   69.38,   66.26,   70.50,   66.91,   70.76,   66.82,  431.74,  404.76,     18640,  836.50,    697.00,    604.68,   1301.68
