time,sock0,sock1
0.1,  424.76, 1470.10
0.2,  276.03, 1028.02
0.3,  186.49,  912.72
0.4,  137.36,  678.94
0.5,   40.98,  706.55
0.6,  137.67,  552.99
0.7,  123.25,  481.20
0.8,  102.44,  541.18
0.9,  135.97,  503.09
1.0,  164.40, 1839.43
1.1,  591.64, 1164.98
1.2,  841.92,  913.23
1.3,  298.63,  709.80
1.4,  425.50,  785.04
1.5,  184.12, 2176.24
1.6,  142.96,  762.79
1.7,   75.75,  646.14
1.8,  278.88,  921.59
1.9,  118.98, 1096.79
2.0,  111.52, 1362.66
2.1,   81.09, 1343.73
2.2,  122.99, 1328.58
2.3,  144.28, 1155.67
2.4,  153.40, 1140.05
2.5,   61.42, 1025.15
2.6,   88.21, 1077.76
2.7,  120.51,  844.31
2.8,  110.41,  670.32
2.9,  145.28,  751.17
3.0,  111.46,  719.90
3.1,  212.05, 2289.96
3.2,  220.35, 4774.67
3.3,  139.82, 5487.33
3.4,   77.66, 4511.08
3.5,  131.49, 4733.93
3.6,  641.55, 5109.30
3.7,  908.38, 5522.55
3.8,  103.93, 2567.98
3.9,  130.92,  711.36
4.0,   90.23,  647.90
4.1,  105.53,  689.01
4.2,   74.42,  639.58
4.3,   93.65,  674.74
4.4,  182.90,  710.54
4.5,   99.79,  656.60
4.6,  122.05, 2440.99
4.7,  104.15, 3839.62
4.8,  199.59,  904.25
4.9,  245.75, 1266.41
5.0,  204.52, 2660.12
5.1,  337.12,12935.63
5.2,  402.77,20686.11
5.3,  249.69,28053.43
5.4,  456.28,21219.35
5.5,  332.34,18123.91
5.6,  235.75,29971.62
5.7,  307.26,30398.62
5.8,  145.62,21969.01
5.9,  150.70,33678.01
6.0,  293.18,29542.43
6.1,  304.66,22944.49
6.2,  141.51,41496.62
6.3,  298.00,19219.95
6.4,  216.29,26401.77
6.5,  360.83,32066.80
6.6,  165.93,22034.35
6.7,  197.59,29846.99
6.8,  226.81,34077.11
6.9,  262.12,21674.62
7.0,  165.00,35535.91
7.1,  345.18,24126.78
7.2,  213.44,23063.27
7.3,  226.79,37948.31
7.4,  147.26,19823.84
7.5,  196.65,28618.60
7.6,  186.10,39217.09
7.7,  169.45,22405.64
7.8,  161.53,36272.38
7.9,  192.93,26995.44
8.0,  194.44,25818.90
8.1,  171.63,38674.66
8.2,  107.64,22808.00
8.3,  158.66,34382.25
8.4,  169.08,31334.07
8.5,  139.23,23410.24
8.6,  254.20,37277.41
8.7,  198.84,20874.54
8.8,  173.37,28216.30
8.9,  460.08,35211.74
9.0,  147.57,20191.88
9.1,  136.19,35726.64
9.2,  215.84,29409.46
9.3,  184.73,22945.69
9.4,  209.68,39128.43
9.5,  389.75,19534.30
9.6,  442.65,26957.71
9.7,  215.90,37673.68
9.8,  125.67,22216.32
9.9,  148.78,33729.84
10.0,  327.33,30382.36
10.1,  247.93,20369.41
10.2,  140.91,37013.72
10.3,  178.14,23255.81
10.4,  175.01,26518.85
10.5,  207.35,40328.52
10.6,  135.77,14757.21
10.7,  142.41,33315.61
10.8,  202.16,35247.94
10.9,  223.20,21982.82
11.0,  181.93,39540.85
11.1,  228.44,20974.88
11.2,  430.82,29151.66
11.3,  322.59,40008.39
11.4,  151.42,19372.41
11.5,  220.72,36952.90
11.6,  287.85,23707.84
11.7,  168.91,24237.28
11.8,  188.42,41519.66
11.9,  114.99,20357.58
12.0,  148.73,31471.35
12.1,  230.49,33566.42
12.2,  136.78,23911.20
12.3,  176.16,40107.72
12.4,  170.62,22236.45
12.5,  141.49,27440.33
12.6,  230.94,34493.52
12.7,   87.13,23270.18
12.8,  181.59,33881.62
12.9,  291.75,31754.41
13.0,  171.97,23247.24
13.1,  192.73,40357.12
13.2,  188.29,19000.61
13.3,  194.94,33722.11
13.4,  209.42,30688.18
13.5,  119.18,24479.40
13.6,  253.16,36104.98
13.7,  227.26,18627.87
13.8,  157.40,27391.95
13.9,  183.85,38663.36
14.0,  191.38,16818.63
14.1,  167.67,34662.11
14.2,  325.06,35055.67
14.3,  111.18,22257.93
14.4,  199.95,35640.73
14.5,  175.82,26294.67
14.6,  158.29,27008.82
14.7,  119.33,38756.30
