,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:46:42.827,   39.58,   33.19,   40.09,   33.85,   39.93,   33.50,   35.75,   31.47,   36.70,   32.34,   36.14,   32.20,  228.21,  196.55,     18920,  424.76,   89.05,  156.90,   88.96,  156.81,   89.86,  157.82,   87.03,  156.61,   87.57,  156.57,   86.85,  156.08,  529.32,  940.79,     18920, 1470.10,    757.52,   1137.34,   1894.86
2023-04-16,16:46:42.927,   23.75,   23.58,   23.99,   23.96,   23.79,   23.50,   21.59,   22.46,   21.81,   22.77,   22.10,   22.73,  137.02,  139.00,     18680,  276.03,   73.71,   99.56,   73.80,   99.56,   73.74,   99.86,   71.19,   97.88,   71.44,   97.83,   71.65,   97.82,  435.51,  592.51,     18680, 1028.02,    572.54,    731.52,   1304.05
2023-04-16,16:46:43.027,   19.94,   11.97,   20.19,   12.41,   19.87,   12.08,   18.09,   11.46,   18.46,   11.79,   18.60,   11.64,  115.14,   71.35,     18840,  186.49,   66.74,   87.32,   66.87,   87.70,   67.06,   87.60,   63.71,   85.92,   64.05,   85.85,   63.85,   86.06,  392.28,  520.44,     18850,  912.72,    507.42,    591.79,   1099.21
2023-04-16,16:46:43.127,   16.15,    7.38,   16.39,    7.82,   16.21,    7.47,   14.78,    7.03,   15.01,    7.21,   14.87,    7.05,   93.40,   43.96,     18640,  137.36,   50.99,   64.42,   50.97,   64.32,   51.07,   64.39,   48.23,   62.82,   48.14,   62.99,   48.03,   62.58,  297.42,  381.52,     18630,  678.94,    390.82,    425.48,    816.30
2023-04-16,16:46:43.227,    4.10,    2.68,    4.35,    3.06,    4.08,    2.59,    3.89,    2.60,    3.97,    2.63,    4.16,    2.86,   24.56,   16.42,     18806,   40.98,   59.70,   59.03,   59.34,   58.45,   59.71,   58.59,   58.79,   58.05,   59.18,   58.59,   58.99,   58.14,  355.70,  350.85,     18816,  706.55,    380.26,    367.27,    747.53
2023-04-16,16:46:43.327,   16.64,    6.96,   17.00,    7.40,   16.58,    7.09,   15.27,    6.57,   15.35,    6.82,   15.37,    6.62,   96.21,   41.45,     18640,  137.67,   44.78,   49.37,   44.72,   49.20,   44.94,   49.61,   42.08,   47.85,   42.22,   48.10,   42.06,   48.05,  260.80,  292.19,     18650,  552.99,    357.02,    333.64,    690.65
2023-04-16,16:46:43.426,   14.99,    6.26,   15.00,    6.42,   15.13,    6.42,   13.70,    5.85,   13.76,    6.03,   13.73,    5.97,   86.30,   36.95,     18620,  123.25,   42.29,   39.72,   41.95,   39.37,   41.97,   39.62,   39.74,   38.81,   40.04,   38.97,   39.77,   38.96,  245.76,  235.44,     18620,  481.20,    332.06,    272.39,    604.44
2023-04-16,16:46:43.526,   12.40,    5.34,   12.51,    5.60,   12.40,    5.57,   11.00,    4.99,   11.19,    5.20,   11.10,    5.12,   70.61,   31.83,     18806,  102.44,   44.57,   47.91,   44.52,   47.47,   44.39,   47.59,   41.79,   46.19,   42.20,   46.39,   41.82,   46.35,  259.29,  281.89,     18806,  541.18,    329.90,    313.72,    643.62
2023-04-16,16:46:43.626,   13.87,    8.83,   14.36,    9.20,   14.07,    8.99,   13.77,    8.62,   13.45,    8.46,   13.66,    8.68,   83.19,   52.78,     18620,  135.97,   41.95,   43.12,   41.91,   43.22,   41.98,   43.16,   40.42,   42.17,   40.44,   42.40,   40.33,   41.99,  247.03,  256.05,     18620,  503.09,    330.22,    308.83,    639.06
2023-04-16,16:46:43.727,   18.92,    9.19,   19.03,    9.47,   18.97,    9.12,   17.70,    8.74,   17.79,    9.11,   17.53,    8.82,  109.94,   54.46,     18820,  164.40,  184.56,  125.37,  183.88,  124.86,  183.87,  124.85,  180.85,  122.33,  181.66,  122.73,  181.60,  122.88, 1096.42,  743.01,     18840, 1839.43,   1206.36,    797.47,   2003.83
2023-04-16,16:46:43.827,   63.26,   36.12,   64.58,   37.68,   63.90,   37.13,   61.37,   36.53,   60.74,   36.04,   59.67,   34.60,  373.53,  218.11,     18650,  591.64,  113.29,   82.58,  114.70,   84.81,  115.80,   84.99,  108.51,   80.94,  109.10,   81.05,  108.47,   80.74,  669.86,  495.11,     18650, 1164.98,   1043.39,    713.22,   1756.61
2023-04-16,16:46:43.927,   68.26,   74.73,   69.34,   76.53,   67.82,   74.46,   66.51,   72.09,   65.26,   70.58,   65.55,   70.78,  402.75,  439.17,     18836,  841.92,   71.51,   82.95,   73.05,   85.15,   73.83,   85.92,   66.26,   82.38,   64.56,   80.80,   65.20,   81.63,  414.41,  498.82,     18856,  913.23,    817.15,    937.99,   1755.15
2023-04-16,16:46:44.026,   29.19,   22.00,   29.33,   22.16,   29.03,   21.88,   27.04,   21.09,   27.27,   21.47,   27.15,   21.03,  169.00,  129.63,     18640,  298.63,   59.12,   61.00,   59.15,   60.80,   59.09,   60.82,   57.09,   59.31,   57.23,   59.26,   57.55,   59.38,  349.23,  360.57,     18660,  709.80,    518.23,    490.20,   1008.43
2023-04-16,16:46:44.126,   40.35,   32.11,   40.41,   32.22,   40.52,   32.30,   37.86,   30.12,   38.97,   31.27,   38.58,   30.78,  236.70,  188.80,     18640,  425.50,   69.08,   63.82,   68.87,   63.85,   68.88,   63.82,   66.19,   61.45,   67.74,   63.38,   66.16,   61.80,  406.92,  378.12,     18690,  785.04,    643.62,    566.92,   1210.54
2023-04-16,16:46:44.227,   20.86,   11.27,   20.70,   11.25,   20.38,   11.11,   19.02,   10.34,   19.25,   10.50,   19.11,   10.31,  119.33,   64.79,     18830,  184.12,  225.51,  142.51,  223.65,  140.99,  223.56,  140.52,  221.31,  136.35,  223.15,  137.90,  223.16,  137.63, 1340.34,  835.90,     18830, 2176.24,   1459.67,    900.69,   2360.36
2023-04-16,16:46:44.327,   17.83,    7.50,   17.48,    7.49,   17.40,    7.14,   15.77,    6.55,   16.06,    6.90,   16.07,    6.76,  100.61,   42.35,     18640,  142.96,   76.70,   53.11,   76.74,   52.76,   76.70,   52.57,   73.34,   50.93,   73.39,   51.35,   73.77,   51.44,  450.63,  312.16,     18640,  762.79,    551.24,    354.51,    905.75
2023-04-16,16:46:44.427,    8.54,    4.55,    8.49,    4.64,    8.26,    4.37,    8.08,    4.24,    8.03,    4.39,    7.94,    4.23,   49.34,   26.41,     18816,   75.75,   42.91,   66.04,   42.66,   65.74,   42.83,   65.81,   41.49,   65.05,   41.66,   64.90,   41.76,   65.29,  253.30,  392.83,     18877,  646.14,    302.64,    419.24,    721.89
2023-04-16,16:46:44.527,   32.64,   15.89,   32.52,   15.77,   32.51,   15.92,   29.68,   14.10,   30.26,   14.67,   30.31,   14.58,  187.93,   90.95,     18630,  278.88,   78.27,   77.03,   78.41,   76.99,   79.46,   78.31,   74.47,   74.09,   77.39,   79.81,   73.69,   73.67,  461.70,  459.89,     18630,  921.59,    649.63,    550.84,   1200.47
