time,sock0,sock1
0.1,  297.39, 2168.44
0.2,  121.21, 7619.84
0.3,  131.26, 8643.50
0.4,  172.04, 9545.63
0.5,  138.36, 8498.09
0.6,  154.06, 9707.03
0.7,  236.18, 9177.03
0.8,  162.09, 9488.51
0.9,  151.34, 9514.35
1.0,  150.65, 8811.09
1.1,  202.36, 9620.02
1.2,  733.62, 7924.43
1.3,  288.66, 9583.79
1.4,  107.14, 8812.10
1.5,  118.88, 9028.57
1.6,  138.20, 9184.26
1.7,  123.21, 9334.82
1.8,   63.15, 8869.09
1.9,  141.40,10268.15
2.0,  211.95, 9022.18
2.1,  252.95, 2065.72
2.2,   63.92, 1732.44
2.3,  121.47, 1898.76
2.4,  126.98, 1827.65
2.5,  195.52, 1990.47
2.6,  100.55, 1867.83
2.7,  389.98, 2400.57
2.8,  157.59, 1702.73
2.9,  183.03, 1906.46
3.0,   90.47, 7291.65
3.1,  208.02,12642.70
3.2,  139.20,12166.17
3.3,  146.69,12015.88
3.4,  133.85,13647.02
3.5,  126.86,13394.82
3.6,  186.62,11923.06
3.7,  127.71,13606.57
3.8,   53.19,10113.10
3.9,  121.39,12440.90
4.0,  197.42, 7884.05
4.1,  149.60, 6753.79
4.2,   97.09, 6933.19
4.3,  127.42,13496.38
4.4,  151.34,10029.14
4.5,  149.05, 7350.52
4.6,   82.28, 7255.40
4.7,  139.56, 9280.19
4.8,  149.02,12478.09
4.9,  169.87,13853.46
5.0,  100.02,11701.07
5.1,  136.25, 8877.50
5.2,  121.24,14682.51
5.3,  135.77,10242.68
5.4,  106.69,12323.49
5.5,  106.31,14339.09
5.6,  195.55, 7690.80
5.7,  119.17, 7306.49
5.8,  102.97, 6470.77
5.9,   93.13, 6613.47
6.0,  159.38, 6613.89
6.1,  146.67,14785.65
6.2,  118.67,12665.78
6.3,  193.74, 7786.05
6.4,  208.78, 9668.05
6.5,  115.87,13957.14
6.6,  120.28,13144.11
6.7,  108.82,10184.63
6.8,  145.76,10077.77
6.9,  142.52,12325.70
7.0,  128.94, 9220.03
7.1,   72.21, 7493.08
7.2,  116.20, 6612.61
7.3,  122.46,12833.79
7.4,  143.09, 7703.64
7.5,   79.46,11343.69
7.6,  148.79,10413.83
7.7,  118.76, 7518.88
7.8,  106.82, 6666.17
7.9,   65.11,11080.05
8.0,  198.14,10255.40
8.1,  145.68,13201.91
8.2,  108.63, 7860.73
8.3,  209.40,15131.27
8.4,  199.05,10986.60
8.5,  144.84,11412.95
8.6,  170.50, 9761.25
8.7,  149.74,14360.74
8.8,   98.81, 8392.83
8.9,  222.41, 7432.80
9.0,  459.36, 6988.82
9.1,  100.25, 6790.29
9.2,   90.14,11559.39
9.3,  350.92, 7158.07
9.4,  163.38, 9005.11
9.5,   82.24, 7054.26
9.6,  114.76,13757.75
9.7,  119.47, 7513.89
9.8,  149.00,10267.87
9.9,  168.92,11631.13
10.0,  130.91,13967.28
10.1,  156.96,12321.53
10.2,  123.90,16212.86
10.3,  106.69, 7932.27
10.4,  106.31, 8992.96
10.5,  104.53, 7113.37
10.6,  108.14, 6265.91
10.7,  136.52, 6639.33
10.8,   88.56,12184.55
10.9,  148.62,12055.78
11.0,  131.98,10671.46
11.1,  106.11, 6988.52
11.2,   48.32, 8981.68
11.3,  198.19,11358.71
11.4,  135.58, 9767.40
11.5,  108.28, 6831.76
11.6,  105.30, 8933.89
11.7,  128.45,15589.27
11.8,  109.82, 9105.06
11.9,  274.12, 9811.87
12.0,  181.83,13332.78
12.1,  101.75, 7208.56
12.2,  121.99, 7065.72
12.3,  119.37,11230.37
12.4,   89.18,11455.72
12.5,  112.74, 7401.63
12.6,  125.24,10959.20
12.7,  142.84,11070.31
12.8,  123.18, 7012.28
12.9,  114.70, 6828.50
13.0,  153.30, 9523.86
13.1,  122.67,12487.40
13.2,   80.20,11424.17
13.3,   80.63, 7063.72
13.4,  120.98, 7183.31
13.5,  150.06,12022.09
13.6,  124.49, 6461.42
13.7,   49.42, 8605.83
13.8,  113.46,12955.86
13.9,  104.26, 7505.32
14.0,  190.09,12988.84
14.1,   69.99,13366.10
14.2,  111.96, 9271.95
14.3,  125.73, 7001.01
14.4,  123.75, 7729.02
14.5,   75.80,12739.86
14.6,  105.07, 7200.50
14.7,  144.89, 5976.80
14.8,  121.52, 9315.22
14.9,  155.70, 9758.95
15.0,   85.26, 6883.16
15.1,  110.99, 6147.69
15.2,  104.67, 8953.40
15.3,  108.02,11248.31
15.4,   76.18,13952.58
15.5,  148.66, 8722.04
15.6,  125.52,10839.41
15.7,  102.89, 9035.91
15.8,   88.52, 5920.70
15.9,  125.76,13233.12
16.0,  181.01, 9346.35
16.1,  136.13,12679.97
16.2,   87.04, 6802.48
16.3,  136.08, 8419.56
16.4,   94.80, 6287.92
16.5,   91.37, 6015.48
16.6,   96.54,14633.29
16.7,  168.63, 9900.41
16.8,  134.58,13554.58
16.9,  131.33, 8416.27
17.0,   81.07,10279.67
17.1,  103.51, 7470.09
17.2,  103.77, 7382.32
17.3,  116.63, 7861.75
17.4,   68.36,12249.61
17.5,  233.42, 7441.95
17.6,  143.40, 5963.89
17.7,  140.49, 5862.62
17.8,   90.54,14245.39
17.9,  181.68, 8183.61
18.0,  199.40,10101.88
18.1,  124.47,11157.93
18.2,   72.03, 8949.28
18.3,  117.40,12705.65
18.4,  147.58, 9758.53
18.5,  129.70,11429.75
