,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-04-16,16:41:13.037,   30.24,   20.09,   30.94,   20.99,   30.75,   20.46,   28.17,   18.84,   28.84,   19.72,   28.84,   19.55,  177.76,  119.63,     21480,  297.39,  143.72,  222.10,  143.95,  221.73,  143.80,  221.90,  139.02,  217.01,  139.50,  218.35,  139.38,  217.98,  849.37, 1319.07,     18850, 2168.44,   1027.13,   1438.70,   2465.83
2023-04-16,16:41:13.137,   13.77,    6.89,   13.87,    7.23,   13.55,    6.96,   12.68,    6.55,   12.95,    6.90,   12.97,    6.88,   79.79,   41.41,     18680,  121.21,  515.04,  755.27,  516.28,  757.20,  515.19,  755.12,  513.15,  754.01,  513.16,  754.34,  514.52,  756.55, 3087.34, 4532.50,     18740, 7619.84,   3167.14,   4573.91,   7741.04
2023-04-16,16:41:13.237,   16.15,    6.18,   16.32,    6.54,   16.15,    6.35,   14.95,    5.69,   15.31,    6.23,   15.19,    6.19,   94.07,   37.19,     18640,  131.26,  624.46,  816.83,  624.78,  816.64,  625.31,  818.14,  624.22,  816.05,  623.04,  815.15,  623.79,  815.07, 3745.61, 4897.89,     18690, 8643.50,   3839.67,   4935.08,   8774.76
2023-04-16,16:41:13.338,   22.13,    7.10,   22.49,    7.42,   22.38,    7.08,   20.83,    6.40,   21.09,    7.18,   20.96,    6.98,  129.88,   42.16,     18820,  172.04,  711.70,  883.05,  709.98,  881.01,  710.08,  881.26,  708.93,  879.04,  711.35,  881.76,  708.64,  878.82, 4260.68, 5284.95,     18840, 9545.63,   4390.56,   5327.10,   9717.66
2023-04-16,16:41:13.438,   15.75,    7.37,   15.89,    7.65,   15.76,    7.38,   15.41,    7.00,   15.83,    7.30,   15.67,    7.35,   94.30,   44.05,     18630,  138.36,  660.39,  762.10,  660.40,  762.69,  660.38,  762.51,  653.54,  755.51,  653.82,  755.67,  654.36,  756.72, 3942.89, 4555.21,    422230, 8498.09,   4037.19,   4599.26,   8636.45
2023-04-16,16:41:13.538,   17.56,    9.12,   17.68,    9.39,   17.35,    8.96,   16.24,    8.27,   16.49,    8.38,   16.29,    8.33,  101.61,   52.45,     18810,  154.06,  765.13,  856.02,  765.15,  857.16,  763.72,  855.51,  758.65,  855.08,  759.17,  854.42,  760.62,  856.42, 4572.43, 5134.60,    609470, 9707.03,   4674.04,   5187.05,   9861.09
2023-04-16,16:41:13.638,   24.30,   15.94,   24.81,   16.54,   24.42,   16.05,   22.61,   14.94,   23.02,   15.24,   22.98,   15.33,  142.14,   94.04,     18640,  236.18,  828.76,  703.83,  829.30,  703.94,  828.28,  703.35,  825.49,  701.81,  825.06,  701.35,  824.85,  701.01, 4961.74, 4215.29,    625410, 9177.03,   5103.88,   4309.33,   9413.21
2023-04-16,16:41:13.738,   19.88,    7.97,   19.84,    8.22,   19.71,    7.96,   18.21,    7.33,   18.66,    8.03,   18.53,    7.74,  114.84,   47.25,     18640,  162.09,  810.26,  774.81,  809.16,  773.67,  808.72,  774.05,  805.91,  772.83,  806.82,  773.48,  805.52,  773.27, 4846.39, 4642.12,    620780, 9488.51,   4961.23,   4689.37,   9650.61
2023-04-16,16:41:13.839,   17.65,    8.02,   17.65,    8.14,   17.62,    7.95,   16.84,    7.26,   17.45,    7.93,   17.20,    7.63,  104.41,   46.93,     18820,  151.34,  840.86,  747.85,  839.49,  747.00,  839.43,  747.70,  838.75,  745.72,  838.81,  746.14,  837.91,  744.66, 5035.26, 4479.09,    636910, 9514.35,   5139.67,   4526.02,   9665.69
2023-04-16,16:41:13.939,   18.20,    7.54,   18.17,    7.65,   17.97,    7.62,   16.67,    6.80,   17.48,    7.81,   17.24,    7.49,  105.73,   44.91,     18640,  150.65,  815.89,  658.06,  813.14,  656.09,  814.57,  657.15,  809.72,  655.31,  810.94,  656.63,  808.77,  654.83, 4873.03, 3938.06,    630510, 8811.09,   4978.76,   3982.98,   8961.74
2023-04-16,16:41:14.048,   25.20,    9.07,   25.60,    9.44,   25.39,    9.18,   23.79,    8.40,   24.23,    9.15,   24.00,    8.92,  148.20,   54.17,     18820,  202.36,  851.73,  755.38,  850.77,  756.08,  850.54,  755.25,  845.79,  753.87,  846.54,  754.32,  845.89,  753.86, 5091.26, 4528.76,    743410, 9620.02,   5239.46,   4582.93,   9822.38
2023-04-16,16:41:14.139,   59.42,   65.02,   59.47,   65.32,   59.68,   65.31,   57.36,   61.67,   57.89,   62.57,   57.74,   62.17,  351.55,  382.07,     18600,  733.62,  684.23,  640.64,  685.27,  642.12,  683.26,  640.23,  677.37,  638.92,  677.60,  639.07,  677.36,  638.36, 4085.09, 3839.34,    517330, 7924.43,   4436.64,   4221.42,   8658.06
2023-04-16,16:41:14.240,   33.25,   14.94,   33.29,   15.24,   33.30,   15.09,   32.88,   14.17,   33.33,   15.11,   33.29,   14.77,  199.34,   89.32,     18820,  288.66,  817.79,  782.34,  816.74,  781.77,  816.40,  781.60,  814.23,  780.81,  815.79,  781.86,  814.01,  780.45, 4894.97, 4688.82,    634490, 9583.79,   5094.30,   4778.14,   9872.45
2023-04-16,16:41:14.340,   11.77,    6.77,   11.75,    6.71,   11.53,    6.48,   10.85,    6.06,   11.05,    6.50,   11.14,    6.53,   68.09,   39.05,     18640,  107.14,  761.30,  710.05,  760.53,  710.03,  760.16,  709.87,  757.07,  708.41,  758.44,  708.70,  758.29,  709.26, 4555.79, 4256.31,    629420, 8812.10,   4623.88,   4295.36,   8919.24
2023-04-16,16:41:14.440,   14.47,    5.95,   14.50,    6.22,   14.51,    6.03,   13.19,    5.30,   13.49,    5.97,   13.42,    5.83,   83.57,   35.31,     18816,  118.88,  771.85,  736.33,  770.94,  735.27,  770.86,  736.18,  767.28,  734.95,  767.62,  735.29,  767.49,  734.52, 4616.04, 4412.53,    640191, 9028.57,   4699.61,   4447.84,   9147.45
2023-04-16,16:41:14.539,   17.27,    6.58,   17.26,    6.70,   17.14,    6.56,   15.68,    5.74,   16.22,    6.56,   16.13,    6.36,   99.71,   38.49,     18630,  138.20,  796.26,  738.92,  794.73,  738.58,  793.94,  737.86,  791.05,  736.27,  792.08,  737.24,  790.73,  736.62, 4758.78, 4425.48,    631110, 9184.26,   4858.49,   4463.98,   9322.46
2023-04-16,16:41:14.639,   15.49,    5.40,   15.54,    5.75,   15.63,    5.48,   14.54,    5.04,   14.67,    5.42,   14.82,    5.43,   90.70,   32.51,     18630,  123.21,  794.25,  763.05,  794.69,  763.16,  794.00,  763.16,  791.14,  763.17,  791.29,  763.08,  791.24,  762.59, 4756.62, 4578.20,    634290, 9334.82,   4847.32,   4610.72,   9458.04
2023-04-16,16:41:14.740,    7.03,    3.78,    7.12,    3.86,    6.86,    3.64,    6.45,    3.48,    6.71,    3.63,    6.74,    3.86,   40.92,   22.23,     18820,   63.15,  765.67,  714.42,  764.71,  713.44,  765.48,  713.82,  764.47,  712.79,  765.07,  713.10,  763.89,  712.22, 4589.29, 4279.80,    630140, 8869.09,   4630.21,   4302.03,   8932.24
2023-04-16,16:41:14.840,   17.98,    6.46,   17.84,    6.46,   17.87,    6.48,   16.43,    5.82,   16.81,    6.33,   16.73,    6.18,  103.67,   37.73,     18630,  141.40,  912.63,  802.61,  910.43,  801.08,  912.88,  802.16,  908.41,  800.83,  909.11,  801.53,  906.53,  799.94, 5459.99, 4808.16,    630350,10268.15,   5563.65,   4845.90,  10409.55
2023-04-16,16:41:14.941,   26.41,    9.81,   26.58,   10.13,   26.25,    9.55,   24.67,    9.18,   25.27,    9.65,   24.94,    9.52,  154.12,   57.83,     18820,  211.95,  900.12,  606.03,  899.40,  605.92,  899.54,  605.88,  897.08,  604.25,  897.52,  605.15,  897.03,  604.26, 5390.69, 3631.49,    429660, 9022.18,   5544.81,   3689.32,   9234.13
2023-04-16,16:41:15.041,   32.27,   11.54,   32.47,   11.66,   32.08,   11.38,   29.56,   10.42,   29.91,   10.96,   30.07,   10.64,  186.36,   66.60,     18630,  252.95,  248.55,   98.21,  248.30,   97.96,  248.68,   98.31,  244.08,   97.03,  244.74,   97.42,  245.06,   97.39, 1479.40,  586.32,     18640, 2065.72,   1665.76,    652.91,   2318.67
2023-04-16,16:41:15.140,    6.70,    3.94,    6.91,    4.17,    6.79,    4.02,    6.50,    3.82,    6.54,    3.92,    6.53,    4.07,   39.97,   23.95,     18806,   63.92,  207.58,   81.93,  207.26,   81.92,  206.94,   81.86,  206.40,   81.49,  206.71,   81.46,  207.41,   81.48, 1242.30,  490.14,     18856, 1732.44,   1282.27,    514.09,   1796.36
2023-04-16,16:41:15.240,   15.17,    5.94,   15.17,    6.39,   14.92,    5.95,   13.37,    5.40,   13.81,    5.79,   13.84,    5.72,   86.28,   35.19,     18640,  121.47,  232.79,   85.62,  232.63,   85.44,  232.23,   85.62,  229.99,   84.66,  230.02,   84.64,  230.06,   85.06, 1387.71,  511.05,     18650, 1898.76,   1473.99,    546.23,   2020.22
2023-04-16,16:41:15.340,   15.98,    5.97,   16.24,    6.41,   15.98,    5.95,   14.43,    5.50,   14.47,    5.72,   14.63,    5.70,   91.72,   35.26,     18630,  126.98,  218.16,   88.01,  217.72,   87.65,  218.18,   88.06,  216.08,   87.24,  216.32,   87.36,  215.91,   86.95, 1302.38,  525.27,     18630, 1827.65,   1394.10,    560.53,   1954.63
2023-04-16,16:41:15.441,   22.02,   11.39,   22.36,   11.68,   22.29,   11.44,   20.60,   10.51,   21.09,   10.74,   20.85,   10.55,  129.21,   66.31,     18810,  195.52,  246.25,   86.82,  246.19,   86.60,  246.75,   87.07,  244.97,   85.82,  244.31,   85.66,  244.29,   85.74, 1472.76,  517.71,     18830, 1990.47,   1601.97,    584.02,   2185.99
2023-04-16,16:41:15.540,   10.98,    6.02,   11.17,    6.10,   11.02,    6.06,   10.42,    5.55,   10.64,    5.88,   10.80,    5.90,   65.04,   35.51,     18630,  100.55,  227.29,   84.66,  226.76,   84.73,  227.50,   84.89,  226.31,   84.48,  226.39,   84.04,  226.55,   84.24, 1360.80,  507.03,     18670, 1867.83,   1425.84,    542.55,   1968.39
2023-04-16,16:41:15.641,   40.61,   26.15,   40.77,   26.07,   40.78,   26.58,   37.94,   24.47,   38.51,   24.95,   38.54,   24.61,  237.15,  152.83,     18820,  389.98,  284.39,  117.78,  285.61,  118.93,  285.50,  119.53,  280.33,  114.74,  282.22,  118.54,  279.37,  113.63, 1697.42,  703.15,     18820, 2400.57,   1934.57,    855.98,   2790.55
2023-04-16,16:41:15.741,   20.01,    6.98,   20.23,    7.38,   20.03,    7.03,   18.55,    6.42,   18.74,    6.79,   18.72,    6.71,  116.28,   41.31,     18630,  157.59,  213.57,   71.91,  213.44,   71.90,  213.16,   71.96,  211.23,   71.13,  210.60,   70.87,  211.52,   71.44, 1273.51,  429.22,     18630, 1702.73,   1389.79,    470.53,   1860.32
2023-04-16,16:41:15.842,   22.01,    9.54,   22.06,    9.82,   21.94,    9.44,   20.30,    8.84,   20.49,    9.10,   20.54,    8.96,  127.34,   55.69,     18820,  183.03,  230.23,   88.80,  230.16,   88.93,  230.47,   89.01,  228.32,   88.15,  228.29,   88.15,  227.67,   88.28, 1375.14,  531.32,     18810, 1906.46,   1502.48,    587.01,   2089.49
2023-04-16,16:41:15.942,   10.64,    4.93,   10.62,    5.10,   10.19,    4.60,    9.91,    4.43,   10.26,    4.63,   10.41,    4.75,   62.03,   28.44,     18620,   90.47,  703.94,  512.81,  703.94,  513.02,  704.10,  513.11,  701.58,  511.04,  703.06,  511.28,  702.76,  511.03, 4219.37, 3072.28,    583300, 7291.65,   4281.40,   3100.71,   7382.12
2023-04-16,16:41:16.042,   26.71,    9.41,   26.64,    9.71,   26.40,    9.08,   24.24,    8.23,   25.10,    9.07,   24.65,    8.77,  153.74,   54.27,     18826,  208.02, 1273.91,  835.75, 1271.15,  834.79, 1273.25,  835.64, 1271.35,  834.30, 1273.30,  834.78, 1271.15,  833.32, 7634.11, 5008.59,   1071482,12642.70,   7787.86,   5062.86,  12850.72
