,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-02-25,23:28:19.557,   74.49,   33.26,   74.47,   33.15,   74.36,   33.10,,,,,,,  223.32,   99.50,     18890,  322.83,   58.44,   25.77,   58.32,   25.55,   58.65,   25.80,,,,,,,  175.41,   77.11,     18900,  252.52,    398.73,    176.62,    575.34
2023-02-25,23:28:19.657,   14.23,    8.34,   14.23,    7.87,   14.31,    7.91,,,,,,,   42.77,   24.12,     18940,   66.89,    4.38,    3.60,    4.41,    3.56,    4.34,    3.56,,,,,,,   13.14,   10.72,     18930,   23.86,     55.91,     34.85,     90.75
2023-02-25,23:28:19.757,    6.90,    4.82,    6.69,    4.48,    6.64,    4.60,,,,,,,   20.22,   13.90,     18700,   34.12,    2.84,    2.42,    2.76,    2.49,    2.82,    2.53,,,,,,,    8.43,    7.43,     18690,   15.86,     28.65,     21.33,     49.98
2023-02-25,23:28:19.858,   10.34,    5.61,   10.03,    5.16,   10.08,    5.23,,,,,,,   30.46,   15.99,     18890,   46.45,    4.54,    4.00,    4.51,    4.06,    4.63,    4.17,,,,,,,   13.68,   12.23,     18890,   25.90,     44.13,     28.22,     72.35
2023-02-25,23:28:19.958,   53.10,   29.98,   52.55,   29.77,   52.22,   29.65,,,,,,,  157.87,   89.40,     18890,  247.27,   21.44,   14.06,   21.50,   14.07,   21.40,   13.92,,,,,,,   64.34,   42.05,     18890,  106.39,    222.21,    131.45,    353.66
2023-02-25,23:28:20.058,   13.57,    7.84,   13.38,    7.39,   13.58,    7.54,,,,,,,   40.53,   22.77,     18700,   63.30,    7.73,    5.11,    7.69,    5.00,    7.67,    5.04,,,,,,,   23.10,   15.15,     18710,   38.25,     63.63,     37.92,    101.55
2023-02-25,23:28:20.158,    7.20,    4.38,    7.09,    3.94,    7.18,    4.01,,,,,,,   21.47,   12.33,     18890,   33.80,    2.51,    2.20,    2.47,    2.20,    2.43,    2.20,,,,,,,    7.40,    6.59,     18880,   13.99,     28.87,     18.93,     47.79
2023-02-25,23:28:20.258,   11.73,    9.03,   11.73,    8.70,   11.75,    8.86,,,,,,,   35.21,   26.59,     18888,   61.80,    8.24,    6.99,    8.27,    7.13,    8.15,    7.03,,,,,,,   24.67,   21.15,     18888,   45.82,     59.88,     47.74,    107.62
2023-02-25,23:28:20.358,    5.84,    4.18,    5.73,    3.84,    5.70,    3.85,,,,,,,   17.28,   11.86,     18700,   29.14,    2.44,    2.02,    2.51,    2.11,    2.45,    2.03,,,,,,,    7.41,    6.16,     18700,   13.57,     24.68,     18.02,     42.71
2023-02-25,23:28:20.458,    4.99,    4.95,    4.88,    4.67,    4.90,    4.63,,,,,,,   14.77,   14.25,     18880,   29.01,    4.28,    3.01,    4.31,    3.10,    4.27,    3.00,,,,,,,   12.86,    9.11,     18890,   21.98,     27.63,     23.36,     50.99
2023-02-25,23:28:20.558,    2.48,    2.76,    2.47,    2.57,    2.49,    2.61,,,,,,,    7.44,    7.94,     18888,   15.37,    1.29,    1.41,    1.29,    1.39,    1.32,    1.45,,,,,,,    3.90,    4.25,     18878,    8.15,     11.34,     12.19,     23.53
2023-02-25,23:28:20.657,    3.91,    3.18,    3.80,    2.89,    3.92,    3.00,,,,,,,   11.63,    9.07,     18700,   20.70,    2.77,    2.06,    2.74,    2.04,    2.72,    2.13,,,,,,,    8.23,    6.23,     18700,   14.45,     19.86,     15.29,     35.15
2023-02-25,23:28:20.758,   17.57,   10.36,   17.54,   10.33,   17.59,   10.24,,,,,,,   52.70,   30.94,     18880,   83.64,   19.54,   17.14,   19.57,   17.24,   19.56,   17.33,,,,,,,   58.68,   51.71,     18890,  110.38,    111.38,     82.65,    194.02
2023-02-25,23:28:20.858,    9.55,    6.11,    9.55,    5.81,    9.42,    5.83,,,,,,,   28.51,   17.74,     18888,   46.25,   10.08,    7.02,   10.18,    7.18,   10.27,    7.28,,,,,,,   30.53,   21.47,     18888,   52.00,     59.04,     39.22,     98.26
2023-02-25,23:28:20.957,   46.56,   18.87,   46.45,   18.65,   46.61,   18.75,,,,,,,  139.62,   56.26,     18710,  195.89,   34.36,   27.74,   34.34,   28.02,   34.43,   28.08,,,,,,,  103.13,   83.85,     18700,  186.98,    242.76,    140.11,    382.87
2023-02-25,23:28:21.058,   23.95,   10.75,   23.82,   10.49,   23.87,   10.73,,,,,,,   71.64,   31.98,     18890,  103.62,   21.50,   19.27,   21.46,   19.26,   21.65,   19.42,,,,,,,   64.62,   57.95,     18890,  122.56,    136.25,     89.93,    226.18
2023-02-25,23:28:21.157,   17.44,    8.86,   17.40,    8.61,   17.40,    8.68,,,,,,,   52.23,   26.15,     18877,   78.39,   34.13,   36.38,   33.83,   36.17,   33.95,   36.11,,,,,,,  101.91,  108.67,     18888,  210.57,    154.14,    134.82,    288.96
2023-02-25,23:28:21.257,   22.98,    7.77,   22.99,    7.70,   22.97,    7.70,,,,,,,   68.95,   23.17,     18700,   92.12,   35.57,   40.47,   35.48,   40.29,   35.44,   40.27,,,,,,,  106.48,  121.03,     18700,  227.51,    175.43,    144.20,    319.63
2023-02-25,23:28:21.357,   18.83,    4.55,   18.65,    4.36,   18.69,    4.54,,,,,,,   56.17,   13.46,     18890,   69.63,   25.85,   32.21,   25.55,   31.75,   25.77,   32.00,,,,,,,   77.18,   95.96,     18890,  173.13,    133.34,    109.41,    242.76
2023-02-25,23:28:21.457,  130.08,    9.64,  130.22,    9.37,  130.24,    9.62,,,,,,,  390.54,   28.64,     18700,  419.18,   62.22,   87.46,   62.50,   87.51,   61.94,   87.14,,,,,,,  186.66,  262.11,     18700,  448.77,    577.20,    290.74,    867.94
2023-02-25,23:28:21.558,   26.60,    5.49,   26.30,    5.28,   26.48,    5.49,,,,,,,   79.38,   16.26,     18890,   95.64,   69.13,   87.10,   69.51,   87.32,   69.26,   87.01,,,,,,,  207.90,  261.43,     18890,  469.33,    287.28,    277.70,    564.98
2023-02-25,23:28:21.658,   27.94,    6.67,   27.90,    6.28,   27.94,    6.49,,,,,,,   83.78,   19.45,     18890,  103.23,   96.26,  120.94,   95.91,  120.62,   96.27,  121.12,,,,,,,  288.43,  362.69,     18880,  651.12,    372.21,    382.14,    754.35
2023-02-25,23:28:21.758,   82.88,   13.87,   82.58,   13.78,   82.83,   13.77,,,,,,,  248.30,   41.42,     18710,  289.72,   88.89,  127.47,   89.19,  127.42,   89.18,  127.43,,,,,,,  267.26,  382.32,     18710,  649.59,    515.56,    423.75,    939.31
2023-02-25,23:28:21.859,   37.71,    6.58,   37.53,    6.28,   37.65,    6.27,,,,,,,  112.89,   19.13,     18890,  132.02,  130.26,  141.46,  130.79,  141.49,  130.74,  141.93,,,,,,,  391.80,  424.88,     18910,  816.67,    504.69,    444.01,    948.69
