sock0,sock1
  322.83,  252.52
   66.89,   23.86
   34.12,   15.86
   46.45,   25.90
  247.27,  106.39
   63.30,   38.25
   33.80,   13.99
   61.80,   45.82
   29.14,   13.57
   29.01,   21.98
   15.37,    8.15
   20.70,   14.45
   83.64,  110.38
   46.25,   52.00
  195.89,  186.98
  103.62,  122.56
   78.39,  210.57
   92.12,  227.51
   69.63,  173.13
  419.18,  448.77
   95.64,  469.33
  103.23,  651.12
  289.72,  649.59
  132.02,  816.67
  118.72,  386.17
   72.51,  278.73
  140.37,  454.28
  494.19, 1317.68
  104.30,  504.22
  134.67,  517.68
   90.67,  294.48
   39.28,   55.99
   91.03,  174.87
   25.77,   27.10
   49.35,   78.08
   54.20,   95.57
  213.05,  321.10
  100.86,  323.03
   59.35,  410.69
   68.02,  396.70
   75.23,  530.88
   98.12,  982.20
   56.45, 1118.72
   48.22, 3124.23
   89.50, 3911.53
  107.63, 6885.23
   89.98, 2935.64
  473.11,28676.84
  172.15,19596.29
  195.86,26422.55
  207.51,26207.21
  139.79,29684.03
  211.75,24842.67
  208.31,26667.59
  171.00,31582.39
  184.14,23403.48
  266.11,25118.88
  207.10,29680.58
  232.42,23535.24
  192.67,26631.50
  191.37,22951.74
  211.68,28812.58
  184.95,26233.16
  555.64,25877.27
  205.46,24014.55
  252.32,21556.66
  214.54,21982.40
  240.50,20598.14
  189.01,23735.97
  235.56,20568.18
  262.81,23146.69
  141.91, 7238.90
  122.89, 5294.32
  203.11,28686.91
  152.49,15679.12
  197.13,24063.39
  409.82,24070.19
  197.09,28201.65
  170.50,28956.41
  474.99,17904.62
  195.44,29541.06
  201.62,26300.70
  228.65,24468.37
  127.90,30606.14
  276.40,25200.73
  195.00,25625.09
  150.31,28745.81
  212.40,20435.60
  210.63,27772.67
  177.35,25676.52
  159.45,26194.21
  198.78,22769.79
  227.56,22089.02
  345.87,20244.20
  383.70,21006.83
  196.28,22726.42
  226.39,22736.26
  241.56,10100.00
